------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Kansas",20000,24.7,718274,"6 of 52"
"Riley County",20161,16.9,12777,"2996 of 3141"
"Ellsworth County",20053,18.1,1149,"2870 of 3141"
"Pawnee County",20145,18.4,1249,"2821 of 3141"
"Norton County",20137,18.9,1042,"2761 of 3141"
"Douglas County",20045,18.9,22266,"2755 of 3141"
"Decatur County",20039,19.1,553,"2718 of 3141"
"Republic County",20157,19.2,902,"2707 of 3141"
"Rawlins County",20153,19.4,489,"2646 of 3141"
"Jewell County",20089,19.4,576,"2638 of 3141"
"Graham County",20065,19.8,506,"2548 of 3141"
"Trego County",20195,19.8,575,"2536 of 3141"
"Smith County",20183,19.8,733,"2534 of 3141"
"Doniphan County",20043,20.2,1574,"2434 of 3141"
"Rush County",20165,20.6,642,"2309 of 3141"
"Elk County",20049,20.8,536,"2247 of 3141"
"Russell County",20167,21.0,1469,"2149 of 3141"
"Morris County",20127,21.0,1179,"2144 of 3141"
"Greenwood County",20073,21.1,1315,"2116 of 3141"
"Woodson County",20207,21.3,676,"2059 of 3141"
"Chautauqua County",20019,21.3,729,"2050 of 3141"
"Marion County",20115,21.4,2592,"2001 of 3141"
"Ellis County",20051,21.5,6220,"1964 of 3141"
"Osborne County",20141,21.6,795,"1952 of 3141"
"Gove County",20063,21.7,570,"1929 of 3141"
"Hodgeman County",20083,21.7,407,"1910 of 3141"
"Crawford County",20037,21.8,8516,"1870 of 3141"
"Mitchell County",20123,21.8,1361,"1847 of 3141"
"Cheyenne County",20023,21.9,585,"1844 of 3141"
"Ness County",20135,21.9,657,"1822 of 3141"
"Coffey County",20031,21.9,1824,"1817 of 3141"
"Kiowa County",20097,21.9,554,"1791 of 3141"
"Comanche County",20033,22.4,390,"1577 of 3141"
"Lyon County",20111,22.5,7481,"1555 of 3141"
"Cloud County",20029,22.5,2067,"1541 of 3141"
"Thomas County",20193,22.5,1765,"1539 of 3141"
"Lincoln County",20105,22.6,705,"1509 of 3141"
"Kingman County",20095,22.6,1714,"1495 of 3141"
"Rooks County",20163,22.8,1173,"1422 of 3141"
"Rice County",20159,22.8,2254,"1388 of 3141"
"Reno County",20155,22.9,14503,"1369 of 3141"
"Chase County",20017,23.0,612,"1332 of 3141"
"Washington County",20201,23.0,1282,"1317 of 3141"
"Greeley County",20071,23.1,279,"1289 of 3141"
"Linn County",20107,23.1,2221,"1258 of 3141"
"Allen County",20001,23.3,2966,"1205 of 3141"
"Phillips County",20147,23.3,1267,"1201 of 3141"
"McPherson County",20113,23.3,6700,"1194 of 3141"
"Osage County",20139,23.4,3721,"1140 of 3141"
"Jefferson County",20087,23.4,4416,"1137 of 3141"
"Edwards County",20047,23.5,692,"1106 of 3141"
