------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Kansas",20000,49.8,1445980,"40 of 52"
"Wichita County",20203,47.2,1019,"105 of 3141"
"Stanton County",20187,47.3,996,"107 of 3141"
"Brown County",20013,48.1,4680,"271 of 3141"
"Scott County",20171,48.2,2403,"341 of 3141"
"Greeley County",20071,48.3,584,"352 of 3141"
"Comanche County",20033,48.3,841,"370 of 3141"
"Atchison County",20005,48.3,7957,"380 of 3141"
"Rooks County",20163,48.5,2495,"465 of 3141"
"Shawnee County",20177,48.5,86487,"478 of 3141"
"Lyon County",20111,48.5,16165,"511 of 3141"
"Republic County",20157,48.7,2290,"597 of 3141"
"Kiowa County",20097,48.7,1230,"641 of 3141"
"Kearny County",20093,48.8,1918,"688 of 3141"
"Phillips County",20147,48.8,2658,"700 of 3141"
"Franklin County",20059,48.8,12505,"739 of 3141"
"Neosho County",20133,49.0,7935,"854 of 3141"
"Johnson County",20091,49.0,283504,"879 of 3141"
"Miami County",20121,49.0,16160,"898 of 3141"
"Harvey County",20079,49.1,17016,"951 of 3141"
"Anderson County",20003,49.1,3849,"980 of 3141"
"Morris County",20127,49.1,2752,"988 of 3141"
"Smith County",20183,49.1,1814,"1005 of 3141"
"Thomas County",20193,49.1,3856,"1025 of 3141"
"Cherokee County",20021,49.2,10087,"1093 of 3141"
"Wilson County",20205,49.2,4362,"1134 of 3141"
"Elk County",20049,49.2,1271,"1136 of 3141"
"Wyandotte County",20209,49.3,80545,"1250 of 3141"
"Labette County",20099,49.3,10142,"1252 of 3141"
"Rush County",20165,49.4,1540,"1300 of 3141"
"Haskell County",20081,49.4,2015,"1301 of 3141"
"Clay County",20027,49.4,4051,"1319 of 3141"
"Saline County",20169,49.4,27331,"1334 of 3141"
"Sedgwick County",20173,49.4,252399,"1392 of 3141"
"McPherson County",20113,49.5,14238,"1403 of 3141"
"Cheyenne County",20023,49.5,1324,"1412 of 3141"
"Woodson County",20207,49.5,1574,"1490 of 3141"
"Douglas County",20045,49.5,58348,"1494 of 3141"
"Cloud County",20029,49.5,4553,"1505 of 3141"
"Allen County",20001,49.5,6318,"1515 of 3141"
"Montgomery County",20125,49.5,16580,"1518 of 3141"
"Bourbon County",20011,49.6,7315,"1543 of 3141"
"Graham County",20065,49.6,1270,"1562 of 3141"
"Marion County",20115,49.6,5997,"1583 of 3141"
"Barton County",20009,49.7,13445,"1639 of 3141"
"Osage County",20139,49.8,7915,"1769 of 3141"
"Lincoln County",20105,49.8,1555,"1784 of 3141"
"Osborne County",20141,49.8,1836,"1795 of 3141"
"Jackson County",20085,49.8,6641,"1805 of 3141"
"Hodgeman County",20083,49.9,935,"1819 of 3141"
"Linn County",20107,49.9,4793,"1872 of 3141"
"Decatur County",20039,49.9,1444,"1900 of 3141"
"Dickinson County",20041,50.0,9572,"1903 of 3141"
"Sumner County",20191,50.0,11658,"1906 of 3141"
"Gray County",20069,50.0,3004,"1975 of 3141"
"Logan County",20109,50.0,1396,"1978 of 3141"
"Crawford County",20037,50.1,19571,"1989 of 3141"
"Marshall County",20117,50.1,4937,"2002 of 3141"
"Ellis County",20051,50.1,14469,"2034 of 3141"
"Greenwood County",20073,50.1,3121,"2041 of 3141"
"Sherman County",20181,50.2,3009,"2076 of 3141"
"Jewell County",20089,50.2,1488,"2129 of 3141"
"Pottawatomie County",20149,50.2,11646,"2137 of 3141"
"Pratt County",20151,50.3,4860,"2165 of 3141"
"Cowley County",20035,50.3,17973,"2195 of 3141"
"Nemaha County",20131,50.4,5083,"2233 of 3141"
"Meade County",20119,50.4,2163,"2241 of 3141"
"Stafford County",20185,50.4,2142,"2262 of 3141"
"Coffey County",20031,50.4,4197,"2269 of 3141"
"Wallace County",20199,50.4,802,"2281 of 3141"
"Reno County",20155,50.4,31944,"2288 of 3141"
"Chase County",20017,50.5,1345,"2308 of 3141"
"Wabaunsee County",20197,50.5,3492,"2312 of 3141"
"Butler County",20015,50.5,33449,"2316 of 3141"
"Rice County",20159,50.5,4983,"2326 of 3141"
"Gove County",20063,50.5,1330,"2337 of 3141"
"Trego County",20195,50.5,1465,"2340 of 3141"
"Kingman County",20095,50.6,3835,"2377 of 3141"
"Jefferson County",20087,50.7,9556,"2421 of 3141"
"Doniphan County",20043,50.7,3952,"2448 of 3141"
"Lane County",20101,50.8,864,"2465 of 3141"
"Ness County",20135,50.9,1527,"2501 of 3141"
"Russell County",20167,50.9,3558,"2515 of 3141"
"Harper County",20077,51.0,2928,"2525 of 3141"
"Finney County",20055,51.0,18913,"2531 of 3141"
"Washington County",20201,51.1,2846,"2564 of 3141"
"Seward County",20175,51.2,11752,"2608 of 3141"
"Stevens County",20189,51.2,2942,"2620 of 3141"
"Sheridan County",20179,51.3,1282,"2646 of 3141"
"Mitchell County",20123,51.3,3199,"2648 of 3141"
"Clark County",20025,51.4,1073,"2651 of 3141"
