------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Kansas",20000,4.8,71009,"11 of 52"
"United States",00000,6.6,10560305,"N/A"
"Trego County",20195,0.8,14,"25 of 3141"
"Greeley County",20071,1.1,6,"41 of 3141"
"Pawnee County",20145,1.2,33,"50 of 3141"
"Gove County",20063,1.2,16,"53 of 3141"
"Rawlins County",20153,1.5,19,"75 of 3141"
"Clark County",20025,1.5,16,"77 of 3141"
"Cheyenne County",20023,1.7,21,"95 of 3141"
"Graham County",20065,1.7,21,"100 of 3141"
"Phillips County",20147,1.8,50,"113 of 3141"
"Nemaha County",20131,1.8,94,"115 of 3141"
"Comanche County",20033,1.8,17,"120 of 3141"
"Hamilton County",20075,1.9,25,"133 of 3141"
"Thomas County",20193,1.9,86,"135 of 3141"
"Stanton County",20187,2.1,21,"152 of 3141"
"Sheridan County",20179,2.1,26,"157 of 3141"
"Bourbon County",20011,2.2,143,"166 of 3141"
"Jewell County",20089,2.2,30,"167 of 3141"
"Washington County",20201,2.2,64,"172 of 3141"
"Wichita County",20203,2.3,26,"181 of 3141"
"Morris County",20127,2.3,66,"185 of 3141"
"McPherson County",20113,2.5,384,"204 of 3141"
"Norton County",20137,2.5,65,"215 of 3141"
"Barber County",20007,2.5,62,"218 of 3141"
"Republic County",20157,2.6,64,"232 of 3141"
"Ness County",20135,2.6,39,"236 of 3141"
"Osborne County",20141,2.8,50,"259 of 3141"
"Ellis County",20051,2.8,455,"263 of 3141"
"Gray County",20069,2.8,90,"270 of 3141"
"Decatur County",20039,2.8,40,"271 of 3141"
"Meade County",20119,2.8,60,"273 of 3141"
"Hodgeman County",20083,2.8,29,"277 of 3141"
"Harvey County",20079,2.9,505,"292 of 3141"
"Edwards County",20047,2.9,43,"293 of 3141"
