------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Kansas",20000,19.8,89999,"37 of 51"
"Geary County",20061,12.0,928,"859 of 3139"
"Atchison County",20005,13.9,376,"1126 of 3139"
"Franklin County",20059,14.6,568,"1209 of 3139"
"Allen County",20001,14.7,353,"1221 of 3139"
"Wilson County",20205,14.9,260,"1239 of 3139"
"Leavenworth County",20103,15.2,1330,"1273 of 3139"
"Neosho County",20133,15.2,495,"1273 of 3139"
"Cloud County",20029,15.3,247,"1286 of 3139"
"Labette County",20099,15.4,687,"1303 of 3139"
"Clay County",20027,15.7,177,"1340 of 3139"
"Cherokee County",20021,15.8,654,"1349 of 3139"
"Bourbon County",20011,15.9,535,"1363 of 3139"
"Sherman County",20181,16.2,163,"1399 of 3139"
"Brown County",20013,16.4,286,"1420 of 3139"
"Riley County",20161,16.4,2621,"1420 of 3139"
"Shawnee County",20177,16.6,4707,"1442 of 3139"
"Ellsworth County",20053,16.8,117,"1464 of 3139"
"Greenwood County",20073,16.8,200,"1464 of 3139"
"Cowley County",20035,17.0,1142,"1483 of 3139"
"Dickinson County",20041,17.0,485,"1483 of 3139"
"Butler County",20015,17.2,1338,"1519 of 3139"
"Marshall County",20117,17.3,235,"1541 of 3139"
"Anderson County",20003,17.4,255,"1555 of 3139"
"Coffey County",20031,17.4,182,"1555 of 3139"
"Logan County",20109,17.4,75,"1555 of 3139"
"Miami County",20121,17.4,600,"1555 of 3139"
"Pawnee County",20145,17.4,151,"1555 of 3139"
"Reno County",20155,17.4,1801,"1555 of 3139"
"Sumner County",20191,17.4,600,"1555 of 3139"
"Ellis County",20051,17.6,852,"1590 of 3139"
"Saline County",20169,17.6,1553,"1590 of 3139"
"Norton County",20137,17.7,122,"1606 of 3139"
"Jackson County",20085,18.1,328,"1660 of 3139"
"Pottawatomie County",20149,18.2,512,"1677 of 3139"
"Wabaunsee County",20197,18.2,135,"1677 of 3139"
"Kingman County",20095,18.3,180,"1695 of 3139"
"Doniphan County",20043,18.5,211,"1728 of 3139"
"Phillips County",20147,18.5,160,"1728 of 3139"
"Mitchell County",20123,18.6,165,"1744 of 3139"
"Nemaha County",20131,18.6,228,"1744 of 3139"
"Thomas County",20193,18.6,203,"1744 of 3139"
"Republic County",20157,18.7,133,"1754 of 3139"
"Douglas County",20045,18.8,4187,"1765 of 3139"
"Montgomery County",20125,18.9,1282,"1786 of 3139"
"Pratt County",20151,18.9,265,"1786 of 3139"
"Woodson County",20207,18.9,122,"1786 of 3139"
"McPherson County",20113,19.1,608,"1804 of 3139"
"Russell County",20167,19.2,235,"1823 of 3139"
"Osage County",20139,19.3,452,"1840 of 3139"
"Rooks County",20163,19.3,155,"1840 of 3139"
"Linn County",20107,19.5,338,"1882 of 3139"
"Chase County",20017,19.6,72,"1895 of 3139"
"Rush County",20165,19.6,94,"1895 of 3139"
"Osborne County",20141,19.8,125,"1928 of 3139"
