------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Kansas",20000,9.5,179213,"17 of 52"
"United States",00000,12.7,27437114,"N/A"
"Riley County",20161,4.1,1556,"45 of 3141"
"Johnson County",20091,4.3,16797,"57 of 3141"
"Mitchell County",20123,4.7,198,"73 of 3141"
"Douglas County",20045,4.7,3172,"77 of 3141"
"Thomas County",20193,4.8,242,"83 of 3141"
"Republic County",20157,4.9,174,"99 of 3141"
"Jackson County",20085,5.0,450,"105 of 3141"
"Miami County",20121,5.1,1149,"113 of 3141"
"Ottawa County",20143,5.2,212,"114 of 3141"
"Jewell County",20089,5.2,115,"116 of 3141"
"Sherman County",20181,5.2,212,"119 of 3141"
"Pottawatomie County",20149,5.3,779,"129 of 3141"
"Rawlins County",20153,5.4,102,"141 of 3141"
"Lincoln County",20105,5.8,127,"172 of 3141"
"Lane County",20101,6.5,76,"280 of 3141"
"Clark County",20025,6.6,94,"286 of 3141"
"Sheridan County",20179,6.6,119,"289 of 3141"
"Brown County",20013,6.7,439,"303 of 3141"
"Graham County",20065,6.7,130,"308 of 3141"
"Wabaunsee County",20197,6.7,319,"309 of 3141"
"Ellis County",20051,6.8,1167,"315 of 3141"
"Phillips County",20147,6.8,257,"323 of 3141"
"Smith County",20183,6.8,187,"325 of 3141"
"Trego County",20195,6.8,145,"326 of 3141"
"Kingman County",20095,6.9,366,"329 of 3141"
"Geary County",20061,7.2,1384,"382 of 3141"
"Marshall County",20117,7.3,502,"388 of 3141"
"Barber County",20007,7.4,252,"419 of 3141"
"Hodgeman County",20083,7.4,99,"421 of 3141"
"Coffey County",20031,7.4,435,"429 of 3141"
"Jefferson County",20087,7.4,979,"435 of 3141"
"Cheyenne County",20023,7.4,141,"439 of 3141"
"Comanche County",20033,7.5,92,"450 of 3141"
"Nemaha County",20131,7.5,502,"460 of 3141"
"Allen County",20001,7.6,653,"471 of 3141"
"Atchison County",20005,7.6,774,"492 of 3141"
"Butler County",20015,7.7,3325,"497 of 3141"
"Clay County",20027,7.8,445,"516 of 3141"
"Sumner County",20191,7.9,1242,"552 of 3141"
"Chase County",20017,8.0,148,"569 of 3141"
"Franklin County",20059,8.0,1360,"579 of 3141"
"Osborne County",20141,8.0,212,"586 of 3141"
"Gove County",20063,8.1,156,"596 of 3141"
"Washington County",20201,8.1,316,"599 of 3141"
"Neosho County",20133,8.1,877,"612 of 3141"
"Pratt County",20151,8.2,515,"623 of 3141"
"Leavenworth County",20103,8.4,4495,"653 of 3141"
"Logan County",20109,8.4,161,"657 of 3141"
"Shawnee County",20177,8.4,10094,"658 of 3141"
"Wallace County",20199,8.5,92,"668 of 3141"
"McPherson County",20113,8.6,1664,"690 of 3141"
"Cloud County",20029,8.7,539,"723 of 3141"
"Decatur County",20039,8.7,189,"726 of 3141"
"Rooks County",20163,8.8,316,"732 of 3141"
"Ness County",20135,8.8,193,"749 of 3141"
"Harvey County",20079,8.8,2016,"750 of 3141"
"Russell County",20167,8.9,458,"769 of 3141"
"Osage County",20139,9.1,1003,"811 of 3141"
"Rush County",20165,9.2,210,"820 of 3141"
"Ellsworth County",20053,9.2,423,"825 of 3141"
"Anderson County",20003,9.2,495,"843 of 3141"
"Bourbon County",20011,9.6,918,"935 of 3141"
"Pawnee County",20145,9.6,485,"941 of 3141"
"Crawford County",20037,9.7,2259,"953 of 3141"
"Norton County",20137,9.7,386,"963 of 3141"
"Dickinson County",20041,9.8,1290,"974 of 3141"
"Kiowa County",20097,9.9,162,"997 of 3141"
"Doniphan County",20043,9.9,506,"1005 of 3141"
"Saline County",20169,9.9,3670,"1007 of 3141"
"Cowley County",20035,10.0,2323,"1025 of 3141"
"Elk County",20049,10.1,195,"1045 of 3141"
"Greenwood County",20073,10.1,457,"1055 of 3141"
"Marion County",20115,10.2,846,"1072 of 3141"
"Linn County",20107,10.7,727,"1212 of 3141"
"Montgomery County",20125,10.8,2438,"1233 of 3141"
"Sedgwick County",20173,10.9,35679,"1240 of 3141"
"Rice County",20159,10.9,694,"1255 of 3141"
"Lyon County",20111,10.9,2179,"1262 of 3141"
"Harper County",20077,11.1,444,"1296 of 3141"
"Greeley County",20071,11.4,95,"1370 of 3141"
"Stafford County",20185,11.5,339,"1385 of 3141"
"Woodson County",20207,11.6,273,"1407 of 3141"
"Morris County",20127,11.8,485,"1461 of 3141"
"Wilson County",20205,12.2,751,"1525 of 3141"
"Cherokee County",20021,12.3,1718,"1536 of 3141"
"Reno County",20155,12.3,5312,"1539 of 3141"
"Chautauqua County",20019,12.4,308,"1560 of 3141"
"Barton County",20009,12.4,2267,"1571 of 3141"
"Labette County",20099,12.8,1790,"1637 of 3141"
"Morton County",20129,14.4,266,"1888 of 3141"
"Scott County",20171,14.7,484,"1927 of 3141"
"Wichita County",20203,15.6,228,"2083 of 3141"
"Hamilton County",20075,17.5,282,"2332 of 3141"
"Edwards County",20047,17.5,361,"2337 of 3141"
"Meade County",20119,17.9,492,"2372 of 3141"
"Stevens County",20189,18.7,664,"2452 of 3141"
"Wyandotte County",20209,21.2,21841,"2716 of 3141"
"Kearny County",20093,21.9,537,"2785 of 3141"
"Stanton County",20187,22.1,303,"2800 of 3141"
"Gray County",20069,23.6,884,"2900 of 3141"
"Grant County",20067,27.2,1257,"3045 of 3141"
"Finney County",20055,28.7,6200,"3062 of 3141"
"Ford County",20057,29.2,5957,"3070 of 3141"
"Haskell County",20081,30.6,766,"3090 of 3141"
"Seward County",20175,32.8,4354,"3112 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
