------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Kansas",20000,5.8,168470,"33 of 52"
"United States",00000,12.7,40610815,"N/A"
"Cheyenne County",20023,0.0,0,"3052 of 3141"
"Comanche County",20033,0.0,0,"3052 of 3141"
"Grant County",20067,0.0,0,"3052 of 3141"
"Haskell County",20081,0.0,0,"3052 of 3141"
"Hodgeman County",20083,0.0,0,"3052 of 3141"
"Scott County",20171,0.0,0,"3052 of 3141"
"Wallace County",20199,0.0,0,"3052 of 3141"
"Rush County",20165,0.0,1,"3037 of 3141"
"Logan County",20109,0.0,1,"3031 of 3141"
"Lane County",20101,0.1,1,"3006 of 3141"
"Stevens County",20189,0.1,5,"2977 of 3141"
"Morris County",20127,0.1,5,"2975 of 3141"
"Trego County",20195,0.1,4,"2919 of 3141"
"Gove County",20063,0.2,4,"2903 of 3141"
"Elk County",20049,0.2,4,"2901 of 3141"
"Decatur County",20039,0.2,5,"2888 of 3141"
"Harper County",20077,0.2,10,"2886 of 3141"
"Anderson County",20003,0.2,15,"2869 of 3141"
"Republic County",20157,0.2,10,"2850 of 3141"
"Ness County",20135,0.2,7,"2827 of 3141"
"Greenwood County",20073,0.2,15,"2817 of 3141"
"Pratt County",20151,0.3,26,"2794 of 3141"
"Marshall County",20117,0.3,28,"2787 of 3141"
"Sherman County",20181,0.3,19,"2739 of 3141"
"Wabaunsee County",20197,0.3,22,"2735 of 3141"
"Kingman County",20095,0.4,27,"2692 of 3141"
"Jewell County",20089,0.4,11,"2683 of 3141"
"Smith County",20183,0.4,14,"2677 of 3141"
"Chautauqua County",20019,0.4,13,"2674 of 3141"
"Washington County",20201,0.4,22,"2660 of 3141"
"Rawlins County",20153,0.4,10,"2653 of 3141"
"Cherokee County",20021,0.4,83,"2641 of 3141"
"Phillips County",20147,0.4,23,"2627 of 3141"
"Stanton County",20187,0.4,9,"2620 of 3141"
"Osborne County",20141,0.5,17,"2580 of 3141"
"Sheridan County",20179,0.5,12,"2550 of 3141"
"Wilson County",20205,0.5,46,"2504 of 3141"
"Nemaha County",20131,0.5,55,"2476 of 3141"
"Jefferson County",20087,0.6,105,"2459 of 3141"
"Gray County",20069,0.6,37,"2387 of 3141"
"Pottawatomie County",20149,0.6,150,"2354 of 3141"
"Jackson County",20085,0.7,87,"2347 of 3141"
"Clay County",20027,0.7,54,"2342 of 3141"
"Stafford County",20185,0.7,28,"2340 of 3141"
"Marion County",20115,0.7,80,"2336 of 3141"
"Barber County",20007,0.7,33,"2315 of 3141"
"Lincoln County",20105,0.7,21,"2314 of 3141"
"Mitchell County",20123,0.7,42,"2313 of 3141"
"Kearny County",20093,0.7,27,"2297 of 3141"
"Wichita County",20203,0.7,15,"2289 of 3141"
"Cloud County",20029,0.7,64,"2287 of 3141"
"Rooks County",20163,0.7,36,"2285 of 3141"
"Osage County",20139,0.7,113,"2270 of 3141"
"Meade County",20119,0.7,31,"2256 of 3141"
"Coffey County",20031,0.8,63,"2237 of 3141"
"Ottawa County",20143,0.8,46,"2224 of 3141"
"Linn County",20107,0.8,78,"2187 of 3141"
"Morton County",20129,0.8,24,"2179 of 3141"
"Greeley County",20071,0.8,10,"2173 of 3141"
"Dickinson County",20041,0.9,174,"2109 of 3141"
"Ellis County",20051,0.9,269,"2094 of 3141"
"Sumner County",20191,1.0,226,"2055 of 3141"
"McPherson County",20113,1.0,300,"2012 of 3141"
"Brown County",20013,1.1,107,"1985 of 3141"
"Woodson County",20207,1.1,35,"1984 of 3141"
"Clark County",20025,1.1,24,"1968 of 3141"
"Neosho County",20133,1.2,199,"1924 of 3141"
"Russell County",20167,1.2,87,"1919 of 3141"
"Edwards County",20047,1.3,39,"1889 of 3141"
"Barton County",20009,1.4,373,"1853 of 3141"
"Allen County",20001,1.5,185,"1825 of 3141"
"Chase County",20017,1.5,39,"1818 of 3141"
"Kiowa County",20097,1.5,37,"1815 of 3141"
"Franklin County",20059,1.5,388,"1791 of 3141"
"Miami County",20121,1.5,502,"1786 of 3141"
"Thomas County",20193,1.6,123,"1767 of 3141"
"Rice County",20159,1.9,191,"1644 of 3141"
"Harvey County",20079,2.0,704,"1623 of 3141"
"Lyon County",20111,2.2,728,"1583 of 3141"
"Finney County",20055,2.2,814,"1581 of 3141"
"Butler County",20015,2.2,1461,"1579 of 3141"
"Ford County",20057,2.3,787,"1563 of 3141"
"Norton County",20137,2.4,131,"1543 of 3141"
"Crawford County",20037,2.5,981,"1509 of 3141"
"Reno County",20155,2.8,1791,"1441 of 3141"
"Cowley County",20035,3.0,1077,"1409 of 3141"
"Saline County",20169,3.1,1711,"1398 of 3141"
"Atchison County",20005,3.1,510,"1396 of 3141"
"Bourbon County",20011,3.2,478,"1370 of 3141"
"Hamilton County",20075,3.3,86,"1362 of 3141"
"Doniphan County",20043,3.7,292,"1297 of 3141"
"Ellsworth County",20053,3.8,242,"1279 of 3141"
"Labette County",20099,3.9,792,"1275 of 3141"
"Graham County",20065,4.1,104,"1244 of 3141"
"Douglas County",20045,4.1,4840,"1234 of 3141"
"Johnson County",20091,4.6,26612,"1184 of 3141"
"Seward County",20175,4.7,1068,"1179 of 3141"
"Pawnee County",20145,5.2,351,"1117 of 3141"
"Montgomery County",20125,5.3,1776,"1105 of 3141"
"Riley County",20161,6.5,4903,"998 of 3141"
"Shawnee County",20177,7.9,14105,"904 of 3141"
