------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '20', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=20&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kansas by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Kansas",20000,14.7,426273,"33 of 52"
"United States",00000,14.9,47732389,"N/A"
"Geary County",20061,7.8,2805,"3123 of 3141"
"Riley County",20161,8.3,6256,"3117 of 3141"
"Seward County",20175,9.5,2182,"3083 of 3141"
"Finney County",20055,9.9,3655,"3069 of 3141"
"Ford County",20057,10.4,3609,"3046 of 3141"
"Douglas County",20045,10.8,12728,"3017 of 3141"
"Grant County",20067,11.4,880,"2962 of 3141"
"Wyandotte County",20209,11.5,18821,"2946 of 3141"
"Hamilton County",20075,12.1,318,"2881 of 3141"
"Stevens County",20189,12.9,740,"2771 of 3141"
"Johnson County",20091,13.1,75988,"2731 of 3141"
"Leavenworth County",20103,13.2,10449,"2726 of 3141"
"Sedgwick County",20173,13.2,67517,"2713 of 3141"
"Pottawatomie County",20149,13.4,3099,"2698 of 3141"
"Haskell County",20081,13.8,563,"2637 of 3141"
"Lyon County",20111,13.8,4602,"2631 of 3141"
"Kearny County",20093,13.8,544,"2627 of 3141"
"Butler County",20015,14.0,9282,"2594 of 3141"
"Ellis County",20051,14.2,4102,"2549 of 3141"
"Gray County",20069,14.7,883,"2451 of 3141"
"Crawford County",20037,14.9,5837,"2398 of 3141"
"Franklin County",20059,15.9,4068,"2137 of 3141"
"Thomas County",20193,16.0,1257,"2093 of 3141"
"Saline County",20169,16.2,8959,"2042 of 3141"
"Miami County",20121,16.5,5440,"1942 of 3141"
"Shawnee County",20177,16.6,29543,"1913 of 3141"
"Atchison County",20005,16.6,2732,"1898 of 3141"
"Scott County",20171,17.0,845,"1783 of 3141"
"Cowley County",20035,17.3,6173,"1687 of 3141"
"Meade County",20119,17.3,742,"1686 of 3141"
"Morton County",20129,17.4,510,"1640 of 3141"
"Sumner County",20191,17.4,4067,"1627 of 3141"
"Jefferson County",20087,17.8,3348,"1519 of 3141"
"Jackson County",20085,17.8,2367,"1515 of 3141"
"Barton County",20009,17.8,4820,"1498 of 3141"
"Doniphan County",20043,17.8,1388,"1493 of 3141"
"Rice County",20159,17.8,1759,"1490 of 3141"
"Cherokee County",20021,18.0,3695,"1439 of 3141"
"Wabaunsee County",20197,18.1,1250,"1422 of 3141"
"Labette County",20099,18.1,3719,"1416 of 3141"
"Pratt County",20151,18.2,1759,"1387 of 3141"
"Harvey County",20079,18.4,6374,"1334 of 3141"
"Reno County",20155,18.4,11670,"1318 of 3141"
"Neosho County",20133,18.5,2997,"1296 of 3141"
"Stanton County",20187,18.6,392,"1260 of 3141"
"Dickinson County",20041,18.6,3566,"1258 of 3141"
"Bourbon County",20011,18.6,2748,"1254 of 3141"
"Ottawa County",20143,18.7,1116,"1225 of 3141"
"Montgomery County",20125,18.8,6285,"1202 of 3141"
"Brown County",20013,18.8,1833,"1185 of 3141"
"Osage County",20139,18.9,2999,"1173 of 3141"
"McPherson County",20113,18.9,5438,"1164 of 3141"
"Sherman County",20181,19.0,1140,"1132 of 3141"
"Nemaha County",20131,19.6,1975,"975 of 3141"
"Allen County",20001,19.6,2502,"960 of 3141"
"Wichita County",20203,19.7,424,"953 of 3141"
"Edwards County",20047,19.7,580,"943 of 3141"
"Norton County",20137,19.7,1090,"934 of 3141"
"Pawnee County",20145,19.8,1344,"908 of 3141"
"Coffey County",20031,19.9,1654,"904 of 3141"
"Kiowa County",20097,19.9,502,"897 of 3141"
"Lane County",20101,20.0,341,"855 of 3141"
"Ellsworth County",20053,20.3,1287,"778 of 3141"
"Wilson County",20205,20.5,1814,"748 of 3141"
"Stafford County",20185,20.5,871,"744 of 3141"
"Cloud County",20029,20.5,1885,"743 of 3141"
"Wallace County",20199,20.6,327,"725 of 3141"
"Logan County",20109,20.6,575,"709 of 3141"
"Marshall County",20117,20.9,2061,"661 of 3141"
"Rooks County",20163,21.1,1084,"634 of 3141"
"Barber County",20007,21.1,1036,"619 of 3141"
"Linn County",20107,21.2,2032,"615 of 3141"
"Anderson County",20003,21.2,1662,"608 of 3141"
"Kingman County",20095,21.4,1620,"578 of 3141"
"Clark County",20025,21.5,450,"550 of 3141"
"Harper County",20077,21.5,1238,"549 of 3141"
"Phillips County",20147,21.7,1184,"522 of 3141"
"Hodgeman County",20083,21.9,411,"502 of 3141"
"Greeley County",20071,22.0,266,"495 of 3141"
"Sheridan County",20179,22.5,562,"427 of 3141"
"Marion County",20115,22.6,2734,"420 of 3141"
"Clay County",20027,22.7,1861,"413 of 3141"
"Mitchell County",20123,22.7,1415,"411 of 3141"
"Trego County",20195,22.7,659,"407 of 3141"
"Lincoln County",20105,22.9,716,"380 of 3141"
"Woodson County",20207,23.3,741,"354 of 3141"
"Chase County",20017,23.5,626,"336 of 3141"
"Russell County",20167,23.6,1646,"334 of 3141"
"Washington County",20201,23.9,1333,"304 of 3141"
"Morris County",20127,24.0,1343,"301 of 3141"
"Osborne County",20141,24.1,888,"282 of 3141"
"Greenwood County",20073,24.4,1518,"259 of 3141"
"Rush County",20165,24.5,763,"251 of 3141"
"Ness County",20135,24.6,739,"238 of 3141"
"Comanche County",20033,24.9,434,"220 of 3141"
"Chautauqua County",20019,25.0,857,"213 of 3141"
"Graham County",20065,25.7,657,"178 of 3141"
"Rawlins County",20153,26.3,664,"141 of 3141"
"Gove County",20063,26.4,694,"138 of 3141"
"Cheyenne County",20023,26.7,716,"123 of 3141"
"Smith County",20183,26.9,995,"111 of 3141"
"Decatur County",20039,27.2,785,"101 of 3141"
"Republic County",20157,27.2,1282,"99 of 3141"
"Elk County",20049,28.3,730,"73 of 3141"
"Jewell County",20089,28.4,841,"70 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
