------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '21', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kentucky by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"Kentucky",21000,6.8,140717,"31 of 52"
"Lyon County",21143,3.4,100,"427 of 3141"
"Oldham County",21185,3.5,1118,"450 of 3141"
"Woodford County",21239,3.8,511,"538 of 3141"
"Shelby County",21211,4.4,1025,"761 of 3141"
"Crittenden County",21055,4.4,169,"769 of 3141"
"Rowan County",21205,4.5,473,"816 of 3141"
"Ballard County",21007,4.7,167,"907 of 3141"
"Henderson County",21101,4.8,1049,"944 of 3141"
"Pendleton County",21191,4.8,323,"960 of 3141"
"Scott County",21209,4.8,1360,"976 of 3141"
"Boyle County",21021,4.9,634,"990 of 3141"
"Grant County",21081,4.9,539,"1005 of 3141"
"Boone County",21015,4.9,3346,"1013 of 3141"
"McCracken County",21145,4.9,1494,"1019 of 3141"
"Elliott County",21063,5.0,94,"1040 of 3141"
"Simpson County",21213,5.1,421,"1070 of 3141"
"Green County",21087,5.1,249,"1097 of 3141"
"Cumberland County",21057,5.1,130,"1105 of 3141"
"Kenton County",21117,5.3,4620,"1185 of 3141"
"Owen County",21187,5.3,224,"1197 of 3141"
"Powell County",21197,5.4,262,"1220 of 3141"
"Butler County",21031,5.4,294,"1221 of 3141"
"Menifee County",21165,5.4,144,"1232 of 3141"
"Campbell County",21037,5.4,2641,"1246 of 3141"
"Warren County",21227,5.6,3555,"1322 of 3141"
"Spencer County",21215,5.6,540,"1340 of 3141"
"Calloway County",21035,5.7,1056,"1394 of 3141"
"Washington County",21229,5.7,343,"1405 of 3141"
"Metcalfe County",21169,5.8,237,"1417 of 3141"
"Mason County",21161,5.8,435,"1428 of 3141"
"Robertson County",21201,5.9,55,"1479 of 3141"
"Bullitt County",21029,5.9,2400,"1483 of 3141"
"Nelson County",21179,5.9,1337,"1504 of 3141"
"Livingston County",21139,5.9,254,"1513 of 3141"
"Hopkins County",21107,5.9,1196,"1515 of 3141"
"Daviess County",21059,6.0,2855,"1542 of 3141"
"Gallatin County",21077,6.0,239,"1556 of 3141"
"Fayette County",21067,6.1,10512,"1588 of 3141"
"Webster County",21233,6.1,332,"1602 of 3141"
"Hancock County",21091,6.2,238,"1634 of 3141"
"Adair County",21001,6.2,527,"1638 of 3141"
"Logan County",21141,6.2,714,"1667 of 3141"
"Anderson County",21005,6.3,695,"1691 of 3141"
"Larue County",21123,6.3,414,"1712 of 3141"
"Marshall County",21157,6.3,884,"1714 of 3141"
"Jefferson County",21111,6.4,25562,"1728 of 3141"
"Hardin County",21093,6.4,3251,"1740 of 3141"
"Grayson County",21085,6.4,721,"1759 of 3141"
"Henry County",21103,6.5,498,"1822 of 3141"
"Hart County",21099,6.6,501,"1859 of 3141"
"Clark County",21049,6.7,1136,"1903 of 3141"
"Nicholas County",21181,6.8,208,"1946 of 3141"
"Caldwell County",21033,6.9,393,"1996 of 3141"
"Todd County",21219,6.9,353,"2007 of 3141"
"Madison County",21151,6.9,3089,"2010 of 3141"
"Bourbon County",21017,6.9,696,"2017 of 3141"
"Harrison County",21097,6.9,584,"2018 of 3141"
"Jessamine County",21113,6.9,1775,"2019 of 3141"
"Lewis County",21135,7.0,342,"2045 of 3141"
"Carlisle County",21039,7.0,150,"2070 of 3141"
"McLean County",21149,7.1,295,"2095 of 3141"
"Franklin County",21073,7.2,1831,"2106 of 3141"
"Union County",21225,7.3,513,"2140 of 3141"
"Clinton County",21053,7.4,308,"2212 of 3141"
"Casey County",21045,7.5,466,"2228 of 3141"
"Allen County",21003,7.5,684,"2234 of 3141"
"Bracken County",21023,7.6,286,"2255 of 3141"
"Barren County",21009,7.6,1507,"2263 of 3141"
"Fulton County",21075,7.6,188,"2273 of 3141"
"Taylor County",21217,7.6,863,"2286 of 3141"
"Monroe County",21171,7.7,354,"2302 of 3141"
"Graves County",21083,7.7,1311,"2327 of 3141"
"Bath County",21011,7.8,377,"2354 of 3141"
"Lawrence County",21127,7.8,431,"2369 of 3141"
"Montgomery County",21173,7.9,970,"2374 of 3141"
"Christian County",21047,8.0,2109,"2433 of 3141"
"Morgan County",21175,8.1,322,"2448 of 3141"
"Meade County",21163,8.2,1055,"2477 of 3141"
"Hickman County",21105,8.5,152,"2570 of 3141"
"Pulaski County",21199,8.6,2334,"2579 of 3141"
"Jackson County",21109,8.6,398,"2587 of 3141"
"Lincoln County",21137,8.7,907,"2598 of 3141"
"Greenup County",21089,8.7,1302,"2610 of 3141"
"Garrard County",21079,8.9,713,"2641 of 3141"
"Bell County",21013,9.0,747,"2667 of 3141"
"Mercer County",21167,9.1,963,"2684 of 3141"
"Clay County",21051,9.1,577,"2691 of 3141"
"Johnson County",21115,9.2,696,"2707 of 3141"
"Whitley County",21235,9.2,1301,"2713 of 3141"
"Edmonson County",21061,9.3,474,"2723 of 3141"
"Boyd County",21019,9.3,1868,"2730 of 3141"
"Marion County",21155,9.4,820,"2755 of 3141"
"Russell County",21207,9.4,654,"2759 of 3141"
"Fleming County",21069,9.5,613,"2777 of 3141"
"Muhlenberg County",21177,9.6,1221,"2792 of 3141"
"Rockcastle County",21203,9.7,674,"2805 of 3141"
"Breckinridge County",21027,9.8,842,"2815 of 3141"
"Laurel County",21125,9.9,2473,"2829 of 3141"
"Carter County",21043,10.0,1062,"2845 of 3141"
"Ohio County",21183,10.0,1039,"2857 of 3141"
"Wayne County",21231,10.1,785,"2870 of 3141"
"Carroll County",21041,10.3,512,"2891 of 3141"
"Lee County",21129,10.3,197,"2895 of 3141"
"Magoffin County",21153,10.3,429,"2898 of 3141"
"Trigg County",21221,10.4,665,"2909 of 3141"
"Trimble County",21223,10.5,451,"2916 of 3141"
"Wolfe County",21237,10.5,223,"2919 of 3141"
"Harlan County",21095,10.7,905,"2933 of 3141"
"Knox County",21121,10.7,1120,"2937 of 3141"
"Pike County",21195,10.9,2458,"2947 of 3141"
"Floyd County",21071,11.6,1456,"2989 of 3141"
"Breathitt County",21025,11.9,544,"3008 of 3141"
"Letcher County",21133,12.2,978,"3017 of 3141"
"Estill County",21065,12.4,710,"3028 of 3141"
"Owsley County",21189,12.5,177,"3032 of 3141"
"Perry County",21193,13.1,1331,"3049 of 3141"
"Knott County",21119,13.6,743,"3061 of 3141"
"Leslie County",21131,14.6,473,"3075 of 3141"
"Martin County",21159,15.4,552,"3096 of 3141"
"McCreary County",21147,15.8,844,"3103 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
