------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '21', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kentucky by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Kentucky",21000,23.2,692568,"49 of 52"
"United States",00000,30.9,66887603,"N/A"
"Elliott County",21063,7.5,413,"3129 of 3141"
"McCreary County",21147,7.6,935,"3124 of 3141"
"Wolfe County",21237,7.8,391,"3122 of 3141"
"Martin County",21159,8.2,700,"3113 of 3141"
"Livingston County",21139,8.9,601,"3089 of 3141"
"Lee County",21129,8.9,442,"3085 of 3141"
"Leslie County",21131,8.9,674,"3084 of 3141"
"Webster County",21233,9.0,817,"3080 of 3141"
"Hickman County",21105,9.3,306,"3070 of 3141"
"Bell County",21013,9.3,1801,"3068 of 3141"
"Clay County",21051,9.5,1402,"3056 of 3141"
"Owen County",21187,9.6,714,"3048 of 3141"
"Grayson County",21085,9.9,1745,"3036 of 3141"
"Estill County",21065,9.9,1015,"3033 of 3141"
"Breckinridge County",21027,9.9,1374,"3031 of 3141"
"Knox County",21121,10.0,2097,"3030 of 3141"
"Clinton County",21053,10.1,717,"3029 of 3141"
"Magoffin County",21153,10.1,893,"3024 of 3141"
"Nicholas County",21181,10.4,502,"3005 of 3141"
"Jackson County",21109,10.5,964,"3000 of 3141"
"Lincoln County",21137,10.8,1815,"2976 of 3141"
"McLean County",21149,10.8,698,"2974 of 3141"
"Henry County",21103,10.9,1165,"2965 of 3141"
"Ohio County",21183,11.0,1809,"2960 of 3141"
"Green County",21087,11.0,871,"2956 of 3141"
"Hancock County",21091,11.1,646,"2939 of 3141"
"Edmonson County",21061,11.1,959,"2938 of 3141"
"Muhlenberg County",21177,11.3,2432,"2921 of 3141"
"Union County",21225,11.3,1101,"2916 of 3141"
"Menifee County",21165,11.4,530,"2914 of 3141"
"Harlan County",21095,11.4,2169,"2910 of 3141"
"Wayne County",21231,11.4,1645,"2904 of 3141"
"Lawrence County",21127,11.6,1270,"2884 of 3141"
"Letcher County",21133,11.7,1909,"2877 of 3141"
"Bath County",21011,11.7,948,"2874 of 3141"
"Butler County",21031,11.7,1052,"2867 of 3141"
"Carroll County",21041,11.8,837,"2862 of 3141"
"Trimble County",21223,11.8,715,"2849 of 3141"
"Rockcastle County",21203,11.9,1398,"2848 of 3141"
"Gallatin County",21077,11.9,691,"2842 of 3141"
"Metcalfe County",21169,12.1,839,"2817 of 3141"
"Lewis County",21135,12.1,1155,"2810 of 3141"
"Morgan County",21175,12.2,1198,"2803 of 3141"
"Larue County",21123,12.2,1204,"2799 of 3141"
"Casey County",21045,12.4,1359,"2779 of 3141"
"Pendleton County",21191,12.4,1245,"2772 of 3141"
"Grant County",21081,12.4,1973,"2768 of 3141"
"Todd County",21219,12.6,1014,"2739 of 3141"
"Hart County",21099,12.6,1570,"2738 of 3141"
"Floyd County",21071,12.6,3293,"2734 of 3141"
"Perry County",21193,12.6,2409,"2733 of 3141"
"Breathitt County",21025,12.6,1173,"2725 of 3141"
"Knott County",21119,12.9,1386,"2690 of 3141"
"Marion County",21155,13.0,1703,"2671 of 3141"
"Pike County",21195,13.0,5623,"2665 of 3141"
"Laurel County",21125,13.0,5329,"2661 of 3141"
"Cumberland County",21057,13.2,625,"2630 of 3141"
"Crittenden County",21055,13.3,853,"2614 of 3141"
"Fleming County",21069,13.4,1316,"2606 of 3141"
"Powell County",21197,13.4,1121,"2597 of 3141"
"Russell County",21207,13.4,1675,"2592 of 3141"
"Bullitt County",21029,13.9,7536,"2511 of 3141"
"Carter County",21043,14.0,2604,"2498 of 3141"
"Bracken County",21023,14.0,790,"2497 of 3141"
"Lyon County",21143,14.0,917,"2492 of 3141"
"Ballard County",21007,14.1,803,"2482 of 3141"
"Allen County",21003,14.4,2023,"2430 of 3141"
"Monroe County",21171,14.8,1094,"2354 of 3141"
"Logan County",21141,14.8,2708,"2346 of 3141"
"Fulton County",21075,14.9,656,"2332 of 3141"
"Johnson County",21115,15.1,2427,"2293 of 3141"
"Simpson County",21213,15.1,1833,"2282 of 3141"
"Pulaski County",21199,15.2,6810,"2266 of 3141"
"Harrison County",21097,15.4,1960,"2238 of 3141"
"Carlisle County",21039,15.5,531,"2222 of 3141"
"Hopkins County",21107,15.7,5013,"2183 of 3141"
"Owsley County",21189,15.7,486,"2181 of 3141"
"Garrard County",21079,15.7,1916,"2179 of 3141"
"Adair County",21001,15.8,2032,"2154 of 3141"
"Graves County",21083,16.2,4091,"2067 of 3141"
"Barren County",21009,16.2,4796,"2057 of 3141"
"Caldwell County",21033,16.5,1485,"2022 of 3141"
"Christian County",21047,16.8,6923,"1971 of 3141"
"Henderson County",21101,16.8,5360,"1966 of 3141"
"Trigg County",21221,16.9,1730,"1950 of 3141"
"Montgomery County",21173,17.0,3165,"1941 of 3141"
"Mercer County",21167,17.0,2544,"1934 of 3141"
"Greenup County",21089,17.2,4390,"1902 of 3141"
"Robertson County",21201,17.2,266,"1896 of 3141"
"Meade County",21163,17.4,3341,"1869 of 3141"
"Nelson County",21179,17.5,5284,"1846 of 3141"
"Marshall County",21157,17.5,3966,"1837 of 3141"
"Washington County",21229,17.7,1416,"1805 of 3141"
"Mason County",21161,18.5,2157,"1680 of 3141"
"Taylor County",21217,18.8,3111,"1606 of 3141"
"Bourbon County",21017,19.0,2638,"1582 of 3141"
"Boyd County",21019,19.4,6698,"1511 of 3141"
"Spencer County",21215,19.8,2486,"1437 of 3141"
"Whitley County",21235,19.9,4606,"1416 of 3141"
"Anderson County",21005,20.0,3026,"1399 of 3141"
"Daviess County",21059,21.6,14445,"1159 of 3141"
"Clark County",21049,21.7,5408,"1150 of 3141"
"Boyle County",21021,23.0,4545,"978 of 3141"
"Hardin County",21093,23.5,16527,"927 of 3141"
"McCracken County",21145,24.2,11138,"853 of 3141"
"Shelby County",21211,24.3,7544,"850 of 3141"
"Rowan County",21205,26.7,3720,"670 of 3141"
"Scott County",21209,28.1,9552,"579 of 3141"
"Franklin County",21073,28.4,9914,"566 of 3141"
"Calloway County",21035,28.8,6831,"546 of 3141"
"Kenton County",21117,29.7,32886,"507 of 3141"
"Jessamine County",21113,30.0,10043,"486 of 3141"
"Madison County",21151,30.3,16320,"465 of 3141"
"Warren County",21227,30.4,22767,"460 of 3141"
"Boone County",21015,31.5,26260,"397 of 3141"
"Campbell County",21037,31.9,19998,"376 of 3141"
"Jefferson County",21111,32.3,169425,"364 of 3141"
"Woodford County",21239,32.8,5846,"345 of 3141"
"Oldham County",21185,40.4,17270,"155 of 3141"
"Fayette County",21067,41.8,85285,"127 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
