------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '21', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kentucky by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Kentucky",21000,49.3,2179025,"26 of 52"
"Owsley County",21189,43.5,1955,"3 of 3141"
"Hickman County",21105,46.6,2156,"49 of 3141"
"Caldwell County",21033,46.9,5973,"66 of 3141"
"Nicholas County",21181,47.6,3362,"160 of 3141"
"McCracken County",21145,47.7,31169,"177 of 3141"
"Woodford County",21239,47.9,12356,"207 of 3141"
"Rowan County",21205,48.1,11727,"274 of 3141"
"Calloway County",21035,48.2,18594,"297 of 3141"
"Anderson County",21005,48.3,10639,"377 of 3141"
"Jefferson County",21111,48.3,369391,"384 of 3141"
"Shelby County",21211,48.3,22151,"389 of 3141"
"Harlan County",21095,48.4,13323,"405 of 3141"
"Henderson County",21101,48.4,22409,"456 of 3141"
"Knox County",21121,48.5,15233,"474 of 3141"
"Bourbon County",21017,48.5,9706,"483 of 3141"
"Green County",21087,48.5,5356,"489 of 3141"
"Wolfe County",21237,48.6,3522,"528 of 3141"
"Rockcastle County",21203,48.6,8168,"529 of 3141"
"Hopkins County",21107,48.6,22353,"555 of 3141"
"Madison County",21151,48.6,42976,"567 of 3141"
"Carlisle County",21039,48.6,2378,"570 of 3141"
"Barren County",21009,48.7,21123,"580 of 3141"
"Daviess County",21059,48.7,48300,"587 of 3141"
"Russell County",21207,48.7,8630,"598 of 3141"
"Laurel County",21125,48.7,29162,"613 of 3141"
"Greenup County",21089,48.7,17533,"615 of 3141"
"Bell County",21013,48.7,13385,"637 of 3141"
"Taylor County",21217,48.7,12381,"642 of 3141"
"Clark County",21049,48.7,17426,"643 of 3141"
"Jessamine County",21113,48.8,25213,"694 of 3141"
"Pike County",21195,48.8,30063,"704 of 3141"
"Floyd County",21071,48.9,18314,"798 of 3141"
"Logan County",21141,48.9,13131,"802 of 3141"
"Washington County",21229,48.9,5873,"844 of 3141"
"Warren County",21227,49.0,60616,"851 of 3141"
"Letcher County",21133,49.0,11267,"860 of 3141"
"Lincoln County",21137,49.0,11960,"892 of 3141"
"Garrard County",21079,49.0,8442,"899 of 3141"
"Campbell County",21037,49.0,45005,"913 of 3141"
"Owen County",21187,49.0,5239,"916 of 3141"
"Franklin County",21073,49.0,24502,"923 of 3141"
"Trimble County",21223,49.0,4265,"925 of 3141"
"Fayette County",21067,49.0,154530,"926 of 3141"
"Graves County",21083,49.1,18276,"937 of 3141"
"Johnson County",21115,49.1,11314,"943 of 3141"
"Pulaski County",21199,49.1,31404,"975 of 3141"
"Whitley County",21235,49.1,17686,"978 of 3141"
"Mason County",21161,49.1,8429,"990 of 3141"
"Marshall County",21157,49.1,15319,"1019 of 3141"
"Carter County",21043,49.2,13462,"1045 of 3141"
"Harrison County",21097,49.2,9162,"1064 of 3141"
"Powell County",21197,49.2,6075,"1080 of 3141"
"Henry County",21103,49.2,7715,"1102 of 3141"
"Estill County",21065,49.2,7081,"1125 of 3141"
"Casey County",21045,49.3,7785,"1149 of 3141"
"Fleming County",21069,49.3,7155,"1194 of 3141"
"Hart County",21099,49.3,9138,"1207 of 3141"
"Bath County",21011,49.3,6012,"1225 of 3141"
"Webster County",21233,49.3,6502,"1236 of 3141"
"Metcalfe County",21169,49.3,4930,"1263 of 3141"
"Nelson County",21179,49.4,22276,"1274 of 3141"
"Trigg County",21221,49.4,7053,"1291 of 3141"
"Livingston County",21139,49.4,4587,"1323 of 3141"
"Scott County",21209,49.4,25858,"1365 of 3141"
"Kenton County",21117,49.4,81047,"1368 of 3141"
"Fulton County",21075,49.4,3094,"1374 of 3141"
"Boone County",21015,49.4,63122,"1383 of 3141"
"Perry County",21193,49.5,13516,"1408 of 3141"
"Grant County",21081,49.5,12266,"1415 of 3141"
"Larue County",21123,49.5,6976,"1431 of 3141"
"Montgomery County",21173,49.5,13645,"1491 of 3141"
"Allen County",21003,49.6,10227,"1552 of 3141"
"Simpson County",21213,49.7,8883,"1643 of 3141"
"Ohio County",21183,49.7,11957,"1668 of 3141"
"Lewis County",21135,49.7,6748,"1713 of 3141"
"McLean County",21149,49.7,4657,"1718 of 3141"
"Knott County",21119,49.8,7806,"1723 of 3141"
"Bullitt County",21029,49.8,39131,"1742 of 3141"
"Jackson County",21109,49.8,6657,"1765 of 3141"
"Mercer County",21167,49.8,10652,"1787 of 3141"
"Lawrence County",21127,49.9,7900,"1813 of 3141"
"Boyd County",21019,49.9,24180,"1822 of 3141"
"Wayne County",21231,49.9,10320,"1827 of 3141"
"Hardin County",21093,49.9,53731,"1844 of 3141"
"Adair County",21001,49.9,9632,"1853 of 3141"
"Boyle County",21021,50.0,14883,"1936 of 3141"
"Monroe County",21171,50.0,5322,"1942 of 3141"
"Cumberland County",21057,50.0,3372,"1946 of 3141"
"Leslie County",21131,50.0,5325,"1956 of 3141"
"Ballard County",21007,50.0,4077,"1960 of 3141"
"Todd County",21219,50.0,6194,"1981 of 3141"
"Grayson County",21085,50.1,13079,"1990 of 3141"
"Edmonson County",21061,50.1,6049,"2060 of 3141"
"Clinton County",21053,50.1,5119,"2065 of 3141"
"Breckinridge County",21027,50.2,10028,"2079 of 3141"
"Lee County",21129,50.2,3375,"2158 of 3141"
"Bracken County",21023,50.3,4186,"2161 of 3141"
"Breathitt County",21025,50.3,6675,"2177 of 3141"
"Pendleton County",21191,50.3,7307,"2192 of 3141"
"Butler County",21031,50.3,6405,"2194 of 3141"
"Magoffin County",21153,50.3,6436,"2229 of 3141"
"Crittenden County",21055,50.5,4627,"2348 of 3141"
"Muhlenberg County",21177,50.6,15763,"2368 of 3141"
"Marion County",21155,50.7,9799,"2422 of 3141"
"Robertson County",21201,50.8,1098,"2479 of 3141"
"Meade County",21163,50.9,14477,"2500 of 3141"
"Spencer County",21215,51.0,9193,"2548 of 3141"
"Gallatin County",21077,51.1,4420,"2568 of 3141"
"Carroll County",21041,51.1,5467,"2581 of 3141"
"Hancock County",21091,51.7,4494,"2714 of 3141"
"Union County",21225,52.0,7760,"2783 of 3141"
"Oldham County",21185,52.4,33876,"2846 of 3141"
"Clay County",21051,53.0,11054,"2894 of 3141"
"Menifee County",21165,53.0,3382,"2899 of 3141"
"Christian County",21047,53.0,38426,"2904 of 3141"
"McCreary County",21147,54.7,9710,"3018 of 3141"
"Martin County",21159,55.4,6744,"3036 of 3141"
"Lyon County",21143,55.4,4581,"3037 of 3141"
