------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '21', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=21&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Kentucky by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"United States",00000,23.7,74202606,"N/A"
"Kentucky",21000,28.5,1221297,"46 of 52"
"Oldham County",21185,8.6,5237,"18 of 3141"
"Boone County",21015,13.4,16920,"152 of 3141"
"Spencer County",21215,15.2,2713,"248 of 3141"
"Bullitt County",21029,16.8,13120,"371 of 3141"
"Scott County",21209,19.3,9805,"647 of 3141"
"Woodford County",21239,19.9,5067,"736 of 3141"
"Nelson County",21179,20.3,9081,"788 of 3141"
"Kenton County",21117,20.4,32861,"794 of 3141"
"Shelby County",21211,20.5,9128,"809 of 3141"
"Anderson County",21005,20.6,4503,"833 of 3141"
"Campbell County",21037,20.9,18491,"866 of 3141"
"Franklin County",21073,21.0,10113,"884 of 3141"
"Marshall County",21157,21.1,6428,"890 of 3141"
"Lyon County",21143,21.3,1462,"931 of 3141"
"Pendleton County",21191,22.3,3206,"1052 of 3141"
"Hardin County",21093,23.5,24564,"1214 of 3141"
"Jefferson County",21111,23.8,177790,"1248 of 3141"
"Meade County",21163,24.7,6953,"1406 of 3141"
"Trigg County",21221,25.0,3507,"1449 of 3141"
"Clark County",21049,25.3,8901,"1489 of 3141"
"Hancock County",21091,25.6,2203,"1526 of 3141"
"Trimble County",21223,26.1,2233,"1601 of 3141"
"Gallatin County",21077,26.4,2224,"1628 of 3141"
"Owen County",21187,26.4,2779,"1641 of 3141"
"Harrison County",21097,26.4,4831,"1649 of 3141"
"Simpson County",21213,26.6,4619,"1671 of 3141"
"Greenup County",21089,26.6,9438,"1679 of 3141"
"Garrard County",21079,26.6,4550,"1684 of 3141"
"Washington County",21229,26.7,3108,"1688 of 3141"
"Daviess County",21059,26.8,25781,"1707 of 3141"
"McCracken County",21145,27.0,17206,"1738 of 3141"
"Jessamine County",21113,27.1,13474,"1752 of 3141"
"Mercer County",21167,27.5,5818,"1803 of 3141"
"Fayette County",21067,27.6,83423,"1831 of 3141"
"Caldwell County",21033,27.7,3494,"1841 of 3141"
"Madison County",21151,28.0,22944,"1882 of 3141"
"Livingston County",21139,28.1,2582,"1895 of 3141"
"Hopkins County",21107,28.2,12591,"1899 of 3141"
"Ballard County",21007,28.2,2230,"1905 of 3141"
"Henderson County",21101,28.2,12780,"1909 of 3141"
"Boyd County",21019,28.2,13087,"1912 of 3141"
"Boyle County",21021,28.2,7551,"1914 of 3141"
"Bourbon County",21017,28.2,5561,"1915 of 3141"
"Warren County",21227,28.3,32888,"1920 of 3141"
"Henry County",21103,28.8,4476,"1986 of 3141"
"Mason County",21161,29.6,4955,"2086 of 3141"
"Breckinridge County",21027,29.6,5795,"2088 of 3141"
"McLean County",21149,30.0,2767,"2138 of 3141"
"Green County",21087,30.3,3307,"2181 of 3141"
"Larue County",21123,30.4,4152,"2184 of 3141"
"Crittenden County",21055,30.4,2711,"2194 of 3141"
"Logan County",21141,30.5,8076,"2203 of 3141"
"Bracken County",21023,31.0,2556,"2249 of 3141"
"Menifee County",21165,31.0,1942,"2253 of 3141"
"Allen County",21003,31.3,6380,"2294 of 3141"
"Calloway County",21035,31.7,11067,"2335 of 3141"
"Graves County",21083,32.1,11754,"2365 of 3141"
"Todd County",21219,32.2,3915,"2380 of 3141"
"Ohio County",21183,32.5,7667,"2409 of 3141"
"Edmonson County",21061,32.5,3881,"2410 of 3141"
"Grant County",21081,32.8,7935,"2435 of 3141"
"Fleming County",21069,33.0,4768,"2458 of 3141"
"Muhlenberg County",21177,33.2,10046,"2477 of 3141"
"Marion County",21155,33.4,6193,"2499 of 3141"
"Cumberland County",21057,33.6,2230,"2520 of 3141"
"Johnson County",21115,33.8,7607,"2528 of 3141"
"Carroll County",21041,34.0,3493,"2544 of 3141"
"Union County",21225,34.2,4975,"2563 of 3141"
"Christian County",21047,34.3,22651,"2572 of 3141"
"Butler County",21031,34.5,4290,"2593 of 3141"
"Monroe County",21171,34.6,3640,"2606 of 3141"
"Adair County",21001,34.8,6243,"2616 of 3141"
"Webster County",21233,34.8,4460,"2624 of 3141"
"Montgomery County",21173,35.1,9530,"2642 of 3141"
"Rockcastle County",21203,35.2,5797,"2644 of 3141"
"Carter County",21043,35.2,9344,"2645 of 3141"
"Laurel County",21125,35.7,21015,"2684 of 3141"
"Carlisle County",21039,35.9,1729,"2699 of 3141"
"Russell County",21207,36.0,6297,"2711 of 3141"
"Powell County",21197,36.0,4296,"2714 of 3141"
"Hart County",21099,36.1,6577,"2721 of 3141"
"Pulaski County",21199,36.5,22976,"2759 of 3141"
"Barren County",21009,36.6,15559,"2762 of 3141"
"Lincoln County",21137,36.7,8783,"2770 of 3141"
"Taylor County",21217,37.1,9004,"2797 of 3141"
"Grayson County",21085,37.8,9733,"2830 of 3141"
"Lawrence County",21127,38.7,6070,"2866 of 3141"
"Hickman County",21105,38.7,1719,"2869 of 3141"
"Bath County",21011,38.8,4676,"2875 of 3141"
"Whitley County",21235,38.9,13248,"2881 of 3141"
"Wayne County",21231,39.1,7969,"2889 of 3141"
"Nicholas County",21181,39.5,2731,"2898 of 3141"
"Perry County",21193,39.9,10554,"2914 of 3141"
"Clinton County",21053,40.1,4035,"2924 of 3141"
