------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"United States",00000,8.4,26717038,"N/A"
"Wyoming",56000,9.8,56582,"44 of 51"
"Platte County",56031,3.5,306,"385 of 3140"
"Crook County",56011,3.8,278,"466 of 3140"
"Hot Springs County",56017,4.9,232,"892 of 3140"
"Johnson County",56019,5.1,429,"951 of 3140"
"Weston County",56045,5.9,410,"1349 of 3140"
"Carbon County",56007,6.2,960,"1536 of 3140"
"Teton County",56039,6.7,1515,"1756 of 3140"
"Lincoln County",56023,6.8,1263,"1799 of 3140"
"Converse County",56009,7.0,971,"1877 of 3140"
"Big Horn County",56003,7.3,860,"2005 of 3140"
"Park County",56029,7.9,2292,"2242 of 3140"
"Washakie County",56043,8.6,702,"2437 of 3140"
"Sheridan County",56033,8.6,2572,"2449 of 3140"
"Niobrara County",56027,8.9,218,"2525 of 3140"
"Sublette County",56035,9.3,925,"2624 of 3140"
"Uinta County",56041,10.1,2053,"2797 of 3140"
"Fremont County",56013,10.3,4092,"2832 of 3140"
"Natrona County",56025,10.3,8249,"2833 of 3140"
"Goshen County",56015,10.4,1387,"2856 of 3140"
"Laramie County",56021,10.4,10025,"2863 of 3140"
"Campbell County",56005,10.9,5160,"2918 of 3140"
"Sweetwater County",56037,12.4,5423,"3056 of 3140"
"Albany County",56001,16.6,6260,"3137 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
