------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"Wyoming",56000,1.2,2761,"9 of 51"
"United States",00000,4.5,5305440,"N/A"
"Johnson County",56019,0.0,0,"1 of 3140"
"Converse County",56009,0.0,2,"314 of 3140"
"Hot Springs County",56017,0.1,2,"388 of 3140"
"Fremont County",56013,0.2,34,"638 of 3140"
"Platte County",56031,0.2,9,"670 of 3140"
"Park County",56029,0.3,36,"795 of 3140"
"Sheridan County",56033,0.5,62,"1084 of 3140"
"Sublette County",56035,0.6,18,"1222 of 3140"
"Lincoln County",56023,0.6,40,"1227 of 3140"
"Campbell County",56005,0.7,128,"1443 of 3140"
"Niobrara County",56027,0.9,9,"1645 of 3140"
"Crook County",56011,1.0,30,"1715 of 3140"
"Laramie County",56021,1.0,401,"1764 of 3140"
"Natrona County",56025,1.2,397,"1889 of 3140"
"Albany County",56001,1.4,222,"2013 of 3140"
"Big Horn County",56003,1.4,63,"2025 of 3140"
"Goshen County",56015,1.7,89,"2199 of 3140"
"Uinta County",56041,1.7,133,"2219 of 3140"
"Washakie County",56043,1.9,65,"2279 of 3140"
"Sweetwater County",56037,2.3,371,"2435 of 3140"
"Weston County",56045,2.4,76,"2476 of 3140"
"Carbon County",56007,2.5,156,"2520 of 3140"
"Teton County",56039,4.8,418,"2847 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
