------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,70850.000000000,"N/A"
"Wyoming",56000,75602.000000000,"19 of 52"
"Niobrara County",56027,52455.000000000,"2266 of 3141"
"Johnson County",56019,59020.000000000,"1664 of 3141"
"Big Horn County",56003,62519.000000000,"1292 of 3141"
"Goshen County",56015,64172.000000000,"1141 of 3141"
"Platte County",56031,65219.000000000,"1054 of 3141"
"Uinta County",56041,65457.000000000,"1027 of 3141"
"Washakie County",56043,66091.000000000,"986 of 3141"
"Fremont County",56013,67047.000000000,"917 of 3141"
"Hot Springs County",56017,68276.000000000,"827 of 3141"
"Park County",56029,72171.000000000,"605 of 3141"
"Lincoln County",56023,72688.000000000,"573 of 3141"
"Carbon County",56007,73028.000000000,"548 of 3141"
"Natrona County",56025,73081.000000000,"543 of 3141"
"Sheridan County",56033,74105.000000000,"487 of 3141"
"Albany County",56001,74282.000000000,"479 of 3141"
"Laramie County",56021,76021.000000000,"426 of 3141"
"Crook County",56011,79107.000000000,"335 of 3141"
"Converse County",56009,79386.000000000,"328 of 3141"
"Weston County",56045,80488.000000000,"301 of 3141"
"Sweetwater County",56037,84902.000000000,"224 of 3141"
"Campbell County",56005,88415.000000000,"184 of 3141"
"Sublette County",56035,91159.000000000,"149 of 3141"
"Teton County",56039,104210.000000000,"61 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
