------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"Wyoming",56000,2.3,13549,"8 of 52"
"Platte County",56031,0.0,3,"2876 of 3141"
"Weston County",56045,0.1,6,"2690 of 3141"
"Converse County",56009,0.1,19,"2479 of 3141"
"Sublette County",56035,0.1,15,"2415 of 3141"
"Lincoln County",56023,0.3,61,"1620 of 3141"
"Teton County",56039,0.4,92,"1373 of 3141"
"Washakie County",56043,0.6,53,"955 of 3141"
"Albany County",56001,0.7,273,"872 of 3141"
"Laramie County",56021,0.9,836,"754 of 3141"
"Natrona County",56025,0.9,713,"741 of 3141"
"Goshen County",56015,1.0,133,"672 of 3141"
"Uinta County",56041,1.0,211,"658 of 3141"
"Sweetwater County",56037,1.0,455,"654 of 3141"
"Big Horn County",56003,1.1,131,"603 of 3141"
"Park County",56029,1.1,326,"594 of 3141"
"Sheridan County",56033,1.2,364,"551 of 3141"
"Campbell County",56005,1.3,607,"532 of 3141"
"Crook County",56011,1.4,104,"490 of 3141"
"Carbon County",56007,1.8,275,"422 of 3141"
"Hot Springs County",56017,2.3,107,"357 of 3141"
"Johnson County",56019,2.7,227,"310 of 3141"
"Niobrara County",56027,4.6,113,"219 of 3141"
"Fremont County",56013,20.9,8425,"57 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
