------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"Wyoming",56000,3.6,20719,"46 of 51"
"United States",00000,13.4,43028127,"N/A"
"Niobrara County",56027,0.3,8,"3064 of 3140"
"Hot Springs County",56017,0.7,34,"2846 of 3140"
"Crook County",56011,1.2,91,"2447 of 3140"
"Fremont County",56013,1.3,507,"2430 of 3140"
"Converse County",56009,2.1,303,"1844 of 3140"
"Lincoln County",56023,2.2,410,"1816 of 3140"
"Sheridan County",56033,2.3,684,"1751 of 3140"
"Washakie County",56043,2.3,193,"1730 of 3140"
"Johnson County",56019,2.4,204,"1723 of 3140"
"Park County",56029,2.4,712,"1706 of 3140"
"Goshen County",56015,2.6,346,"1640 of 3140"
"Uinta County",56041,2.9,611,"1450 of 3140"
"Natrona County",56025,3.0,2420,"1428 of 3140"
"Big Horn County",56003,3.0,359,"1416 of 3140"
"Platte County",56031,3.0,263,"1411 of 3140"
"Campbell County",56005,3.0,1466,"1401 of 3140"
"Laramie County",56021,3.3,3176,"1324 of 3140"
"Weston County",56045,3.8,272,"1172 of 3140"
"Sublette County",56035,3.9,395,"1139 of 3140"
"Sweetwater County",56037,5.0,2205,"931 of 3140"
"Carbon County",56007,6.3,989,"701 of 3140"
"Albany County",56001,6.8,2592,"631 of 3140"
"Teton County",56039,10.8,2479,"296 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
