------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Wyoming",56000,19.1,108532,"11 of 52"
"United States",00000,23.7,74202606,"N/A"
"Sublette County",56035,10.7,1069,"60 of 3141"
"Crook County",56011,12.0,869,"92 of 3141"
"Park County",56029,13.8,3957,"171 of 3141"
"Sheridan County",56033,14.0,4078,"181 of 3141"
"Converse County",56009,14.8,2078,"223 of 3141"
"Teton County",56039,15.2,3468,"247 of 3141"
"Campbell County",56005,16.8,7997,"372 of 3141"
"Laramie County",56021,16.9,16063,"381 of 3141"
"Platte County",56031,18.1,1555,"502 of 3141"
"Sweetwater County",56037,18.2,7993,"511 of 3141"
"Natrona County",56025,18.3,14473,"517 of 3141"
"Lincoln County",56023,19.0,3538,"608 of 3141"
"Carbon County",56007,20.1,2985,"757 of 3141"
"Johnson County",56019,21.0,1772,"875 of 3141"
"Weston County",56045,21.0,1419,"879 of 3141"
"Hot Springs County",56017,21.2,984,"908 of 3141"
"Big Horn County",56003,22.2,2578,"1031 of 3141"
"Fremont County",56013,23.0,9062,"1145 of 3141"
"Washakie County",56043,23.3,1887,"1192 of 3141"
"Goshen County",56015,24.5,3145,"1360 of 3141"
"Uinta County",56041,25.6,5260,"1539 of 3141"
"Niobrara County",56027,29.5,636,"2081 of 3141"
"Albany County",56001,32.7,11666,"2425 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:04 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
