------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"United States",00000,29.8,95565066,"N/A"
"Wyoming",56000,29.9,174182,"36 of 52"
"Hot Springs County",56017,20.1,953,"192 of 3141"
"Johnson County",56019,20.4,1750,"226 of 3141"
"Platte County",56031,21.8,1901,"408 of 3141"
"Washakie County",56043,21.9,1807,"420 of 3141"
"Crook County",56011,23.0,1688,"682 of 3141"
"Big Horn County",56003,23.0,2741,"688 of 3141"
"Lincoln County",56023,23.7,4458,"888 of 3141"
"Converse County",56009,24.8,3510,"1227 of 3141"
"Goshen County",56015,24.9,3354,"1265 of 3141"
"Park County",56029,24.9,7292,"1280 of 3141"
"Sheridan County",56033,25.4,7611,"1449 of 3141"
"Weston County",56045,26.3,1872,"1750 of 3141"
"Fremont County",56013,26.5,10702,"1820 of 3141"
"Uinta County",56041,27.0,5603,"1963 of 3141"
"Sublette County",56035,28.3,2843,"2297 of 3141"
"Carbon County",56007,28.4,4457,"2322 of 3141"
"Niobrara County",56027,30.1,747,"2630 of 3141"
"Natrona County",56025,30.6,24819,"2692 of 3141"
"Laramie County",56021,30.7,29793,"2704 of 3141"
"Sweetwater County",56037,31.9,14191,"2809 of 3141"
"Campbell County",56005,31.9,15351,"2811 of 3141"
"Teton County",56039,33.5,7668,"2911 of 3141"
"Albany County",56001,50.3,19071,"3133 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
