------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Wyoming",56000,1.8,7166,"1 of 52"
"United States",00000,5.4,11759554,"N/A"
"Park County",56029,0.5,111,"16 of 3141"
"Sheridan County",56033,1.1,224,"51 of 3141"
"Lincoln County",56023,1.2,153,"76 of 3141"
"Hot Springs County",56017,1.2,45,"80 of 3141"
"Natrona County",56025,1.5,803,"124 of 3141"
"Weston County",56045,1.5,76,"136 of 3141"
"Johnson County",56019,1.5,91,"138 of 3141"
"Albany County",56001,1.6,329,"167 of 3141"
"Sublette County",56035,1.6,115,"178 of 3141"
"Laramie County",56021,1.7,1089,"195 of 3141"
"Goshen County",56015,2.0,191,"331 of 3141"
"Fremont County",56013,2.1,554,"363 of 3141"
"Sweetwater County",56037,2.1,590,"365 of 3141"
"Platte County",56031,2.1,134,"390 of 3141"
"Campbell County",56005,2.2,661,"417 of 3141"
"Uinta County",56041,2.3,297,"470 of 3141"
"Teton County",56039,2.5,432,"592 of 3141"
"Big Horn County",56003,2.8,224,"755 of 3141"
"Washakie County",56043,2.9,163,"801 of 3141"
"Crook County",56011,2.9,147,"820 of 3141"
"Niobrara County",56027,3.1,54,"930 of 3141"
"Carbon County",56007,3.3,355,"1086 of 3141"
"Converse County",56009,3.4,328,"1145 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
