------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Wyoming",56000,51.1,298301,"50 of 52"
"Niobrara County",56027,44.3,1098,"7 of 3141"
"Park County",56029,49.1,14360,"936 of 3141"
"Sheridan County",56033,49.4,14816,"1398 of 3141"
"Washakie County",56043,49.9,4118,"1855 of 3141"
"Fremont County",56013,50.1,20206,"1999 of 3141"
"Big Horn County",56003,50.5,6015,"2306 of 3141"
"Natrona County",56025,50.7,41061,"2419 of 3141"
"Hot Springs County",56017,50.7,2404,"2433 of 3141"
"Laramie County",56021,50.7,49218,"2444 of 3141"
"Uinta County",56041,51.0,10593,"2547 of 3141"
"Crook County",56011,51.2,3760,"2594 of 3141"
"Lincoln County",56023,51.2,9630,"2622 of 3141"
"Converse County",56009,51.4,7279,"2658 of 3141"
"Sweetwater County",56037,51.6,22981,"2703 of 3141"
"Goshen County",56015,51.7,6967,"2721 of 3141"
"Campbell County",56005,52.0,25001,"2771 of 3141"
"Platte County",56031,52.1,4535,"2799 of 3141"
"Albany County",56001,52.4,19883,"2843 of 3141"
"Weston County",56045,52.8,3756,"2878 of 3141"
"Teton County",56039,53.1,12169,"2907 of 3141"
"Johnson County",56019,53.1,4548,"2909 of 3141"
"Carbon County",56007,53.9,8456,"2975 of 3141"
"Sublette County",56035,54.3,5447,"2998 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Male, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
