------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '56', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=56&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Wyoming by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Wyoming",56000,7.2,28130,"4 of 52"
"United States",00000,12.7,27437114,"N/A"
"Sublette County",56035,3.8,265,"25 of 3141"
"Albany County",56001,3.8,797,"28 of 3141"
"Johnson County",56019,4.6,279,"69 of 3141"
"Sheridan County",56033,4.7,988,"74 of 3141"
"Teton County",56039,4.9,825,"89 of 3141"
"Park County",56029,4.9,1013,"95 of 3141"
"Laramie County",56021,6.8,4415,"314 of 3141"
"Lincoln County",56023,7.1,878,"349 of 3141"
"Crook County",56011,7.4,380,"436 of 3141"
"Hot Springs County",56017,7.5,270,"449 of 3141"
"Platte County",56031,7.6,479,"486 of 3141"
"Natrona County",56025,7.8,4255,"526 of 3141"
"Weston County",56045,8.1,410,"600 of 3141"
"Uinta County",56041,8.2,1067,"624 of 3141"
"Goshen County",56015,8.6,811,"693 of 3141"
"Campbell County",56005,8.7,2647,"718 of 3141"
"Sweetwater County",56037,8.7,2481,"729 of 3141"
"Fremont County",56013,8.9,2381,"761 of 3141"
"Carbon County",56007,9.1,967,"807 of 3141"
"Big Horn County",56003,9.5,762,"909 of 3141"
"Converse County",56009,9.7,920,"950 of 3141"
"Niobrara County",56027,10.5,186,"1171 of 3141"
"Washakie County",56043,11.5,654,"1376 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:03 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
