------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,30.9,66887603,"N/A"
"New York",36000,35.3,4820813,"10 of 52"
"Wyoming County",36121,15.4,4520,"2228 of 3141"
"Orleans County",36073,15.9,4716,"2132 of 3141"
"Lewis County",36049,16.3,2986,"2054 of 3141"
"Montgomery County",36057,17.0,5818,"1926 of 3141"
"Fulton County",36035,17.7,6830,"1814 of 3141"
"Oswego County",36075,18.3,14703,"1696 of 3141"
"Chenango County",36017,18.6,6445,"1639 of 3141"
"Franklin County",36033,18.7,6691,"1637 of 3141"
"Cattaraugus County",36009,18.9,10068,"1589 of 3141"
"Bronx County",36005,19.4,179549,"1514 of 3141"
"Washington County",36115,19.8,8856,"1438 of 3141"
"Allegany County",36003,19.8,6003,"1436 of 3141"
"Hamilton County",36041,20.0,722,"1402 of 3141"
"Seneca County",36099,20.5,5096,"1314 of 3141"
"Herkimer County",36043,20.7,9108,"1277 of 3141"
"Chautauqua County",36013,21.2,19146,"1203 of 3141"
"Jefferson County",36045,21.4,15653,"1182 of 3141"
"Genesee County",36037,21.4,8842,"1181 of 3141"
"Schoharie County",36095,21.6,4795,"1161 of 3141"
"Delaware County",36025,21.6,7132,"1158 of 3141"
"Wayne County",36117,21.7,13885,"1140 of 3141"
"Clinton County",36019,21.9,12054,"1128 of 3141"
"Greene County",36039,22.0,7743,"1111 of 3141"
"Schuyler County",36097,22.1,2909,"1104 of 3141"
"Cayuga County",36011,22.4,12453,"1056 of 3141"
"Steuben County",36101,22.6,15382,"1045 of 3141"
"St. Lawrence County",36089,23.1,16673,"966 of 3141"
"Sullivan County",36105,23.4,12438,"945 of 3141"
"Niagara County",36063,23.5,35370,"931 of 3141"
"Livingston County",36051,23.7,10113,"911 of 3141"
"Oneida County",36065,23.9,38210,"887 of 3141"
"Yates County",36123,23.9,3975,"882 of 3141"
"Tioga County",36107,24.7,8591,"822 of 3141"
"Chemung County",36015,25.1,15110,"794 of 3141"
"Cortland County",36023,26.0,7857,"723 of 3141"
"Essex County",36031,26.7,7704,"673 of 3141"
"Madison County",36053,27.0,12904,"644 of 3141"
"Broome County",36007,28.0,36408,"584 of 3141"
"Warren County",36113,29.3,13955,"523 of 3141"
"Orange County",36071,29.5,70986,"516 of 3141"
"Otsego County",36077,29.6,11835,"509 of 3141"
"Rensselaer County",36083,29.8,33046,"496 of 3141"
"Columbia County",36021,30.1,13775,"475 of 3141"
"Schenectady County",36093,30.8,32881,"436 of 3141"
"Queens County",36081,30.8,513306,"435 of 3141"
"Ulster County",36111,31.4,40691,"405 of 3141"
"Richmond County",36085,32.1,105485,"371 of 3141"
"Erie County",36029,32.9,211356,"341 of 3141"
"Ontario County",36069,33.7,25714,"313 of 3141"
"Dutchess County",36027,34.6,70642,"279 of 3141"
"Suffolk County",36103,35.0,360196,"264 of 3141"
"Onondaga County",36067,35.0,110767,"261 of 3141"
"Kings County",36047,35.2,629290,"256 of 3141"
"Monroe County",36055,37.1,189018,"217 of 3141"
"Putnam County",36079,38.5,27126,"188 of 3141"
"Saratoga County",36091,40.4,64735,"153 of 3141"
"Rockland County",36087,40.4,82754,"150 of 3141"
"Albany County",36001,40.5,83057,"147 of 3141"
"Nassau County",36059,44.4,418103,"98 of 3141"
"Westchester County",36119,47.7,318873,"66 of 3141"
"Tompkins County",36109,52.6,31615,"33 of 3141"
"New York County",36061,60.7,764149,"7 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
