------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,70850.000000000,"N/A"
"New York",36000,77141.000000000,"15 of 52"
"Bronx County",36005,41484.000000000,"2975 of 3141"
"Allegany County",36003,55302.000000000,"2027 of 3141"
"Chautauqua County",36013,56408.000000000,"1928 of 3141"
"Orleans County",36073,57601.000000000,"1800 of 3141"
"St. Lawrence County",36089,57668.000000000,"1797 of 3141"
"Cattaraugus County",36009,58073.000000000,"1752 of 3141"
"Montgomery County",36057,58912.000000000,"1675 of 3141"
"Fulton County",36035,59367.000000000,"1623 of 3141"
"Jefferson County",36045,59488.000000000,"1609 of 3141"
"Chenango County",36017,60177.000000000,"1530 of 3141"
"Kings County",36047,60317.000000000,"1510 of 3141"
"Steuben County",36101,60563.000000000,"1482 of 3141"
"Delaware County",36025,60571.000000000,"1481 of 3141"
"Franklin County",36033,61377.000000000,"1401 of 3141"
"Herkimer County",36043,61412.000000000,"1398 of 3141"
"Lewis County",36049,61780.000000000,"1365 of 3141"
"Oswego County",36075,62176.000000000,"1328 of 3141"
"Washington County",36115,62333.000000000,"1311 of 3141"
"Schuyler County",36097,62778.000000000,"1266 of 3141"
"Otsego County",36077,64150.000000000,"1142 of 3141"
"Hamilton County",36041,64440.000000000,"1118 of 3141"
"Wayne County",36117,64637.000000000,"1098 of 3141"
"Schoharie County",36095,64716.000000000,"1088 of 3141"
"Broome County",36007,65022.000000000,"1068 of 3141"
"Oneida County",36065,65284.000000000,"1046 of 3141"
"Seneca County",36099,65674.000000000,"1014 of 3141"
"Yates County",36123,66467.000000000,"960 of 3141"
"Wyoming County",36121,66597.000000000,"951 of 3141"
"Sullivan County",36105,66652.000000000,"948 of 3141"
"Clinton County",36019,66726.000000000,"942 of 3141"
"Cayuga County",36011,66728.000000000,"941 of 3141"
"Chemung County",36015,67879.000000000,"854 of 3141"
"Cortland County",36023,68114.000000000,"839 of 3141"
"Niagara County",36063,68737.000000000,"797 of 3141"
"Genesee County",36037,69370.000000000,"758 of 3141"
"Essex County",36031,69386.000000000,"757 of 3141"
"Greene County",36039,69497.000000000,"746 of 3141"
"Queens County",36081,69805.000000000,"733 of 3141"
"Livingston County",36051,70955.000000000,"674 of 3141"
"Madison County",36053,72052.000000000,"611 of 3141"
"Erie County",36029,72128.000000000,"607 of 3141"
"Monroe County",36055,72653.000000000,"576 of 3141"
"Tioga County",36107,72992.000000000,"552 of 3141"
"Warren County",36113,74196.000000000,"483 of 3141"
"Onondaga County",36067,74968.000000000,"463 of 3141"
"Columbia County",36021,76540.000000000,"406 of 3141"
"Ulster County",36111,77336.000000000,"380 of 3141"
"Tompkins County",36109,78504.000000000,"345 of 3141"
"Ontario County",36069,78750.000000000,"340 of 3141"
"Schenectady County",36093,80122.000000000,"310 of 3141"
"Rensselaer County",36083,81817.000000000,"275 of 3141"
"Albany County",36001,90031.000000000,"165 of 3141"
"Orange County",36071,90243.000000000,"162 of 3141"
"Richmond County",36085,91262.000000000,"146 of 3141"
"Saratoga County",36091,94290.000000000,"115 of 3141"
"Dutchess County",36027,94533.000000000,"111 of 3141"
"New York County",36061,99245.000000000,"87 of 3141"
"Rockland County",36087,104232.000000000,"60 of 3141"
"Suffolk County",36103,108519.000000000,"38 of 3141"
"Westchester County",36119,114923.000000000,"24 of 3141"
"Putnam County",36079,115601.000000000,"22 of 3141"
"Nassau County",36059,123898.000000000,"14 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
