------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"United States",00000,5.4,11759554,"N/A"
"New York",36000,6.5,884080,"48 of 52"
"Tompkins County",36109,1.3,790,"93 of 3141"
"Saratoga County",36091,1.7,2690,"198 of 3141"
"Genesee County",36037,1.8,729,"228 of 3141"
"Ontario County",36069,2.1,1598,"375 of 3141"
"Tioga County",36107,2.2,749,"405 of 3141"
"Hamilton County",36041,2.4,88,"539 of 3141"
"Otsego County",36077,2.5,981,"545 of 3141"
"Rensselaer County",36083,2.5,2720,"546 of 3141"
"Albany County",36001,2.5,5104,"564 of 3141"
"Cortland County",36023,2.6,780,"621 of 3141"
"Chemung County",36015,2.6,1554,"622 of 3141"
"Jefferson County",36045,2.6,1888,"626 of 3141"
"Madison County",36053,2.6,1254,"645 of 3141"
"Niagara County",36063,2.7,4009,"667 of 3141"
"Broome County",36007,2.7,3497,"690 of 3141"
"Livingston County",36051,2.7,1151,"691 of 3141"
"Warren County",36113,2.7,1291,"702 of 3141"
"Lewis County",36049,2.7,501,"715 of 3141"
"Erie County",36029,2.8,18240,"788 of 3141"
"Onondaga County",36067,2.9,9191,"831 of 3141"
"Ulster County",36111,3.0,3828,"859 of 3141"
"Cayuga County",36011,3.0,1659,"888 of 3141"
"Essex County",36031,3.0,868,"902 of 3141"
"Chenango County",36017,3.1,1083,"971 of 3141"
"Schuyler County",36097,3.1,414,"973 of 3141"
"Monroe County",36055,3.1,16056,"977 of 3141"
"Dutchess County",36027,3.2,6498,"999 of 3141"
"Steuben County",36101,3.2,2173,"1002 of 3141"
"Delaware County",36025,3.2,1052,"1006 of 3141"
"Fulton County",36035,3.3,1275,"1062 of 3141"
"Schoharie County",36095,3.4,748,"1106 of 3141"
"Greene County",36039,3.4,1188,"1112 of 3141"
"Herkimer County",36043,3.4,1501,"1131 of 3141"
"Wayne County",36117,3.5,2210,"1153 of 3141"
"Oswego County",36075,3.5,2828,"1190 of 3141"
"Schenectady County",36093,3.5,3766,"1192 of 3141"
"Wyoming County",36121,3.5,1036,"1194 of 3141"
"Orange County",36071,3.6,8570,"1214 of 3141"
"Allegany County",36003,3.6,1082,"1216 of 3141"
"Washington County",36115,3.6,1625,"1247 of 3141"
"Putnam County",36079,3.7,2590,"1274 of 3141"
"Columbia County",36021,3.7,1692,"1290 of 3141"
"Cattaraugus County",36009,3.8,2008,"1329 of 3141"
"Chautauqua County",36013,4.0,3572,"1418 of 3141"
"St. Lawrence County",36089,4.0,2869,"1423 of 3141"
"Orleans County",36073,4.1,1231,"1508 of 3141"
"Sullivan County",36105,4.2,2235,"1529 of 3141"
"Clinton County",36019,4.6,2510,"1696 of 3141"
"Suffolk County",36103,4.6,46974,"1700 of 3141"
"Oneida County",36065,4.6,7378,"1722 of 3141"
"Richmond County",36085,4.7,15504,"1764 of 3141"
"Nassau County",36059,4.7,44564,"1770 of 3141"
"Seneca County",36099,4.7,1178,"1774 of 3141"
"Franklin County",36033,4.8,1736,"1812 of 3141"
"Montgomery County",36057,4.8,1654,"1814 of 3141"
"Rockland County",36087,5.9,12176,"2197 of 3141"
"Westchester County",36119,6.7,44461,"2388 of 3141"
"New York County",36061,7.0,88010,"2464 of 3141"
"Yates County",36123,8.2,1370,"2678 of 3141"
"Kings County",36047,9.7,172862,"2846 of 3141"
"Queens County",36081,10.5,174550,"2901 of 3141"
"Bronx County",36005,14.5,134691,"3050 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
