------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"United States",00000,4.5,5305440,"N/A"
"New York",36000,8.1,594811,"50 of 51"
"Wyoming County",36121,0.1,21,"467 of 3140"
"Washington County",36115,0.2,49,"593 of 3140"
"Madison County",36053,0.2,59,"639 of 3140"
"Lewis County",36049,0.2,23,"641 of 3140"
"Chemung County",36015,0.2,79,"645 of 3140"
"Hamilton County",36041,0.3,3,"734 of 3140"
"Schuyler County",36097,0.3,24,"820 of 3140"
"Herkimer County",36043,0.4,97,"942 of 3140"
"Schoharie County",36095,0.4,49,"955 of 3140"
"Essex County",36031,0.4,65,"1024 of 3140"
"Tioga County",36107,0.4,86,"1030 of 3140"
"Oswego County",36075,0.5,215,"1082 of 3140"
"Chenango County",36017,0.5,99,"1106 of 3140"
"Fulton County",36035,0.5,113,"1132 of 3140"
"Warren County",36113,0.5,137,"1134 of 3140"
"Cortland County",36023,0.5,91,"1140 of 3140"
"Livingston County",36051,0.5,129,"1169 of 3140"
"Otsego County",36077,0.6,130,"1201 of 3140"
"Clinton County",36019,0.6,180,"1233 of 3140"
"Franklin County",36033,0.6,113,"1278 of 3140"
"Genesee County",36037,0.6,152,"1325 of 3140"
"Allegany County",36003,0.7,123,"1382 of 3140"
"Steuben County",36101,0.7,277,"1397 of 3140"
"Seneca County",36099,0.7,96,"1421 of 3140"
"Saratoga County",36091,0.7,671,"1431 of 3140"
"Jefferson County",36045,0.7,319,"1460 of 3140"
"Greene County",36039,0.8,130,"1483 of 3140"
"Cayuga County",36011,0.8,259,"1559 of 3140"
"Niagara County",36063,0.8,734,"1573 of 3140"
"Wayne County",36117,0.8,309,"1583 of 3140"
"Delaware County",36025,0.9,170,"1618 of 3140"
"Cattaraugus County",36009,0.9,292,"1648 of 3140"
"Orleans County",36073,1.0,167,"1752 of 3140"
"Ontario County",36069,1.2,547,"1912 of 3140"
"St. Lawrence County",36089,1.3,538,"1951 of 3140"
"Chautauqua County",36013,1.4,748,"2031 of 3140"
"Columbia County",36021,1.4,369,"2051 of 3140"
"Rensselaer County",36083,1.5,955,"2069 of 3140"
"Yates County",36123,1.5,144,"2114 of 3140"
"Broome County",36007,1.6,1269,"2162 of 3140"
"Ulster County",36111,1.8,1234,"2239 of 3140"
"Erie County",36029,2.2,8456,"2394 of 3140"
"Onondaga County",36067,2.2,4159,"2416 of 3140"
"Schenectady County",36093,2.2,1205,"2417 of 3140"
"Albany County",36001,2.4,2988,"2471 of 3140"
"Tompkins County",36109,2.5,970,"2508 of 3140"
"Montgomery County",36057,2.6,514,"2542 of 3140"
"Dutchess County",36027,2.8,2966,"2579 of 3140"
"Oneida County",36065,3.0,2757,"2644 of 3140"
"Monroe County",36055,3.3,9920,"2691 of 3140"
"Orange County",36071,3.3,4195,"2694 of 3140"
"Putnam County",36079,3.4,1150,"2698 of 3140"
"Sullivan County",36105,3.6,984,"2724 of 3140"
"Suffolk County",36103,3.9,18953,"2764 of 3140"
"Nassau County",36059,5.7,25329,"2900 of 3140"
"Richmond County",36085,6.0,9937,"2912 of 3140"
"Westchester County",36119,7.3,25249,"2981 of 3140"
"Rockland County",36087,7.7,7741,"2997 of 3140"
"New York County",36061,9.6,72453,"3049 of 3140"
"Kings County",36047,15.4,145558,"3111 of 3140"
"Bronx County",36005,18.1,89575,"3125 of 3140"
"Queens County",36081,19.1,148487,"3126 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
