------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"New York",36000,51.5,10194117,"46 of 52"
"Franklin County",36033,45.3,23126,"125 of 3141"
"Wyoming County",36121,46.1,18854,"168 of 3141"
"Jefferson County",36045,47.3,55182,"276 of 3141"
"Seneca County",36099,47.5,16535,"282 of 3141"
"Essex County",36031,47.9,18297,"336 of 3141"
"Greene County",36039,48.0,22916,"350 of 3141"
"Washington County",36115,48.3,30035,"420 of 3141"
"Sullivan County",36105,48.6,36842,"482 of 3141"
"Hamilton County",36041,48.6,2259,"486 of 3141"
"Clinton County",36019,48.7,39576,"513 of 3141"
"Cayuga County",36011,48.8,38187,"524 of 3141"
"St. Lawrence County",36089,49.1,54436,"645 of 3141"
"Allegany County",36003,49.3,23387,"733 of 3141"
"Lewis County",36049,49.6,13320,"882 of 3141"
"Delaware County",36025,49.7,22832,"937 of 3141"
"Columbia County",36021,49.8,30625,"1037 of 3141"
"Livingston County",36051,49.9,32104,"1096 of 3141"
"Schuyler County",36097,49.9,9036,"1107 of 3141"
"Oswego County",36075,49.9,59805,"1120 of 3141"
"Orange County",36071,49.9,188737,"1122 of 3141"
"Chenango County",36017,50.0,24381,"1190 of 3141"
"Genesee County",36037,50.1,29338,"1307 of 3141"
"Oneida County",36065,50.1,116470,"1322 of 3141"
"Fulton County",36035,50.1,27056,"1334 of 3141"
"Steuben County",36101,50.2,48989,"1394 of 3141"
"Putnam County",36079,50.2,49979,"1417 of 3141"
"Dutchess County",36027,50.3,148692,"1454 of 3141"
"Orleans County",36073,50.3,20922,"1486 of 3141"
"Schoharie County",36095,50.3,15911,"1508 of 3141"
"Ulster County",36111,50.4,90752,"1555 of 3141"
"Cattaraugus County",36009,50.4,39436,"1618 of 3141"
"Chemung County",36015,50.5,43865,"1669 of 3141"
"Wayne County",36117,50.6,46224,"1741 of 3141"
"Saratoga County",36091,50.6,114641,"1782 of 3141"
"Herkimer County",36043,50.6,31840,"1783 of 3141"
"Chautauqua County",36013,50.6,66194,"1789 of 3141"
"Madison County",36053,50.7,36347,"1880 of 3141"
"Tioga County",36107,50.7,24982,"1880 of 3141"
"Rensselaer County",36083,50.7,81000,"1936 of 3141"
"Suffolk County",36103,50.8,760222,"2016 of 3141"
"Tompkins County",36109,50.8,53018,"2029 of 3141"
"Montgomery County",36057,50.8,25148,"2060 of 3141"
"Broome County",36007,50.8,99715,"2099 of 3141"
"Ontario County",36069,50.9,55779,"2197 of 3141"
"Warren County",36113,51.0,32984,"2230 of 3141"
"Rockland County",36087,51.0,165800,"2251 of 3141"
"Niagara County",36063,51.3,109083,"2516 of 3141"
"Schenectady County",36093,51.3,79702,"2558 of 3141"
"Nassau County",36059,51.5,701351,"2628 of 3141"
"Cortland County",36023,51.5,24891,"2644 of 3141"
"Queens County",36081,51.5,1205249,"2667 of 3141"
"Richmond County",36085,51.6,245623,"2717 of 3141"
"Westchester County",36119,51.6,503447,"2723 of 3141"
"Erie County",36029,51.6,476971,"2724 of 3141"
"Albany County",36001,51.6,159293,"2725 of 3141"
"Monroe County",36055,51.7,387031,"2773 of 3141"
"Otsego County",36077,51.7,31409,"2774 of 3141"
"Onondaga County",36067,51.7,241984,"2793 of 3141"
"Yates County",36123,51.9,13014,"2860 of 3141"
"Kings County",36047,52.6,1387348,"3023 of 3141"
"New York County",36061,52.7,871735,"3033 of 3141"
"Bronx County",36005,52.9,770210,"3056 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
