------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"United States",00000,0.7,2074097,"N/A"
"New York",36000,0.8,154640,"41 of 51"
"Schoharie County",36095,0.0,5,"396 of 3140"
"Hamilton County",36041,0.0,2,"544 of 3140"
"Genesee County",36037,0.1,43,"746 of 3140"
"Wyoming County",36121,0.1,37,"869 of 3140"
"Cortland County",36023,0.1,47,"913 of 3140"
"Cattaraugus County",36009,0.1,86,"998 of 3140"
"Washington County",36115,0.1,70,"1014 of 3140"
"Seneca County",36099,0.1,39,"1018 of 3140"
"Chenango County",36017,0.1,60,"1106 of 3140"
"Herkimer County",36043,0.1,83,"1165 of 3140"
"Tioga County",36107,0.1,68,"1197 of 3140"
"Niagara County",36063,0.2,343,"1348 of 3140"
"Columbia County",36021,0.2,102,"1379 of 3140"
"Schuyler County",36097,0.2,32,"1454 of 3140"
"Orange County",36071,0.2,716,"1530 of 3140"
"Steuben County",36101,0.2,208,"1655 of 3140"
"Franklin County",36033,0.2,110,"1663 of 3140"
"Wayne County",36117,0.2,200,"1682 of 3140"
"Orleans County",36073,0.2,92,"1691 of 3140"
"Oswego County",36075,0.2,275,"1727 of 3140"
"Greene County",36039,0.2,110,"1731 of 3140"
"Delaware County",36025,0.2,108,"1749 of 3140"
"Chemung County",36015,0.3,217,"1825 of 3140"
"Lewis County",36049,0.3,69,"1853 of 3140"
"Fulton County",36035,0.3,151,"1959 of 3140"
"Cayuga County",36011,0.3,230,"2002 of 3140"
"Warren County",36113,0.3,195,"2029 of 3140"
"Allegany County",36003,0.3,144,"2038 of 3140"
"Putnam County",36079,0.3,310,"2067 of 3140"
"Otsego County",36077,0.3,196,"2103 of 3140"
"St. Lawrence County",36089,0.3,363,"2119 of 3140"
"Ulster County",36111,0.3,613,"2157 of 3140"
"Clinton County",36019,0.4,288,"2203 of 3140"
"Richmond County",36085,0.4,1708,"2223 of 3140"
"Chautauqua County",36013,0.4,494,"2270 of 3140"
"Yates County",36123,0.4,96,"2280 of 3140"
"Suffolk County",36103,0.4,5791,"2295 of 3140"
"Livingston County",36051,0.4,254,"2311 of 3140"
"Ontario County",36069,0.4,449,"2342 of 3140"
"Oneida County",36065,0.4,995,"2379 of 3140"
"Nassau County",36059,0.4,6005,"2404 of 3140"
"Rensselaer County",36083,0.5,763,"2476 of 3140"
"Dutchess County",36027,0.5,1524,"2547 of 3140"
"Sullivan County",36105,0.5,395,"2557 of 3140"
"Madison County",36053,0.6,392,"2601 of 3140"
"Saratoga County",36091,0.6,1237,"2602 of 3140"
"Essex County",36031,0.6,210,"2607 of 3140"
"Broome County",36007,0.6,1142,"2646 of 3140"
"Schenectady County",36093,0.6,924,"2665 of 3140"
"Erie County",36029,0.7,5995,"2735 of 3140"
"Rockland County",36087,0.7,2112,"2738 of 3140"
"Monroe County",36055,0.7,5320,"2802 of 3140"
"Westchester County",36119,0.7,7006,"2807 of 3140"
"Albany County",36001,0.8,2528,"2877 of 3140"
"Montgomery County",36057,0.8,411,"2887 of 3140"
"Onondaga County",36067,0.9,4075,"2916 of 3140"
"Kings County",36047,0.9,24640,"2942 of 3140"
"Bronx County",36005,1.0,14220,"2956 of 3140"
"Queens County",36081,1.1,24808,"2982 of 3140"
"New York County",36061,1.8,30121,"3089 of 3140"
"Jefferson County",36045,2.3,2668,"3111 of 3140"
"Tompkins County",36109,2.7,2745,"3119 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
