------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"New York",36000,11.3,524696,"36 of 52"
"Putnam County",36079,2.3,606,"29 of 3141"
"Nassau County",36059,4.1,13913,"140 of 3141"
"Saratoga County",36091,4.3,2652,"168 of 3141"
"Suffolk County",36103,5.0,17963,"240 of 3141"
"Essex County",36031,5.6,550,"329 of 3141"
"Dutchess County",36027,6.0,4336,"426 of 3141"
"Columbia County",36021,6.3,1015,"487 of 3141"
"Ontario County",36069,6.3,1812,"489 of 3141"
"Warren County",36113,6.5,1082,"523 of 3141"
"Westchester County",36119,6.5,15698,"528 of 3141"
"Seneca County",36099,7.1,593,"653 of 3141"
"Albany County",36001,7.3,4957,"705 of 3141"
"Hamilton County",36041,7.3,53,"713 of 3141"
"Ulster County",36111,7.6,3277,"773 of 3141"
"Cortland County",36023,7.6,837,"789 of 3141"
"Tioga County",36107,7.7,1036,"816 of 3141"
"Madison County",36053,7.8,1319,"846 of 3141"
"Washington County",36115,8.1,1312,"911 of 3141"
"Cayuga County",36011,8.4,1658,"985 of 3141"
"Schenectady County",36093,8.4,2757,"996 of 3141"
"Wyoming County",36121,8.4,872,"997 of 3141"
"Greene County",36039,8.5,896,"1012 of 3141"
"Yates County",36123,8.5,532,"1027 of 3141"
"Rensselaer County",36083,8.5,3352,"1035 of 3141"
"Wayne County",36117,8.7,2124,"1073 of 3141"
"Orange County",36071,8.9,7973,"1138 of 3141"
"Genesee County",36037,9.3,1445,"1207 of 3141"
"Chenango County",36017,9.4,1200,"1259 of 3141"
"Tompkins County",36109,9.5,1932,"1269 of 3141"
"Niagara County",36063,9.5,5175,"1274 of 3141"
"Otsego County",36077,9.5,1426,"1285 of 3141"
"Livingston County",36051,9.8,1506,"1343 of 3141"
"Schoharie County",36095,9.8,776,"1347 of 3141"
"Steuben County",36101,9.8,2568,"1361 of 3141"
"Lewis County",36049,9.9,710,"1375 of 3141"
"Rockland County",36087,9.9,7398,"1382 of 3141"
"Onondaga County",36067,10.1,11463,"1438 of 3141"
"Herkimer County",36043,10.3,1664,"1484 of 3141"
"Jefferson County",36045,10.4,3034,"1506 of 3141"
"Erie County",36029,10.4,23963,"1516 of 3141"
"Richmond County",36085,10.6,13046,"1548 of 3141"
"Monroe County",36055,10.7,19402,"1565 of 3141"
"Broome County",36007,10.8,5037,"1604 of 3141"
"Schuyler County",36097,10.8,517,"1622 of 3141"
"Clinton County",36019,11.0,2207,"1664 of 3141"
"Cattaraugus County",36009,11.1,2208,"1681 of 3141"
"Sullivan County",36105,11.1,1934,"1689 of 3141"
"Queens County",36081,11.1,58328,"1695 of 3141"
"Fulton County",36035,11.4,1648,"1764 of 3141"
"Chemung County",36015,11.6,2508,"1805 of 3141"
"Allegany County",36003,11.7,1376,"1819 of 3141"
"Oneida County",36065,12.0,6789,"1892 of 3141"
"Delaware County",36025,12.5,1465,"1985 of 3141"
"New York County",36061,13.1,41890,"2111 of 3141"
"Oswego County",36075,13.1,4015,"2113 of 3141"
"Orleans County",36073,13.3,1431,"2155 of 3141"
"Chautauqua County",36013,13.4,4419,"2173 of 3141"
"Franklin County",36033,13.7,1652,"2230 of 3141"
"St. Lawrence County",36089,13.7,3616,"2248 of 3141"
"Montgomery County",36057,14.5,1815,"2379 of 3141"
"Kings County",36047,17.9,104650,"2757 of 3141"
"Bronx County",36005,26.8,87308,"3069 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
