------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"New York",36000,10.0,331213,"7 of 51"
"Jefferson County",36045,5.9,1272,"9 of 3139"
"Chemung County",36015,6.2,904,"12 of 3139"
"Cortland County",36023,6.2,472,"12 of 3139"
"Chautauqua County",36013,6.6,1767,"17 of 3139"
"Herkimer County",36043,6.7,723,"18 of 3139"
"Livingston County",36051,6.8,602,"21 of 3139"
"Wyoming County",36121,6.9,353,"24 of 3139"
"Erie County",36029,7.0,10136,"28 of 3139"
"Cayuga County",36011,7.1,795,"31 of 3139"
"Chenango County",36017,7.1,613,"31 of 3139"
"Genesee County",36037,7.1,575,"31 of 3139"
"Oswego County",36075,7.1,1573,"31 of 3139"
"Wayne County",36117,7.1,957,"31 of 3139"
"Monroe County",36055,7.3,8657,"41 of 3139"
"Fulton County",36035,7.6,773,"51 of 3139"
"Rensselaer County",36083,7.7,1667,"59 of 3139"
"Washington County",36115,7.7,741,"59 of 3139"
"Broome County",36007,7.8,2836,"68 of 3139"
"Niagara County",36063,7.9,2579,"75 of 3139"
"Schoharie County",36095,7.9,370,"75 of 3139"
"Clinton County",36019,8.0,1038,"79 of 3139"
"Madison County",36053,8.0,742,"79 of 3139"
"Montgomery County",36057,8.0,894,"79 of 3139"
"Ontario County",36069,8.0,1055,"79 of 3139"
"Orleans County",36073,8.0,600,"79 of 3139"
"Schuyler County",36097,8.0,248,"79 of 3139"
"Tioga County",36107,8.0,544,"79 of 3139"
"Allegany County",36003,8.1,712,"99 of 3139"
"Cattaraugus County",36009,8.1,1254,"99 of 3139"
"Onondaga County",36067,8.1,5986,"99 of 3139"
"Otsego County",36077,8.1,739,"99 of 3139"
"Schenectady County",36093,8.1,1795,"99 of 3139"
"Essex County",36031,8.2,395,"112 of 3139"
"Oneida County",36065,8.2,3477,"112 of 3139"
"Lewis County",36049,8.4,381,"138 of 3139"
"Albany County",36001,8.7,3594,"168 of 3139"
"Greene County",36039,8.7,556,"168 of 3139"
"Warren County",36113,8.7,715,"168 of 3139"
"Bronx County",36005,8.8,43089,"186 of 3139"
"Saratoga County",36091,8.8,1584,"186 of 3139"
"Kings County",36047,9.1,58681,"265 of 3139"
"St. Lawrence County",36089,9.1,1861,"265 of 3139"
"Steuben County",36101,9.1,1562,"265 of 3139"
"Franklin County",36033,9.2,839,"289 of 3139"
"Richmond County",36085,9.2,5898,"289 of 3139"
"Seneca County",36099,9.2,496,"289 of 3139"
"Orange County",36071,9.3,4967,"309 of 3139"
"Sullivan County",36105,9.6,1326,"368 of 3139"
"Delaware County",36025,9.7,747,"392 of 3139"
"Rockland County",36087,9.9,5219,"446 of 3139"
"Tompkins County",36109,10.1,1825,"497 of 3139"
"Columbia County",36021,10.2,837,"519 of 3139"
"Hamilton County",36041,10.2,53,"519 of 3139"
"New York County",36061,10.5,28135,"580 of 3139"
"Yates County",36123,11.0,487,"684 of 3139"
"Dutchess County",36027,11.1,3377,"697 of 3139"
"Suffolk County",36103,11.9,14727,"840 of 3139"
"Ulster County",36111,12.1,3061,"878 of 3139"
"Queens County",36081,14.5,58926,"1195 of 3139"
"Nassau County",36059,14.7,13633,"1221 of 3139"
"Putnam County",36079,15.9,890,"1363 of 3139"
"Westchester County",36119,16.0,15903,"1374 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
