------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"New York",36000,15.7,3100685,"13 of 52"
"Tioga County",36107,0.6,298,"2398 of 3141"
"Lewis County",36049,0.7,198,"2244 of 3141"
"Hamilton County",36041,0.8,36,"2223 of 3141"
"Chenango County",36017,0.9,418,"2145 of 3141"
"Oswego County",36075,1.0,1199,"2038 of 3141"
"Yates County",36123,1.1,274,"1989 of 3141"
"Warren County",36113,1.2,759,"1951 of 3141"
"Herkimer County",36043,1.2,786,"1917 of 3141"
"Schuyler County",36097,1.4,248,"1858 of 3141"
"Allegany County",36003,1.4,687,"1826 of 3141"
"Schoharie County",36095,1.6,511,"1748 of 3141"
"Steuben County",36101,1.6,1604,"1737 of 3141"
"Cattaraugus County",36009,1.7,1303,"1728 of 3141"
"Saratoga County",36091,1.7,3893,"1711 of 3141"
"Montgomery County",36057,1.8,887,"1690 of 3141"
"Cortland County",36023,1.8,869,"1685 of 3141"
"Fulton County",36035,1.8,998,"1670 of 3141"
"Delaware County",36025,2.0,904,"1640 of 3141"
"Otsego County",36077,2.0,1226,"1626 of 3141"
"Madison County",36053,2.0,1463,"1620 of 3141"
"St. Lawrence County",36089,2.4,2637,"1541 of 3141"
"Putnam County",36079,2.4,2414,"1526 of 3141"
"Ontario County",36069,2.5,2713,"1520 of 3141"
"Genesee County",36037,2.5,1485,"1500 of 3141"
"Livingston County",36051,2.6,1688,"1480 of 3141"
"Chautauqua County",36013,2.6,3459,"1477 of 3141"
"Wayne County",36117,3.0,2725,"1412 of 3141"
"Essex County",36031,3.2,1220,"1378 of 3141"
"Washington County",36115,3.4,2090,"1347 of 3141"
"Tompkins County",36109,4.0,4182,"1255 of 3141"
"Cayuga County",36011,4.1,3192,"1240 of 3141"
"Clinton County",36019,4.2,3448,"1223 of 3141"
"Columbia County",36021,4.5,2779,"1193 of 3141"
"Seneca County",36099,4.9,1717,"1148 of 3141"
"Wyoming County",36121,5.2,2119,"1116 of 3141"
"Ulster County",36111,5.7,10312,"1067 of 3141"
"Broome County",36007,5.8,11279,"1064 of 3141"
"Jefferson County",36045,5.8,6753,"1060 of 3141"
"Franklin County",36033,5.9,3025,"1048 of 3141"
"Chemung County",36015,6.0,5222,"1039 of 3141"
"Orleans County",36073,6.0,2515,"1033 of 3141"
"Greene County",36039,6.2,2984,"1015 of 3141"
"Oneida County",36065,6.3,14636,"1007 of 3141"
"Rensselaer County",36083,6.5,10311,"1000 of 3141"
"Niagara County",36063,7.2,15317,"946 of 3141"
"Suffolk County",36103,7.8,117030,"907 of 3141"
"Sullivan County",36105,8.6,6551,"865 of 3141"
"Schenectady County",36093,10.3,16008,"781 of 3141"
"Richmond County",36085,10.3,49237,"777 of 3141"
"Dutchess County",36027,10.5,31036,"773 of 3141"
"Orange County",36071,10.6,40236,"767 of 3141"
"Onondaga County",36067,11.2,52493,"740 of 3141"
"Nassau County",36059,11.5,157339,"723 of 3141"
"Albany County",36001,12.3,37937,"704 of 3141"
"Rockland County",36087,12.5,40643,"695 of 3141"
"Erie County",36029,13.4,124101,"659 of 3141"
"Westchester County",36119,14.6,142677,"622 of 3141"
"New York County",36061,14.9,246603,"613 of 3141"
"Monroe County",36055,15.3,114344,"603 of 3141"
"Queens County",36081,18.2,426668,"540 of 3141"
"Kings County",36047,33.0,869467,"273 of 3141"
"Bronx County",36005,33.6,489532,"263 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
