------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"New York",36000,23.5,4539010,"26 of 52"
"United States",00000,23.7,74202606,"N/A"
"Putnam County",36079,9.3,9123,"33 of 3141"
"Nassau County",36059,10.1,136011,"48 of 3141"
"Saratoga County",36091,11.7,26081,"82 of 3141"
"Suffolk County",36103,12.3,180282,"107 of 3141"
"Westchester County",36119,15.7,149236,"276 of 3141"
"Dutchess County",36027,15.7,43848,"278 of 3141"
"Warren County",36113,16.7,10632,"356 of 3141"
"Essex County",36031,16.8,5983,"366 of 3141"
"Ontario County",36069,17.1,18179,"403 of 3141"
"Richmond County",36085,19.1,89612,"616 of 3141"
"Orange County",36071,19.3,71190,"644 of 3141"
"Albany County",36001,19.4,56772,"650 of 3141"
"Columbia County",36021,19.7,11724,"693 of 3141"
"Schenectady County",36093,19.7,29849,"702 of 3141"
"Rensselaer County",36083,19.7,30389,"703 of 3141"
"Wayne County",36117,19.9,17910,"725 of 3141"
"Madison County",36053,20.0,13329,"746 of 3141"
"Genesee County",36037,20.3,11690,"780 of 3141"
"Greene County",36039,20.3,9053,"782 of 3141"
"Tioga County",36107,20.4,9952,"792 of 3141"
"Ulster County",36111,20.9,36090,"872 of 3141"
"Wyoming County",36121,21.2,7916,"904 of 3141"
"Hamilton County",36041,21.3,981,"920 of 3141"
"Schoharie County",36095,21.7,6556,"977 of 3141"
"Cayuga County",36011,21.7,16065,"979 of 3141"
"Rockland County",36087,21.8,69960,"988 of 3141"
"Seneca County",36099,21.9,6957,"996 of 3141"
"Onondaga County",36067,22.2,99515,"1032 of 3141"
"Monroe County",36055,22.4,162313,"1065 of 3141"
"Erie County",36029,22.5,201932,"1077 of 3141"
"Niagara County",36063,22.6,47121,"1084 of 3141"
"Livingston County",36051,22.9,13311,"1133 of 3141"
"Cortland County",36023,22.9,10248,"1136 of 3141"
"Washington County",36115,23.6,13908,"1234 of 3141"
"Lewis County",36049,23.6,6257,"1235 of 3141"
"Queens County",36081,23.8,551317,"1258 of 3141"
"Sullivan County",36105,24.0,17522,"1287 of 3141"
"Clinton County",36019,24.0,17619,"1290 of 3141"
"Yates County",36123,24.1,5754,"1307 of 3141"
"Chemung County",36015,24.4,19979,"1348 of 3141"
"New York County",36061,25.0,402256,"1451 of 3141"
"Chenango County",36017,25.1,12021,"1454 of 3141"
"Otsego County",36077,25.2,14053,"1479 of 3141"
"Jefferson County",36045,25.3,27721,"1482 of 3141"
"Steuben County",36101,25.3,24271,"1491 of 3141"
"Herkimer County",36043,25.4,15677,"1498 of 3141"
"Fulton County",36035,25.5,13446,"1510 of 3141"
"Delaware County",36025,25.6,11155,"1531 of 3141"
"Oneida County",36065,26.0,57238,"1592 of 3141"
"Schuyler County",36097,26.3,4659,"1621 of 3141"
"Tompkins County",36109,26.4,23883,"1643 of 3141"
"Broome County",36007,26.5,49255,"1656 of 3141"
"Oswego County",36075,26.6,30488,"1685 of 3141"
"Franklin County",36033,27.2,12347,"1767 of 3141"
"Orleans County",36073,27.9,10819,"1863 of 3141"
"Allegany County",36003,28.5,12073,"1952 of 3141"
"St. Lawrence County",36089,29.2,28879,"2049 of 3141"
"Cattaraugus County",36009,29.4,22190,"2062 of 3141"
"Montgomery County",36057,30.2,14646,"2171 of 3141"
"Chautauqua County",36013,30.3,37800,"2174 of 3141"
"Kings County",36047,33.0,861649,"2459 of 3141"
"Bronx County",36005,43.0,610318,"3012 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
