------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"New York",36000,6.1,1185009,"2 of 51"
"United States",00000,8.4,26717038,"N/A"
"Putnam County",36079,2.4,2379,"151 of 3140"
"Greene County",36039,3.2,1519,"304 of 3140"
"Nassau County",36059,3.6,48101,"390 of 3140"
"Richmond County",36085,3.6,16810,"393 of 3140"
"Yates County",36123,3.7,917,"430 of 3140"
"Madison County",36053,4.0,2838,"524 of 3140"
"Schuyler County",36097,4.0,722,"549 of 3140"
"Suffolk County",36103,4.3,63060,"601 of 3140"
"Columbia County",36021,4.3,2642,"629 of 3140"
"Lewis County",36049,4.5,1191,"696 of 3140"
"Queens County",36081,4.8,110865,"823 of 3140"
"Orange County",36071,5.0,18811,"931 of 3140"
"Wyoming County",36121,5.2,2105,"1009 of 3140"
"Rockland County",36087,5.2,16678,"1016 of 3140"
"Orleans County",36073,5.2,2152,"1030 of 3140"
"Seneca County",36099,5.3,1806,"1051 of 3140"
"Tioga County",36107,5.3,2585,"1072 of 3140"
"Essex County",36031,5.4,2035,"1098 of 3140"
"Saratoga County",36091,5.4,12058,"1102 of 3140"
"Delaware County",36025,5.4,2470,"1125 of 3140"
"Kings County",36047,5.6,144414,"1194 of 3140"
"Dutchess County",36027,5.6,16421,"1207 of 3140"
"Niagara County",36063,5.6,11819,"1217 of 3140"
"Bronx County",36005,5.6,80720,"1225 of 3140"
"Schenectady County",36093,5.7,8821,"1285 of 3140"
"Westchester County",36119,5.8,55854,"1307 of 3140"
"Warren County",36113,5.8,3757,"1341 of 3140"
"Herkimer County",36043,6.1,3818,"1501 of 3140"
"Genesee County",36037,6.2,3600,"1540 of 3140"
"Ulster County",36111,6.3,11249,"1584 of 3140"
"Cattaraugus County",36009,6.6,5092,"1715 of 3140"
"Wayne County",36117,6.6,5994,"1734 of 3140"
"Allegany County",36003,6.7,3128,"1742 of 3140"
"Fulton County",36035,6.7,3557,"1743 of 3140"
"Chenango County",36017,6.7,3246,"1765 of 3140"
"Sullivan County",36105,6.8,5081,"1785 of 3140"
"Franklin County",36033,6.9,3508,"1838 of 3140"
"Schoharie County",36095,6.9,2183,"1843 of 3140"
"Cayuga County",36011,7.0,5460,"1887 of 3140"
"Washington County",36115,7.1,4395,"1923 of 3140"
"Ontario County",36069,7.2,7817,"1968 of 3140"
"Livingston County",36051,7.2,4609,"1975 of 3140"
"Montgomery County",36057,7.4,3602,"2029 of 3140"
"Albany County",36001,7.4,22516,"2036 of 3140"
"New York County",36061,7.4,120674,"2038 of 3140"
"Otsego County",36077,7.4,4437,"2039 of 3140"
"Hamilton County",36041,7.4,342,"2066 of 3140"
"Rensselaer County",36083,7.5,11863,"2084 of 3140"
"Oneida County",36065,7.6,17488,"2133 of 3140"
"Steuben County",36101,8.0,7730,"2275 of 3140"
"Chautauqua County",36013,8.5,11015,"2415 of 3140"
"Chemung County",36015,8.6,7381,"2428 of 3140"
"Erie County",36029,8.7,79611,"2476 of 3140"
"St. Lawrence County",36089,8.8,9622,"2490 of 3140"
"Oswego County",36075,8.8,10505,"2514 of 3140"
"Onondaga County",36067,8.9,41243,"2532 of 3140"
"Cortland County",36023,9.2,4374,"2595 of 3140"
"Clinton County",36019,9.4,7605,"2668 of 3140"
"Jefferson County",36045,9.7,11091,"2724 of 3140"
"Broome County",36007,9.9,19240,"2763 of 3140"
"Monroe County",36055,10.5,77537,"2865 of 3140"
"Tompkins County",36109,10.5,10846,"2869 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
