------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"New York",36000,2.4,479012,"12 of 51"
"United States",00000,3.2,10247779,"N/A"
"Suffolk County",36103,1.4,20267,"115 of 3140"
"Richmond County",36085,1.5,7180,"154 of 3140"
"Greene County",36039,1.6,744,"170 of 3140"
"Rockland County",36087,1.7,5421,"209 of 3140"
"Kings County",36047,1.7,44649,"220 of 3140"
"Erie County",36029,1.8,16299,"245 of 3140"
"Queens County",36081,1.9,44390,"297 of 3140"
"Cattaraugus County",36009,2.0,1569,"347 of 3140"
"Nassau County",36059,2.1,27710,"356 of 3140"
"Orange County",36071,2.1,7816,"383 of 3140"
"Bronx County",36005,2.2,31475,"441 of 3140"
"Columbia County",36021,2.3,1407,"500 of 3140"
"Onondaga County",36067,2.3,10802,"518 of 3140"
"Steuben County",36101,2.4,2336,"572 of 3140"
"Monroe County",36055,2.4,18000,"573 of 3140"
"Lewis County",36049,2.5,656,"604 of 3140"
"New York County",36061,2.5,41207,"635 of 3140"
"Westchester County",36119,2.5,24397,"642 of 3140"
"Niagara County",36063,2.6,5423,"677 of 3140"
"Tioga County",36107,2.7,1301,"751 of 3140"
"Schenectady County",36093,2.7,4101,"753 of 3140"
"Jefferson County",36045,2.7,3097,"777 of 3140"
"Chenango County",36017,2.8,1351,"842 of 3140"
"Herkimer County",36043,2.9,1822,"928 of 3140"
"Chautauqua County",36013,3.0,3885,"975 of 3140"
"Wayne County",36117,3.2,2870,"1113 of 3140"
"Oneida County",36065,3.2,7319,"1125 of 3140"
"Chemung County",36015,3.2,2780,"1148 of 3140"
"Genesee County",36037,3.3,1913,"1201 of 3140"
"Montgomery County",36057,3.4,1674,"1269 of 3140"
"Hamilton County",36041,3.4,158,"1284 of 3140"
"Broome County",36007,3.5,6856,"1366 of 3140"
"Putnam County",36079,3.6,3516,"1405 of 3140"
"Fulton County",36035,3.7,1964,"1488 of 3140"
"Ulster County",36111,3.7,6668,"1530 of 3140"
"Dutchess County",36027,3.8,11084,"1560 of 3140"
"Saratoga County",36091,3.8,8583,"1594 of 3140"
"Schuyler County",36097,3.8,689,"1609 of 3140"
"Cortland County",36023,4.0,1908,"1700 of 3140"
"Oswego County",36075,4.2,4951,"1803 of 3140"
"Sullivan County",36105,4.2,3151,"1819 of 3140"
"St. Lawrence County",36089,4.3,4721,"1874 of 3140"
"Yates County",36123,4.3,1079,"1897 of 3140"
"Tompkins County",36109,4.4,4549,"1925 of 3140"
"Ontario County",36069,4.5,4865,"1986 of 3140"
"Madison County",36053,4.5,3205,"1992 of 3140"
"Schoharie County",36095,4.5,1427,"2012 of 3140"
"Warren County",36113,4.5,2918,"2015 of 3140"
"Allegany County",36003,4.6,2174,"2054 of 3140"
"Delaware County",36025,4.8,2180,"2152 of 3140"
"Cayuga County",36011,4.8,3712,"2155 of 3140"
"Essex County",36031,5.2,1965,"2338 of 3140"
"Rensselaer County",36083,5.3,8422,"2406 of 3140"
"Albany County",36001,5.4,16397,"2429 of 3140"
"Livingston County",36051,5.5,3513,"2487 of 3140"
"Orleans County",36073,5.6,2292,"2508 of 3140"
"Washington County",36115,6.4,3931,"2717 of 3140"
"Wyoming County",36121,6.4,2591,"2723 of 3140"
"Otsego County",36077,6.6,3991,"2770 of 3140"
"Clinton County",36019,6.8,5509,"2805 of 3140"
"Franklin County",36033,7.2,3655,"2862 of 3140"
"Seneca County",36099,7.4,2527,"2885 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
