------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'mob', 'demo': '00017', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=mob&demo=00017&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
Mobility: Haven't moved (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Haven't Moved),Rank within US
"United States",00000,85.4,270854872,"N/A"
"New York",36000,89.4,17495155,"2 of 51"
"Tompkins County",36109,76.1,78822,"3072 of 3140"
"Jefferson County",36045,78.0,89241,"3029 of 3140"
"Clinton County",36019,81.8,65989,"2779 of 3140"
"Franklin County",36033,84.1,42585,"2420 of 3140"
"Otsego County",36077,84.3,50715,"2373 of 3140"
"Rensselaer County",36083,84.5,133572,"2333 of 3140"
"Broome County",36007,84.5,164365,"2330 of 3140"
"New York County",36061,84.6,1383115,"2324 of 3140"
"Washington County",36115,84.6,52183,"2301 of 3140"
"Monroe County",36055,84.7,627340,"2300 of 3140"
"Albany County",36001,84.9,259330,"2239 of 3140"
"St. Lawrence County",36089,85.2,93431,"2174 of 3140"
"Oswego County",36075,85.7,101804,"2040 of 3140"
"Seneca County",36099,85.8,29414,"2021 of 3140"
"Onondaga County",36067,85.9,397469,"1994 of 3140"
"Livingston County",36051,86.0,54866,"1950 of 3140"
"Cortland County",36023,86.0,41095,"1944 of 3140"
"Ontario County",36069,86.0,93300,"1932 of 3140"
"Essex County",36031,86.7,32915,"1700 of 3140"
"Chautauqua County",36013,86.8,112275,"1692 of 3140"
"Chemung County",36015,86.9,74749,"1645 of 3140"
"Allegany County",36003,86.9,40837,"1638 of 3140"
"Schoharie County",36095,87.1,27398,"1587 of 3140"
"Wyoming County",36121,87.2,35328,"1563 of 3140"
"Montgomery County",36057,87.2,42700,"1553 of 3140"
"Cayuga County",36011,87.2,67626,"1538 of 3140"
"Sullivan County",36105,87.3,65543,"1494 of 3140"
"Oneida County",36065,87.5,200828,"1431 of 3140"
"Erie County",36029,87.7,801304,"1370 of 3140"
"Hamilton County",36041,87.7,4035,"1368 of 3140"
"Saratoga County",36091,87.8,197057,"1354 of 3140"
"Delaware County",36025,88.0,40096,"1283 of 3140"
"Steuben County",36101,88.0,84767,"1277 of 3140"
"Dutchess County",36027,88.4,259021,"1145 of 3140"
"Warren County",36113,88.4,56784,"1142 of 3140"
"Fulton County",36035,88.5,47291,"1097 of 3140"
"Orleans County",36073,88.6,36507,"1052 of 3140"
"Ulster County",36111,88.7,158500,"1020 of 3140"
"Wayne County",36117,88.9,80377,"960 of 3140"
"Chenango County",36017,89.0,43014,"928 of 3140"
"Yates County",36123,89.2,22160,"860 of 3140"
"Madison County",36053,89.5,63777,"758 of 3140"
"Genesee County",36037,89.7,51926,"708 of 3140"
"Westchester County",36119,89.7,866503,"707 of 3140"
"Schenectady County",36093,89.8,137839,"702 of 3140"
"Cattaraugus County",36009,89.9,69533,"665 of 3140"
"Tioga County",36107,90.0,43865,"631 of 3140"
"Herkimer County",36043,90.1,56165,"595 of 3140"
"Bronx County",36005,90.5,1299021,"521 of 3140"
"Kings County",36047,90.6,2354219,"486 of 3140"
"Niagara County",36063,90.9,191305,"438 of 3140"
"Schuyler County",36097,91.2,16330,"369 of 3140"
"Orange County",36071,91.3,341442,"353 of 3140"
"Queens County",36081,91.4,2114805,"328 of 3140"
"Rockland County",36087,91.5,293303,"309 of 3140"
"Lewis County",36049,91.6,24319,"287 of 3140"
"Columbia County",36021,91.8,56102,"257 of 3140"
"Putnam County",36079,93.1,91678,"135 of 3140"
"Nassau County",36059,93.3,1260333,"117 of 3140"
"Suffolk County",36103,93.4,1385405,"114 of 3140"
"Richmond County",36085,94.1,442773,"72 of 3140"
"Greene County",36039,94.5,44764,"56 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Haven't moved (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
