------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"New York",36000,1.3,263313,"2 of 51"
"United States",00000,2.3,7354769,"N/A"
"Orleans County",36073,0.3,141,"99 of 3140"
"Richmond County",36085,0.5,2177,"158 of 3140"
"Greene County",36039,0.5,252,"200 of 3140"
"Suffolk County",36103,0.6,9248,"262 of 3140"
"Nassau County",36059,0.6,8469,"266 of 3140"
"Putnam County",36079,0.6,634,"280 of 3140"
"Cayuga County",36011,0.6,503,"286 of 3140"
"Genesee County",36037,0.7,383,"294 of 3140"
"Herkimer County",36043,0.7,429,"323 of 3140"
"Schuyler County",36097,0.7,126,"341 of 3140"
"Bronx County",36005,0.7,10263,"349 of 3140"
"Cortland County",36023,0.8,361,"376 of 3140"
"Queens County",36081,0.8,17950,"397 of 3140"
"Niagara County",36063,0.8,1680,"424 of 3140"
"Fulton County",36035,0.9,464,"493 of 3140"
"Ulster County",36111,0.9,1584,"512 of 3140"
"Livingston County",36051,0.9,571,"529 of 3140"
"Rockland County",36087,0.9,3027,"582 of 3140"
"Warren County",36113,0.9,610,"589 of 3140"
"Chemung County",36015,1.0,894,"685 of 3140"
"Oswego County",36075,1.1,1256,"712 of 3140"
"Wayne County",36117,1.1,964,"720 of 3140"
"Erie County",36029,1.1,10112,"777 of 3140"
"Kings County",36047,1.1,29309,"802 of 3140"
"Lewis County",36049,1.2,307,"834 of 3140"
"Wyoming County",36121,1.2,472,"847 of 3140"
"Sullivan County",36105,1.2,874,"848 of 3140"
"Montgomery County",36057,1.2,585,"887 of 3140"
"Westchester County",36119,1.2,11799,"923 of 3140"
"Schenectady County",36093,1.2,1888,"931 of 3140"
"Oneida County",36065,1.2,2837,"940 of 3140"
"Otsego County",36077,1.3,788,"1026 of 3140"
"Hamilton County",36041,1.3,62,"1067 of 3140"
"Chautauqua County",36013,1.4,1750,"1071 of 3140"
"Orange County",36071,1.4,5071,"1078 of 3140"
"Steuben County",36101,1.4,1310,"1083 of 3140"
"Chenango County",36017,1.4,666,"1105 of 3140"
"Cattaraugus County",36009,1.4,1081,"1131 of 3140"
"Columbia County",36021,1.4,863,"1154 of 3140"
"St. Lawrence County",36089,1.4,1553,"1156 of 3140"
"Madison County",36053,1.4,1009,"1159 of 3140"
"Schoharie County",36095,1.4,446,"1162 of 3140"
"Broome County",36007,1.5,2835,"1202 of 3140"
"Seneca County",36099,1.5,505,"1216 of 3140"
"Allegany County",36003,1.5,704,"1252 of 3140"
"Albany County",36001,1.5,4629,"1277 of 3140"
"Franklin County",36033,1.5,769,"1281 of 3140"
"Clinton County",36019,1.5,1236,"1292 of 3140"
"Delaware County",36025,1.6,729,"1374 of 3140"
"Washington County",36115,1.7,1070,"1535 of 3140"
"Monroe County",36055,1.7,12888,"1540 of 3140"
"Dutchess County",36027,1.7,5116,"1548 of 3140"
"Ontario County",36069,1.9,2010,"1655 of 3140"
"Tioga County",36107,1.9,916,"1677 of 3140"
"Onondaga County",36067,2.0,9330,"1797 of 3140"
"Rensselaer County",36083,2.2,3402,"1913 of 3140"
"Essex County",36031,2.2,824,"1931 of 3140"
"Yates County",36123,2.4,597,"2099 of 3140"
"Saratoga County",36091,2.5,5556,"2141 of 3140"
"New York County",36061,3.7,60551,"2724 of 3140"
"Tompkins County",36109,6.4,6595,"3063 of 3140"
"Jefferson County",36045,7.2,8283,"3095 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
