------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '36', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=36&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for New York by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"United States",00000,3.3,3975282,"N/A"
"New York",36000,5.1,370547,"4 of 52"
"Genesee County",36037,0.7,174,"2868 of 3141"
"Chemung County",36015,0.8,289,"2791 of 3141"
"Saratoga County",36091,0.8,789,"2776 of 3141"
"Wyoming County",36121,0.9,135,"2759 of 3141"
"Albany County",36001,0.9,1096,"2742 of 3141"
"Seneca County",36099,0.9,125,"2685 of 3141"
"Niagara County",36063,1.0,898,"2592 of 3141"
"Schoharie County",36095,1.0,129,"2578 of 3141"
"Cayuga County",36011,1.1,336,"2540 of 3141"
"Monroe County",36055,1.1,3297,"2514 of 3141"
"Madison County",36053,1.1,289,"2511 of 3141"
"Fulton County",36035,1.1,251,"2490 of 3141"
"Schenectady County",36093,1.2,621,"2436 of 3141"
"Warren County",36113,1.2,315,"2430 of 3141"
"Erie County",36029,1.2,4628,"2377 of 3141"
"Cortland County",36023,1.2,218,"2359 of 3141"
"Greene County",36039,1.2,213,"2327 of 3141"
"Ontario County",36069,1.2,553,"2322 of 3141"
"Columbia County",36021,1.3,332,"2255 of 3141"
"Tioga County",36107,1.3,265,"2220 of 3141"
"Rensselaer County",36083,1.4,874,"2193 of 3141"
"Hamilton County",36041,1.4,15,"2173 of 3141"
"Broome County",36007,1.4,1080,"2172 of 3141"
"Tompkins County",36109,1.4,548,"2137 of 3141"
"Putnam County",36079,1.4,485,"2126 of 3141"
"Chautauqua County",36013,1.4,751,"2118 of 3141"
"Wayne County",36117,1.5,542,"2047 of 3141"
"Lewis County",36049,1.5,152,"2040 of 3141"
"Herkimer County",36043,1.5,378,"2025 of 3141"
"Washington County",36115,1.5,361,"2019 of 3141"
"Steuben County",36101,1.5,608,"2017 of 3141"
"Onondaga County",36067,1.5,2825,"2004 of 3141"
"Essex County",36031,1.6,248,"1885 of 3141"
"Clinton County",36019,1.6,520,"1869 of 3141"
"Livingston County",36051,1.7,408,"1842 of 3141"
"Oneida County",36065,1.7,1525,"1819 of 3141"
"St. Lawrence County",36089,1.7,728,"1761 of 3141"
"Ulster County",36111,1.8,1259,"1703 of 3141"
"Franklin County",36033,1.8,344,"1695 of 3141"
"Allegany County",36003,1.9,338,"1631 of 3141"
"Yates County",36123,1.9,175,"1618 of 3141"
"Jefferson County",36045,2.0,858,"1516 of 3141"
"Montgomery County",36057,2.0,392,"1512 of 3141"
"Orleans County",36073,2.1,337,"1422 of 3141"
"Sullivan County",36105,2.1,578,"1414 of 3141"
"Cattaraugus County",36009,2.1,668,"1392 of 3141"
"Schuyler County",36097,2.1,160,"1351 of 3141"
"Otsego County",36077,2.3,544,"1201 of 3141"
"Chenango County",36017,2.4,481,"1144 of 3141"
"Oswego County",36075,2.5,1141,"1032 of 3141"
"Suffolk County",36103,2.5,12242,"1016 of 3141"
"Nassau County",36059,2.5,11310,"985 of 3141"
"Delaware County",36025,3.3,635,"585 of 3141"
"Dutchess County",36027,3.5,3755,"525 of 3141"
"Orange County",36071,3.8,4796,"431 of 3141"
"Richmond County",36085,4.1,6844,"355 of 3141"
"Westchester County",36119,4.2,14486,"335 of 3141"
"New York County",36061,5.7,43307,"169 of 3141"
"Rockland County",36087,6.3,6318,"135 of 3141"
"Queens County",36081,9.4,73236,"52 of 3141"
"Kings County",36047,10.4,98163,"36 of 3141"
"Bronx County",36005,12.4,61179,"23 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
