------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'mob', 'demo': '00021', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_012.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=mob&demo=00021&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Mobility: Moved from outside US (in past year)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Outside US),Rank within US
"Nevada",32000,0.6,16317,"32 of 51"
"United States",00000,0.7,2074097,"N/A"
"Esmeralda County",32009,0.0,0,"1 of 3140"
"Eureka County",32011,0.0,0,"1 of 3140"
"Mineral County",32021,0.0,0,"1 of 3140"
"Pershing County",32027,0.0,0,"1 of 3140"
"Storey County",32029,0.0,0,"1 of 3140"
"White Pine County",32033,0.1,9,"876 of 3140"
"Nye County",32023,0.1,44,"938 of 3140"
"Douglas County",32005,0.2,79,"1380 of 3140"
"Lyon County",32019,0.2,87,"1383 of 3140"
"Elko County",32007,0.2,95,"1488 of 3140"
"Carson City",32510,0.3,159,"1996 of 3140"
"Lincoln County",32017,0.3,17,"2113 of 3140"
"Churchill County",32001,0.4,100,"2356 of 3140"
"Washoe County",32031,0.5,2379,"2583 of 3140"
"Humboldt County",32013,0.6,105,"2700 of 3140"
"Clark County",32003,0.6,13203,"2702 of 3140"
"Lander County",32015,0.7,40,"2773 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved from outside US (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
