------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"Nevada",32000,67.1,1936453,"43 of 52"
"United States",00000,73.0,234370202,"N/A"
"Clark County",32003,61.6,1301043,"2791 of 3141"
"Mineral County",32021,61.8,2764,"2781 of 3141"
"Washoe County",32031,79.6,354735,"2234 of 3141"
"Carson City",32510,80.9,43841,"2174 of 3141"
"Nye County",32023,82.9,35881,"2081 of 3141"
"Pershing County",32027,83.2,5539,"2057 of 3141"
"Churchill County",32001,84.6,20327,"1991 of 3141"
"Lyon County",32019,85.9,44910,"1929 of 3141"
"White Pine County",32033,85.9,8465,"1925 of 3141"
"Lincoln County",32017,87.3,4541,"1825 of 3141"
"Elko County",32007,87.4,45752,"1821 of 3141"
"Humboldt County",32013,88.1,15063,"1738 of 3141"
"Douglas County",32005,88.2,42035,"1723 of 3141"
"Lander County",32015,89.2,5250,"1629 of 3141"
"Esmeralda County",32009,89.9,991,"1563 of 3141"
"Storey County",32029,93.0,3619,"1193 of 3141"
"Eureka County",32011,98.2,1697,"64 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
