------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Nevada",32000,8.8,253013,"25 of 52"
"United States",00000,12.7,40610815,"N/A"
"Lander County",32015,0.1,3,"3017 of 3141"
"Eureka County",32011,0.1,2,"2952 of 3141"
"Douglas County",32005,0.6,288,"2397 of 3141"
"Humboldt County",32013,0.6,110,"2359 of 3141"
"Storey County",32029,0.7,28,"2260 of 3141"
"Esmeralda County",32009,0.7,8,"2253 of 3141"
"Mineral County",32021,0.8,35,"2215 of 3141"
"Elko County",32007,1.0,507,"2056 of 3141"
"Lyon County",32019,1.0,545,"2012 of 3141"
"Carson City",32510,1.7,931,"1712 of 3141"
"Washoe County",32031,2.3,10103,"1564 of 3141"
"Churchill County",32001,2.5,606,"1505 of 3141"
"Nye County",32023,3.1,1340,"1397 of 3141"
"Lincoln County",32017,3.1,163,"1391 of 3141"
"White Pine County",32033,4.8,477,"1163 of 3141"
"Pershing County",32027,4.9,324,"1158 of 3141"
"Clark County",32003,11.2,237543,"737 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
