------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Nevada",32000,23.7,466121,"47 of 52"
"United States",00000,30.9,66887603,"N/A"
"Nye County",32023,11.5,3826,"2894 of 3141"
"Lander County",32015,13.3,517,"2616 of 3141"
"Eureka County",32011,13.5,171,"2582 of 3141"
"Pershing County",32027,13.7,703,"2552 of 3141"
"Mineral County",32021,14.0,461,"2490 of 3141"
"White Pine County",32033,14.6,1024,"2382 of 3141"
"Lyon County",32019,14.7,5471,"2368 of 3141"
"Humboldt County",32013,15.2,1670,"2264 of 3141"
"Esmeralda County",32009,16.7,137,"1980 of 3141"
"Elko County",32007,17.7,5838,"1815 of 3141"
"Churchill County",32001,18.3,2990,"1701 of 3141"
"Carson City",32510,21.6,8340,"1164 of 3141"
"Lincoln County",32017,21.7,792,"1137 of 3141"
"Storey County",32029,22.9,739,"993 of 3141"
"Clark County",32003,23.3,332753,"949 of 3141"
"Douglas County",32005,27.2,9809,"634 of 3141"
"Washoe County",32031,29.8,90880,"499 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
