------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Nevada",32000,14.2,405263,"26 of 52"
"United States",00000,14.6,45650345,"N/A"
"Esmeralda County",32009,6.8,75,"130 of 3141"
"Storey County",32029,7.7,300,"209 of 3141"
"Humboldt County",32013,9.1,1535,"377 of 3141"
"Douglas County",32005,9.8,4647,"504 of 3141"
"Eureka County",32011,10.0,173,"547 of 3141"
"Elko County",32007,11.5,5931,"815 of 3141"
"Lincoln County",32017,12.1,568,"933 of 3141"
"White Pine County",32033,13.0,1092,"1120 of 3141"
"Lander County",32015,13.2,769,"1152 of 3141"
"Washoe County",32031,13.3,58642,"1196 of 3141"
"Lyon County",32019,13.7,7148,"1288 of 3141"
"Churchill County",32001,13.8,3245,"1302 of 3141"
"Clark County",32003,14.6,304449,"1455 of 3141"
"Carson City",32510,14.7,7698,"1482 of 3141"
"Pershing County",32027,15.0,709,"1543 of 3141"
"Nye County",32023,17.3,7388,"1999 of 3141"
"Mineral County",32021,20.3,894,"2466 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
