------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"United States",00000,5.5,17756436,"N/A"
"Nevada",32000,8.7,251521,"5 of 52"
"Esmeralda County",32009,0.0,0,"2927 of 3141"
"Eureka County",32011,0.0,0,"2927 of 3141"
"Humboldt County",32013,0.3,46,"2457 of 3141"
"Lander County",32015,0.5,32,"1770 of 3141"
"White Pine County",32033,0.9,91,"1151 of 3141"
"Lincoln County",32017,1.0,53,"1053 of 3141"
"Elko County",32007,1.2,644,"871 of 3141"
"Lyon County",32019,1.3,680,"819 of 3141"
"Douglas County",32005,1.8,853,"599 of 3141"
"Pershing County",32027,1.8,121,"593 of 3141"
"Storey County",32029,1.9,73,"578 of 3141"
"Nye County",32023,2.1,897,"515 of 3141"
"Carson City",32510,2.6,1404,"404 of 3141"
"Churchill County",32001,2.7,637,"392 of 3141"
"Mineral County",32021,4.6,206,"183 of 3141"
"Washoe County",32031,6.0,26595,"118 of 3141"
"Clark County",32003,10.4,219189,"48 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
