------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Nevada",32000,0.9,25135,"3 of 51"
"United States",00000,3.2,10247779,"N/A"
"Clark County",32003,0.2,4613,"7 of 3140"
"Washoe County",32031,1.5,6689,"152 of 3140"
"Eureka County",32011,2.1,37,"409 of 3140"
"Elko County",32007,2.1,1107,"410 of 3140"
"Lander County",32015,2.2,124,"425 of 3140"
"Nye County",32023,2.8,1216,"865 of 3140"
"Douglas County",32005,3.2,1523,"1141 of 3140"
"Churchill County",32001,3.4,802,"1244 of 3140"
"Esmeralda County",32009,3.5,38,"1331 of 3140"
"Mineral County",32021,3.9,173,"1645 of 3140"
"Humboldt County",32013,4.7,789,"2128 of 3140"
"Lyon County",32019,5.0,2577,"2240 of 3140"
"Carson City",32510,6.2,3328,"2677 of 3140"
"White Pine County",32033,6.6,642,"2752 of 3140"
"Storey County",32029,8.7,336,"3004 of 3140"
"Pershing County",32027,9.5,628,"3044 of 3140"
"Lincoln County",32017,9.9,513,"3056 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
