------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Nevada",32000,14.6,420330,"38 of 52"
"United States",00000,14.9,47732389,"N/A"
"Elko County",32007,9.9,5191,"3067 of 3141"
"Humboldt County",32013,11.6,1981,"2942 of 3141"
"Clark County",32003,13.7,289329,"2655 of 3141"
"Eureka County",32011,14.4,249,"2511 of 3141"
"Washoe County",32031,15.0,66809,"2371 of 3141"
"Pershing County",32027,15.1,1004,"2354 of 3141"
"Lander County",32015,15.5,913,"2247 of 3141"
"White Pine County",32033,15.8,1562,"2154 of 3141"
"Churchill County",32001,17.7,4249,"1539 of 3141"
"Carson City",32510,19.4,10499,"1028 of 3141"
"Lyon County",32019,20.2,10551,"817 of 3141"
"Mineral County",32021,21.5,960,"561 of 3141"
"Lincoln County",32017,21.6,1124,"546 of 3141"
"Douglas County",32005,25.4,12095,"192 of 3141"
"Esmeralda County",32009,28.1,310,"74 of 3141"
"Nye County",32023,28.3,12266,"71 of 3141"
"Storey County",32029,31.8,1238,"26 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
