------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Nevada",32000,20.5,110434,"41 of 51"
"Mineral County",32021,17.2,151,"1519 of 3139"
"White Pine County",32033,18.0,217,"1648 of 3139"
"Nye County",32023,18.4,1517,"1714 of 3139"
"Carson City",32510,18.5,1780,"1728 of 3139"
"Eureka County",32011,18.6,41,"1744 of 3139"
"Storey County",32029,19.0,65,"1796 of 3139"
"Washoe County",32031,19.8,15823,"1928 of 3139"
"Lyon County",32019,20.1,2035,"1976 of 3139"
"Churchill County",32001,20.5,946,"2037 of 3139"
"Clark County",32003,20.6,83752,"2053 of 3139"
"Lincoln County",32017,21.7,156,"2192 of 3139"
"Esmeralda County",32009,24.0,30,"2465 of 3139"
"Elko County",32007,24.5,1567,"2514 of 3139"
"Douglas County",32005,25.0,1335,"2556 of 3139"
"Pershing County",32027,25.1,201,"2571 of 3139"
"Lander County",32015,26.3,169,"2657 of 3139"
"Humboldt County",32013,27.3,649,"2751 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
