------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"United States",00000,4.5,5305440,"N/A"
"Nevada",32000,6.2,65022,"46 of 51"
"Eureka County",32011,0.0,0,"1 of 3140"
"Storey County",32029,0.0,0,"1 of 3140"
"Nye County",32023,1.2,209,"1847 of 3140"
"Lander County",32015,1.4,30,"2004 of 3140"
"Mineral County",32021,1.5,27,"2055 of 3140"
"White Pine County",32033,1.5,51,"2090 of 3140"
"Lyon County",32019,1.6,325,"2169 of 3140"
"Esmeralda County",32009,1.8,9,"2265 of 3140"
"Pershing County",32027,1.8,37,"2270 of 3140"
"Douglas County",32005,2.0,415,"2342 of 3140"
"Lincoln County",32017,2.2,43,"2406 of 3140"
"Elko County",32007,2.5,449,"2517 of 3140"
"Churchill County",32001,3.9,375,"2761 of 3140"
"Washoe County",32031,4.2,7320,"2790 of 3140"
"Carson City",32510,4.9,1075,"2852 of 3140"
"Humboldt County",32013,5.0,311,"2863 of 3140"
"Clark County",32003,7.2,54346,"2976 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
