------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '32', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=32&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Nevada by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"Nevada",32000,4.5,127936,"47 of 51"
"Eureka County",32011,1.1,19,"765 of 3140"
"Pershing County",32027,1.1,73,"775 of 3140"
"White Pine County",32033,1.5,147,"1256 of 3140"
"Lander County",32015,1.7,98,"1496 of 3140"
"Mineral County",32021,2.3,103,"2047 of 3140"
"Lincoln County",32017,2.6,135,"2228 of 3140"
"Elko County",32007,3.3,1726,"2608 of 3140"
"Humboldt County",32013,3.4,568,"2635 of 3140"
"Esmeralda County",32009,3.9,43,"2782 of 3140"
"Washoe County",32031,4.3,18907,"2857 of 3140"
"Clark County",32003,4.5,94754,"2911 of 3140"
"Douglas County",32005,4.6,2194,"2929 of 3140"
"Carson City",32510,4.9,2648,"2959 of 3140"
"Nye County",32023,5.1,2196,"2978 of 3140"
"Lyon County",32019,5.1,2656,"2981 of 3140"
"Churchill County",32001,5.8,1379,"3036 of 3140"
"Storey County",32029,7.5,290,"3105 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
