------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=54&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=54&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for West Virginia by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"West Virginia(6)",54000,Yes,40.4 ,38.8, 42.2,487,33.1
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Marion County(6)",54049,No,56 ,44.7, 69.3,19,35.2
"Clay County(6)",54015,No,54.7 ,30.4, 92,3,42.1
"Mingo County(6)",54059,No,53.7 ,38.3, 73.4,9,42.6
"Roane County(6)",54087,No,53.6 ,34.1, 81,5,47.3
"Preston County(6)",54077,No,49.3 ,36.4, 65.5,11,40.9
"Cabell County(6)",54011,No,47.4 ,39.6, 56.3,29,33.4
"Raleigh County(6)",54081,No,47.2 ,38.8, 56.9,25,38.7
"McDowell County(6)",54047,No,46.6 ,31.1, 67.7,6,36.4
"Greenbrier County(6)",54025,No,46 ,34.2, 60.8,12,30.1
"Nicholas County(6)",54067,No,45.7 ,31.4, 64.6,7,39.4
"Lewis County(6)",54041,No,44.5 ,27.6, 68.6,5,35.8
"Logan County(6)",54045,No,44.1 ,32.4, 59,10,34.2
"Barbour County(6)",54001,No,44 ,26.9, 68.1,4,39.3
"Hardy County(6)",54031,No,43.6 ,25.2, 70.9,4,39.1
"Wetzel County(6)",54103,No,43.2 ,28, 65.2,5,39.1
"Wayne County(6)",54099,No,42.3 ,31.4, 55.8,11,35.5
"Marshall County(6)",54051,No,42.3 ,30.2, 57.9,9,38.7
"Jefferson County(6)",54037,Yes,41.9 ,32.4, 53.6,14,34.5
"Upshur County(6)",54097,Yes,40.8 ,27.3, 58.9,6,30.8
"Hampshire County(6)",54027,Yes,40.4 ,26.7, 59.1,6,39.2
"Mercer County(6)",54055,Yes,40.1 ,31.5, 50.3,17,34.8
"Berkeley County(6)",54003,Yes,39.7 ,32.9, 47.5,25,31.6
"Kanawha County(6)",54039,Yes,39.5 ,34.5, 45,51,31.2
"Wyoming County(6)",54109,Yes,39.2 ,25.6, 58,6,45.3
"Harrison County(6)",54033,Yes,39.2 ,31.2, 48.7,18,33.0
"Monongalia County(6)",54061,Yes,39 ,31.3, 47.9,19,30.4
"Fayette County(6)",54019,Yes,38.6 ,29.2, 50.3,12,33.3
"Wood County(6)",54107,Yes,38.4 ,31.3, 46.7,23,31.9
"Putnam County(6)",54079,Yes,37.7 ,28.9, 48.5,13,28.3
"Hancock County(6)",54029,Yes,37.6 ,26.5, 52.4,9,31.2
"Grant County(6)",54023,Yes,37.6 ,20.3, 64.9,3,40.0
"Mineral County(6)",54057,Yes,36 ,24, 52.2,7,31.4
"Morgan County(6)",54065,Yes,34.7 ,21.4, 54.5,5,31.1
"Brooke County(6)",54009,Yes,34.7 ,22.6, 51.7,6,26.8
"Taylor County(6)",54091,Yes,33.9 ,20.6, 53.7,4,35.6
"Mason County(6)",54053,Yes,33.1 ,22.5, 47.6,7,35.1
"Ohio County(6)",54069,Yes,32.4 ,23.1, 44.3,10,22.6
"Jackson County(6)",54035,Yes,31.1 ,21.1, 44.7,7,33.0
"Lincoln County(6)",54043,Yes,29.6 ,18, 46.4,4,30.9
"Boone County(6)",54005,Yes,29.1 ,18.4, 44.5,5,31.3
"Randolph County(6)",54083,Yes,28.6 ,18.3, 42.9,5,26.0
"Braxton County(6)",54007,Yes,* ,*, *,3 or fewer,*
"Calhoun County(6)",54013,Yes,* ,*, *,3 or fewer,*
"Doddridge County(6)",54017,Yes,* ,*, *,3 or fewer,*
"Gilmer County(6)",54021,Yes,* ,*, *,3 or fewer,*
"Monroe County(6)",54063,Yes,* ,*, *,3 or fewer,*
"Pendleton County(6)",54071,Yes,* ,*, *,3 or fewer,*
"Pleasants County(6)",54073,Yes,* ,*, *,3 or fewer,*
"Pocahontas County(6)",54075,Yes,* ,*, *,3 or fewer,*
"Ritchie County(6)",54085,Yes,* ,*, *,3 or fewer,*
"Summers County(6)",54089,Yes,* ,*, *,3 or fewer,*
"Tucker County(6)",54093,Yes,* ,*, *,3 or fewer,*
"Tyler County(6)",54095,Yes,* ,*, *,3 or fewer,*
"Webster County(6)",54101,Yes,* ,*, *,3 or fewer,*
"Wirt County(6)",54105,Yes,* ,*, *,3 or fewer,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:22 pm.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."

Rates are computed using cancers classified as malignant based on ICD-O-3. For more information see malignant.html.

"^ Late Stage is defined as cases determined to be regional or distant. Coding is generally based on Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ] but may include other staging variables if necessary."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission and SEER November 2018 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].
