------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=54&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '54', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=54&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for West Virginia by County

"Colon & Rectum (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"West Virginia(6,10)",54000,No,46.4 ,45.1, 47.6,1133,stable,-0.9 ,-4.6, 3.0
"US (SEER+NPCR)(1,10)",00000,Yes,38.7 ,38.6, 38.8,140982,falling,-1.3 ,-2.1, -0.6
"Mingo County(6,10)",54059,No,70 ,57.1, 85.1,22,stable,12.8 ,-4.8, 33.7
"Logan County(6,10)",54045,No,61.6 ,51.7, 72.9,30,stable,5.0 ,-7.0, 18.6
"Calhoun County(6,10)",54013,No,61.3 ,41.9, 87.9,7,stable,-5.5 ,-30.4, 28.3
"Wirt County(6,10)",54105,No,60 ,36.5, 94,5,stable,28.7 ,-22.9, 114.9
"Webster County(6,10)",54101,No,58.4 ,39.7, 83.7,7,stable,17.6 ,-38.8, 126.1
"Ritchie County(6,10)",54085,No,58.3 ,42.1, 79.6,9,stable,-15.0 ,-34.2, 9.7
"Pendleton County(6,10)",54071,No,56.3 ,36.8, 83.8,7,stable,-5.2 ,-35.8, 40.2
"Tucker County(6,10)",54093,No,55.1 ,36.7, 81.1,6,stable,0.9 ,-43.6, 80.3
"Boone County(6,10)",54005,No,53.8 ,42.1, 67.9,15,stable,7.0 ,-20.1, 43.5
