------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=48&areatype=county&cancer=035&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'cancer': '035', 'race': '00', 'sex': '0', 'age': '001', 'type': 'death', 'file_name': 'deathrates_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/deathrates/index.php?stateFIPS=48&areatype=county&cancer=035&race=00&sex=0&age=001&type=death&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Death Rate Report for Texas by County

"Liver & Bile Duct, 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Death Rate(†) - deaths per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Texas",48000,***,8.1 ,7.9, 8.2,2163,rising,1.8 ,1.7, 2.0
"United States",00000,***,6.5 ,6.5, 6.6,24806,rising,1.3 ,0.6, 1.9
"Anderson County",48001,***,29.1 ,23.7, 35.4,21,stable,0.3 ,-2.6, 3.3
"Duval County",48131,***,26.1 ,15.4, 41.9,4,*,*,*,*
"San Patricio County",48409,***,18.3 ,14.1, 23.4,13,rising,5.4 ,2.9, 7.9
"Maverick County",48323,***,17.7 ,12.8, 23.8,9,*,*,*,*
"Jim Wells County",48249,***,14.6 ,10.1, 20.4,7,rising,2.9 ,0.7, 5.1
"DeWitt County",48123,***,13.6 ,8.2, 21.6,4,*,*,*,*
"Milam County",48331,***,13.6 ,8.8, 20.6,5,*,*,*,*
"Burleson County",48051,***,13 ,7.4, 21.6,3,*,*,*,*
"Bee County",48025,***,12.2 ,7.4, 19,4,*,*,*,*
"Webb County",48479,***,11.7 ,9.6, 14.1,22,stable,0.5 ,-0.6, 1.6
"Calhoun County",48057,***,11.5 ,6.6, 19.1,3,*,*,*,*
"Galveston County",48167,***,11.5 ,9.9, 13.2,43,rising,2.9 ,1.8, 4.0
"El Paso County",48141,***,11.4 ,10.3, 12.5,88,rising,3.1 ,2.3, 3.9
"Val Verde County",48465,***,11.3 ,7.5, 16.3,6,stable,0.5 ,-1.8, 2.9
"Nueces County",48355,***,11.3 ,9.8, 12.9,44,rising,2.7 ,1.4, 4.0
"Bastrop County",48021,***,11.3 ,8.2, 15,10,*,*,*,*
"Medina County",48325,***,10.9 ,7.4, 15.6,6,*,*,*,*
"Aransas County",48007,***,10.7 ,6.4, 17.2,4,*,*,*,*
"Bexar County",48029,***,10.5 ,9.8, 11.2,187,rising,0.8 ,0.4, 1.2
