------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"United States",00000,0.8,2632102,"N/A"
"Washington",53000,1.3,94754,"9 of 52"
"Garfield County",53023,0.2,5,"2046 of 3141"
"Columbia County",53013,0.5,20,"1158 of 3141"
"Clark County",53011,0.6,2747,"1019 of 3141"
"Lewis County",53041,0.6,472,"993 of 3141"
"Whitman County",53075,0.6,309,"947 of 3141"
"Kittitas County",53037,0.7,287,"942 of 3141"
"King County",53033,0.7,14276,"926 of 3141"
"Franklin County",53021,0.8,686,"823 of 3141"
"Benton County",53005,0.8,1487,"817 of 3141"
"Douglas County",53017,0.9,357,"742 of 3141"
"San Juan County",53055,0.9,143,"740 of 3141"
"Snohomish County",53061,0.9,7256,"703 of 3141"
"Walla Walla County",53071,1.0,570,"695 of 3141"
"Chelan County",53007,1.0,737,"676 of 3141"
"Kitsap County",53035,1.1,2872,"595 of 3141"
"Grant County",53025,1.2,1129,"555 of 3141"
"Pierce County",53053,1.2,10257,"552 of 3141"
"Island County",53029,1.2,980,"548 of 3141"
"Cowlitz County",53015,1.2,1285,"541 of 3141"
"Lincoln County",53043,1.4,140,"510 of 3141"
"Spokane County",53063,1.4,6778,"500 of 3141"
"Thurston County",53067,1.5,3993,"473 of 3141"
"Pacific County",53049,1.5,322,"453 of 3141"
"Asotin County",53003,1.6,360,"441 of 3141"
"Skagit County",53057,1.7,2014,"437 of 3141"
"Jefferson County",53031,1.9,578,"404 of 3141"
"Wahkiakum County",53069,1.9,79,"397 of 3141"
"Skamania County",53059,2.4,279,"329 of 3141"
"Adams County",53001,2.9,556,"293 of 3141"
"Whatcom County",53073,3.1,6651,"280 of 3141"
"Mason County",53045,3.1,1932,"279 of 3141"
"Klickitat County",53039,3.2,686,"274 of 3141"
"Pend Oreille County",53051,3.8,490,"245 of 3141"
"Yakima County",53077,4.1,10133,"230 of 3141"
"Clallam County",53009,4.6,3376,"217 of 3141"
"Stevens County",53065,4.6,2031,"216 of 3141"
"Grays Harbor County",53027,4.7,3332,"215 of 3141"
"Okanogan County",53047,9.8,4063,"122 of 3141"
"Ferry County",53019,14.3,1086,"79 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
