------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,30.9,66887603,"N/A"
"Washington",53000,34.5,1687348,"12 of 52"
"Adams County",53001,13.6,1436,"2571 of 3141"
"Grays Harbor County",53027,15.2,7759,"2280 of 3141"
"Lewis County",53041,15.4,8204,"2237 of 3141"
"Yakima County",53077,15.9,23796,"2124 of 3141"
"Cowlitz County",53015,16.1,11507,"2095 of 3141"
"Franklin County",53021,16.3,8329,"2050 of 3141"
"Grant County",53025,16.7,9369,"1990 of 3141"
"Pacific County",53049,17.0,2743,"1927 of 3141"
"Wahkiakum County",53069,17.1,534,"1915 of 3141"
"Ferry County",53019,17.5,972,"1844 of 3141"
"Mason County",53045,17.8,8045,"1784 of 3141"
"Douglas County",53017,18.3,4834,"1703 of 3141"
"Okanogan County",53047,18.3,5265,"1697 of 3141"
"Stevens County",53065,18.6,5805,"1639 of 3141"
"Pend Oreille County",53051,20.1,1962,"1389 of 3141"
"Asotin County",53003,21.4,3402,"1190 of 3141"
"Lincoln County",53043,22.9,1721,"992 of 3141"
"Garfield County",53023,23.0,377,"976 of 3141"
"Skamania County",53059,23.2,1959,"956 of 3141"
"Clallam County",53009,25.0,13910,"799 of 3141"
"Skagit County",53057,25.6,21670,"756 of 3141"
"Klickitat County",53039,25.8,3972,"741 of 3141"
"Pierce County",53053,26.0,146169,"731 of 3141"
"Chelan County",53007,26.3,13296,"708 of 3141"
"Columbia County",53013,26.5,805,"698 of 3141"
"Clark County",53011,29.0,88831,"534 of 3141"
"Walla Walla County",53071,29.1,11399,"530 of 3141"
"Spokane County",53063,29.4,97348,"522 of 3141"
"Benton County",53005,30.0,36834,"487 of 3141"
"Snohomish County",53061,31.3,166141,"406 of 3141"
"Kitsap County",53035,31.8,56652,"386 of 3141"
"Island County",53029,32.4,18840,"356 of 3141"
"Whatcom County",53073,33.8,47150,"308 of 3141"
"Thurston County",53067,34.4,64621,"285 of 3141"
"Kittitas County",53037,35.0,9207,"260 of 3141"
"Jefferson County",53031,39.9,10000,"163 of 3141"
"San Juan County",53055,48.3,6348,"58 of 3141"
"Whitman County",53075,48.4,11311,"57 of 3141"
"King County",53033,50.3,754825,"44 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
