------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"Washington",53000,46.9,3364660,"34 of 52"
"United States",00000,47.3,151838062,"N/A"
"Whitman County",53075,31.3,14966,"3125 of 3141"
"Franklin County",53021,33.8,30165,"3115 of 3141"
"Adams County",53001,36.3,6989,"3087 of 3141"
"Grant County",53025,40.8,38123,"2943 of 3141"
"Yakima County",53077,40.9,101447,"2940 of 3141"
"Kittitas County",53037,43.3,18917,"2813 of 3141"
"Benton County",53005,44.5,84790,"2710 of 3141"
"Pierce County",53053,44.8,378853,"2678 of 3141"
"King County",53033,45.8,970849,"2575 of 3141"
"Whatcom County",53073,46.3,98480,"2519 of 3141"
"Spokane County",53063,47.0,230431,"2441 of 3141"
"Douglas County",53017,47.0,19083,"2436 of 3141"
"Snohomish County",53061,47.1,363687,"2425 of 3141"
"Walla Walla County",53071,47.3,28288,"2407 of 3141"
"Clark County",53011,47.4,216758,"2388 of 3141"
"Thurston County",53067,48.5,130882,"2185 of 3141"
"Kitsap County",53035,49.0,126765,"2107 of 3141"
"Chelan County",53007,49.9,37514,"1919 of 3141"
"Cowlitz County",53015,51.6,53401,"1532 of 3141"
"Skagit County",53057,51.7,62952,"1496 of 3141"
"Lewis County",53041,52.6,40006,"1262 of 3141"
"Okanogan County",53047,53.8,22248,"1002 of 3141"
"Grays Harbor County",53027,53.8,38434,"997 of 3141"
"Island County",53029,54.0,43386,"956 of 3141"
"Mason County",53045,56.4,34706,"557 of 3141"
"Asotin County",53003,56.4,12560,"553 of 3141"
"Skamania County",53059,57.5,6607,"419 of 3141"
"Klickitat County",53039,57.6,12188,"407 of 3141"
"Stevens County",53065,58.5,25664,"320 of 3141"
"Garfield County",53023,58.9,1310,"291 of 3141"
"Ferry County",53019,59.1,4476,"276 of 3141"
"Lincoln County",53043,59.2,6120,"274 of 3141"
"Clallam County",53009,60.7,44559,"192 of 3141"
"Pend Oreille County",53051,61.4,8028,"162 of 3141"
"Columbia County",53013,61.6,2462,"159 of 3141"
"Pacific County",53049,63.6,13322,"80 of 3141"
"Wahkiakum County",53069,64.1,2632,"69 of 3141"
"San Juan County",53055,69.7,11304,"16 of 3141"
"Jefferson County",53031,69.8,21308,"15 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
