------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Washington",53000,9.2,448558,"16 of 52"
"United States",00000,12.7,27437114,"N/A"
"Garfield County",53023,3.5,57,"20 of 3141"
"San Juan County",53055,3.9,519,"39 of 3141"
"Whitman County",53075,4.6,1075,"68 of 3141"
"Island County",53029,5.1,2948,"109 of 3141"
"Jefferson County",53031,5.5,1365,"142 of 3141"
"Kitsap County",53035,5.7,10099,"164 of 3141"
"Thurston County",53067,6.2,11679,"227 of 3141"
"Spokane County",53063,6.6,21961,"297 of 3141"
"King County",53033,7.3,110255,"410 of 3141"
"Whatcom County",53073,7.7,10788,"514 of 3141"
"Clallam County",53009,8.0,4447,"578 of 3141"
"Clark County",53011,8.0,24507,"582 of 3141"
"Snohomish County",53061,8.1,42779,"597 of 3141"
"Wahkiakum County",53069,8.5,264,"669 of 3141"
"Pierce County",53053,8.8,49350,"733 of 3141"
"Kittitas County",53037,8.9,2337,"760 of 3141"
"Lincoln County",53043,8.9,671,"772 of 3141"
"Columbia County",53013,9.5,288,"902 of 3141"
"Skamania County",53059,9.6,811,"939 of 3141"
"Pend Oreille County",53051,10.1,984,"1041 of 3141"
"Asotin County",53003,10.1,1610,"1062 of 3141"
"Benton County",53005,10.3,12628,"1101 of 3141"
"Stevens County",53065,10.6,3295,"1182 of 3141"
"Skagit County",53057,10.7,9031,"1202 of 3141"
"Grays Harbor County",53027,11.3,5801,"1348 of 3141"
"Cowlitz County",53015,11.5,8208,"1375 of 3141"
"Walla Walla County",53071,11.5,4515,"1389 of 3141"
"Mason County",53045,12.2,5511,"1526 of 3141"
"Klickitat County",53039,12.5,1925,"1593 of 3141"
"Pacific County",53049,12.5,2015,"1596 of 3141"
"Lewis County",53041,12.5,6686,"1597 of 3141"
"Ferry County",53019,13.0,725,"1681 of 3141"
"Chelan County",53007,17.1,8678,"2286 of 3141"
"Okanogan County",53047,17.7,5090,"2353 of 3141"
"Douglas County",53017,18.3,4844,"2409 of 3141"
"Grant County",53025,24.7,13858,"2949 of 3141"
"Franklin County",53021,25.8,13173,"2997 of 3141"
"Yakima County",53077,26.8,40106,"3032 of 3141"
"Adams County",53001,34.8,3675,"3122 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than High School, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
