------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Washington",53000,22.5,1615376,"30 of 52"
"United States",00000,22.9,73601279,"N/A"
"Jefferson County",53031,13.1,4002,"3124 of 3141"
"San Juan County",53055,13.8,2243,"3120 of 3141"
"Whitman County",53075,15.1,7217,"3096 of 3141"
"Wahkiakum County",53069,17.1,702,"2982 of 3141"
"Pacific County",53049,17.2,3602,"2975 of 3141"
"Clallam County",53009,17.6,12925,"2942 of 3141"
"Kittitas County",53037,17.7,7726,"2932 of 3141"
"Ferry County",53019,18.3,1386,"2843 of 3141"
"Columbia County",53013,18.7,746,"2799 of 3141"
"Island County",53029,18.7,15054,"2785 of 3141"
"Mason County",53045,19.4,11973,"2637 of 3141"
"Pend Oreille County",53051,19.9,2597,"2523 of 3141"
"Skamania County",53059,19.9,2287,"2519 of 3141"
"Whatcom County",53073,19.9,42424,"2506 of 3141"
"Klickitat County",53039,20.1,4247,"2474 of 3141"
"King County",53033,20.7,439068,"2263 of 3141"
"Asotin County",53003,20.8,4630,"2230 of 3141"
"Kitsap County",53035,20.9,54077,"2210 of 3141"
"Grays Harbor County",53027,20.9,14941,"2204 of 3141"
"Lincoln County",53043,21.5,2219,"1998 of 3141"
"Walla Walla County",53071,21.5,12892,"1969 of 3141"
"Lewis County",53041,21.9,16629,"1833 of 3141"
"Thurston County",53067,21.9,59216,"1797 of 3141"
"Stevens County",53065,22.1,9691,"1729 of 3141"
"Skagit County",53057,22.3,27195,"1606 of 3141"
"Spokane County",53063,22.4,109873,"1583 of 3141"
"Garfield County",53023,22.9,510,"1362 of 3141"
"Cowlitz County",53015,23.0,23806,"1326 of 3141"
"Snohomish County",53061,23.0,177676,"1306 of 3141"
"Okanogan County",53047,23.3,9624,"1204 of 3141"
"Pierce County",53053,23.8,201572,"947 of 3141"
"Chelan County",53007,24.2,18184,"782 of 3141"
"Clark County",53011,24.9,114077,"560 of 3141"
"Douglas County",53017,26.4,10712,"323 of 3141"
"Benton County",53005,26.8,51064,"277 of 3141"
"Yakima County",53077,29.9,74237,"91 of 3141"
"Grant County",53025,30.0,28037,"88 of 3141"
"Franklin County",53021,33.2,29562,"33 of 3141"
"Adams County",53001,35.1,6753,"14 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
