------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"Washington",53000,3.1,221353,"24 of 51"
"United States",00000,3.2,10247779,"N/A"
"Garfield County",53023,0.8,17,"25 of 3140"
"Asotin County",53003,1.1,237,"57 of 3140"
"Clark County",53011,1.3,6014,"108 of 3140"
"Yakima County",53077,1.6,4034,"199 of 3140"
"King County",53033,1.9,40308,"302 of 3140"
"Clallam County",53009,2.2,1619,"460 of 3140"
"San Juan County",53055,2.6,418,"689 of 3140"
"Klickitat County",53039,2.8,586,"828 of 3140"
"Wahkiakum County",53069,2.9,117,"880 of 3140"
"Adams County",53001,3.0,570,"978 of 3140"
"Cowlitz County",53015,3.0,3083,"981 of 3140"
"Kitsap County",53035,3.1,8016,"1068 of 3140"
"Spokane County",53063,3.2,15466,"1123 of 3140"
"Stevens County",53065,3.4,1464,"1237 of 3140"
"Pierce County",53053,3.4,28464,"1263 of 3140"
"Benton County",53005,3.4,6410,"1264 of 3140"
"Skamania County",53059,3.5,398,"1334 of 3140"
"Okanogan County",53047,3.5,1434,"1350 of 3140"
"Whatcom County",53073,3.6,7559,"1427 of 3140"
"Snohomish County",53061,3.6,27652,"1443 of 3140"
"Pacific County",53049,3.7,762,"1487 of 3140"
"Grant County",53025,3.9,3569,"1626 of 3140"
"Lincoln County",53043,4.1,425,"1784 of 3140"
"Skagit County",53057,4.2,5042,"1810 of 3140"
"Chelan County",53007,4.2,3140,"1834 of 3140"
"Pend Oreille County",53051,4.6,597,"2045 of 3140"
"Grays Harbor County",53027,4.7,3312,"2086 of 3140"
"Island County",53029,4.7,3772,"2131 of 3140"
"Lewis County",53041,4.8,3602,"2153 of 3140"
"Thurston County",53067,4.8,12813,"2156 of 3140"
"Walla Walla County",53071,5.0,2942,"2237 of 3140"
"Jefferson County",53031,5.4,1632,"2433 of 3140"
"Douglas County",53017,5.5,2208,"2491 of 3140"
"Columbia County",53013,5.8,229,"2588 of 3140"
"Mason County",53045,7.2,4362,"2855 of 3140"
"Franklin County",53021,7.2,6295,"2860 of 3140"
"Ferry County",53019,7.7,575,"2920 of 3140"
"Kittitas County",53037,12.7,5483,"3113 of 3140"
"Whitman County",53075,14.2,6727,"3123 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
