------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Washington",53000,20.0,1409960,"16 of 52"
"United States",00000,23.7,74202606,"N/A"
"Snohomish County",53061,14.6,110917,"210 of 3141"
"King County",53033,16.0,334147,"300 of 3141"
"Island County",53029,16.6,12881,"351 of 3141"
"Kitsap County",53035,16.7,42084,"362 of 3141"
"San Juan County",53055,17.5,2798,"441 of 3141"
"Clark County",53011,18.3,83048,"520 of 3141"
"Thurston County",53067,18.6,49431,"558 of 3141"
"Pierce County",53053,19.3,159862,"641 of 3141"
"Jefferson County",53031,20.5,6088,"815 of 3141"
"Benton County",53005,22.9,43177,"1131 of 3141"
"Chelan County",53007,23.0,17018,"1140 of 3141"
"Skagit County",53057,23.3,28021,"1195 of 3141"
"Skamania County",53059,23.4,2652,"1197 of 3141"
"Walla Walla County",53071,23.4,12811,"1206 of 3141"
"Lincoln County",53043,23.5,2401,"1221 of 3141"
"Whatcom County",53073,24.4,50679,"1351 of 3141"
"Wahkiakum County",53069,24.7,994,"1400 of 3141"
"Spokane County",53063,25.0,119088,"1447 of 3141"
"Asotin County",53003,25.3,5557,"1490 of 3141"
"Douglas County",53017,25.6,10346,"1534 of 3141"
"Mason County",53045,26.0,15624,"1580 of 3141"
"Kittitas County",53037,26.0,10717,"1585 of 3141"
"Cowlitz County",53015,26.3,26796,"1619 of 3141"
"Garfield County",53023,26.4,582,"1646 of 3141"
"Clallam County",53009,26.4,19064,"1651 of 3141"
"Stevens County",53065,26.5,11522,"1664 of 3141"
"Klickitat County",53039,27.4,5755,"1788 of 3141"
"Franklin County",53021,27.4,23759,"1790 of 3141"
"Grays Harbor County",53027,27.4,18760,"1798 of 3141"
"Pend Oreille County",53051,27.6,3567,"1821 of 3141"
"Lewis County",53041,28.7,21495,"1980 of 3141"
"Grant County",53025,29.0,26825,"2016 of 3141"
"Columbia County",53013,29.8,1175,"2120 of 3141"
"Ferry County",53019,31.7,2363,"2330 of 3141"
"Pacific County",53049,33.1,6864,"2472 of 3141"
"Yakima County",53077,34.6,84642,"2605 of 3141"
"Okanogan County",53047,34.9,14189,"2625 of 3141"
"Adams County",53001,36.6,6950,"2760 of 3141"
"Whitman County",53075,37.5,15311,"2816 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
