------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '53', 'areatype': 'county', 'topic': 'inc', 'demo': '00010', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=53&areatype=county&topic=inc&demo=00010&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Washington by County
Income: Median family income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,70850.000000000,"N/A"
"Washington",53000,80233.000000000,"12 of 52"
"Okanogan County",53047,50734.000000000,"2431 of 3141"
"Ferry County",53019,51897.000000000,"2331 of 3141"
"Yakima County",53077,53551.000000000,"2170 of 3141"
"Pacific County",53049,54276.000000000,"2119 of 3141"
"Adams County",53001,54644.000000000,"2087 of 3141"
"Pend Oreille County",53051,57121.000000000,"1855 of 3141"
"Lewis County",53041,57905.000000000,"1776 of 3141"
"Wahkiakum County",53069,58235.000000000,"1735 of 3141"
"Grays Harbor County",53027,58846.000000000,"1682 of 3141"
"Grant County",53025,59357.000000000,"1625 of 3141"
"Stevens County",53065,59777.000000000,"1579 of 3141"
"Garfield County",53023,60804.000000000,"1458 of 3141"
"Asotin County",53003,60833.000000000,"1454 of 3141"
"Cowlitz County",53015,61465.000000000,"1392 of 3141"
"Clallam County",53009,61538.000000000,"1386 of 3141"
"Lincoln County",53043,61576.000000000,"1381 of 3141"
"Klickitat County",53039,61821.000000000,"1363 of 3141"
"Mason County",53045,62046.000000000,"1341 of 3141"
"Columbia County",53013,62447.000000000,"1298 of 3141"
"Douglas County",53017,62471.000000000,"1295 of 3141"
"Franklin County",53021,62691.000000000,"1277 of 3141"
"Jefferson County",53031,64570.000000000,"1105 of 3141"
"Skamania County",53059,65352.000000000,"1039 of 3141"
"Walla Walla County",53071,65854.000000000,"1000 of 3141"
"Chelan County",53007,66875.000000000,"929 of 3141"
"Spokane County",53063,67345.000000000,"900 of 3141"
"Whitman County",53075,68088.000000000,"840 of 3141"
"Skagit County",53057,69536.000000000,"744 of 3141"
"Kittitas County",53037,70540.000000000,"697 of 3141"
"Island County",53029,72868.000000000,"561 of 3141"
"San Juan County",53055,73860.000000000,"505 of 3141"
"Whatcom County",53073,73893.000000000,"502 of 3141"
"Benton County",53005,74793.000000000,"467 of 3141"
"Pierce County",53053,76671.000000000,"403 of 3141"
"Clark County",53011,78142.000000000,"352 of 3141"
"Thurston County",53067,79093.000000000,"336 of 3141"
"Kitsap County",53035,81925.000000000,"273 of 3141"
"Snohomish County",53061,91181.000000000,"147 of 3141"
"King County",53033,105512.000000000,"50 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median family income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
