------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=35&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '35', 'areatype': 'county', 'cancer': '020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_008.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=35&areatype=county&cancer=020&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for New Mexico by County

"Colon & Rectum (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 39.9?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"New Mexico(7,8)",35000,Yes,33 ,32, 34.1,803,falling,-2.7 ,-3.3, -2.0
"US (SEER+NPCR)(1,10)",00000,Yes,38.7 ,38.6, 38.8,140982,falling,-1.3 ,-2.1, -0.6
"Cibola County(7,8)",35006,No,52.8 ,41.7, 66,16,stable,1.3 ,-0.2, 2.8
"Quay County(7,8)",35037,No,46.6 ,31.5, 68,7,stable,2.4 ,-0.3, 5.3
"Rio Arriba County(7,8)",35039,No,39.9 ,32.3, 48.9,20,stable,-0.4 ,-1.4, 0.6
"Luna County(7,8)",35029,Yes,37.8 ,28.7, 49,13,stable,-0.4 ,-1.8, 1.1
"San Miguel County(7,8)",35047,Yes,37.7 ,29.4, 47.9,15,stable,-0.6 ,-1.7, 0.5
"McKinley County(7,8)",35031,Yes,36.4 ,30.1, 43.6,24,stable,0.5 ,-0.7, 1.8
"Eddy County(7,8)",35015,Yes,36.2 ,29.7, 43.8,22,stable,-0.5 ,-1.7, 0.6
"Socorro County(7,8)",35053,Yes,35.9 ,25.5, 49.5,8,stable,-1.0 ,-3.2, 1.2
