------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=37&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '37', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=37&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for North Carolina by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"North Carolina(6)",37000,No,45.4 ,44.6, 46.2,2704,33.4
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Chowan County(6)",37041,No,62.7 ,38.9, 95.4,5,37.0
"Vance County(6)",37181,No,61.6 ,48.6, 77,17,41.5
"Martin County(6)",37117,No,56.9 ,41.8, 76.3,10,38.2
"Swain County(6)",37173,No,56.5 ,36.5, 84.2,5,40.3
"Clay County(6)",37043,No,56 ,33.7, 89.9,5,41.0
"Pasquotank County(6)",37139,No,55.7 ,42.3, 72,13,33.7
"Bertie County(6)",37015,No,55.6 ,37.6, 79.8,7,35.9
"Anson County(6)",37007,No,54.2 ,37.5, 75.9,8,35.8
"Durham County(6)",37063,No,53.6 ,48.5, 59.1,86,36.1
"Pamlico County(6)",37137,No,52.9 ,29.6, 87.7,4,27.0
"Lee County(6)",37105,No,52.9 ,42.5, 65.1,19,37.5
"Onslow County(6)",37133,No,52.6 ,45.1, 60.8,37,41.1
"Nash County(6)",37127,No,52.5 ,44.3, 61.8,32,38.1
"Scotland County(6)",37165,No,51.7 ,38.4, 68.3,11,39.0
"Mitchell County(6)",37121,No,51.7 ,33.6, 77.4,6,41.1
"Halifax County(6)",37083,No,51.4 ,41.1, 63.6,19,36.5
"Washington County(6)",37187,No,51.3 ,31.7, 79.6,5,37.5
"Wilson County(6)",37195,No,50.7 ,42.2, 60.5,27,39.3
"Northampton County(6)",37131,No,50.6 ,34.4, 72.5,8,39.8
"Alexander County(6)",37003,No,50.1 ,37.7, 65.6,12,36.4
