------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Texas",48000,5.8,784888,"20 of 52"
"United States",00000,6.6,10560305,"N/A"
"Glasscock County",48173,0.0,0,"1 of 3141"
"Kenedy County",48261,0.0,0,"1 of 3141"
"Loving County",48301,0.0,0,"1 of 3141"
"Concho County",48095,0.4,4,"15 of 3141"
"Upton County",48461,1.1,16,"47 of 3141"
"Hartley County",48205,1.2,25,"52 of 3141"
"Sherman County",48421,1.5,24,"69 of 3141"
"Fayette County",48149,1.5,182,"78 of 3141"
"Borden County",48033,1.5,4,"80 of 3141"
"Kent County",48263,1.6,5,"86 of 3141"
"Armstrong County",48011,1.8,18,"121 of 3141"
"Carson County",48065,1.9,57,"136 of 3141"
"Martin County",48317,1.9,50,"137 of 3141"
"Garza County",48169,2.0,49,"140 of 3141"
"Bailey County",48017,2.2,72,"168 of 3141"
"Baylor County",48023,2.3,34,"180 of 3141"
"Roberts County",48393,2.4,10,"194 of 3141"
"Crockett County",48105,2.4,43,"197 of 3141"
"Stonewall County",48433,2.4,11,"198 of 3141"
"Sterling County",48431,2.6,14,"242 of 3141"
"Crane County",48103,2.6,55,"243 of 3141"
"Parmer County",48369,2.8,126,"260 of 3141"
"Somervell County",48425,2.8,105,"261 of 3141"
"Mason County",48319,2.8,63,"268 of 3141"
"Colorado County",48089,2.9,281,"286 of 3141"
"Mills County",48333,2.9,61,"288 of 3141"
"Lavaca County",48285,2.9,263,"290 of 3141"
"Archer County",48009,3.0,133,"308 of 3141"
"Hood County",48221,3.0,712,"324 of 3141"
"Hamilton County",48193,3.1,114,"339 of 3141"
"Madison County",48313,3.1,138,"351 of 3141"
"San Saba County",48411,3.2,81,"358 of 3141"
"Runnels County",48399,3.2,139,"370 of 3141"
"McCulloch County",48307,3.2,122,"372 of 3141"
"Walker County",48471,3.4,836,"410 of 3141"
"Caldwell County",48055,3.4,649,"433 of 3141"
"Callahan County",48059,3.5,187,"453 of 3141"
"Midland County",48329,3.5,2941,"460 of 3141"
"Jack County",48237,3.6,117,"477 of 3141"
"Lamb County",48279,3.6,210,"478 of 3141"
"Comanche County",48093,3.6,203,"482 of 3141"
"Pecos County",48371,3.7,233,"517 of 3141"
"Dallam County",48111,3.7,135,"527 of 3141"
"Randall County",48381,3.7,2654,"530 of 3141"
"Hansford County",48195,3.8,94,"546 of 3141"
"Live Oak County",48297,3.8,169,"547 of 3141"
"Comal County",48091,3.8,2354,"550 of 3141"
"Tom Green County",48451,3.8,2114,"559 of 3141"
"Panola County",48365,3.8,391,"564 of 3141"
"Oldham County",48359,3.8,31,"573 of 3141"
"Reagan County",48383,3.9,71,"587 of 3141"
"Karnes County",48255,4.1,232,"652 of 3141"
"Winkler County",48495,4.1,140,"657 of 3141"
"Moore County",48341,4.1,456,"665 of 3141"
"Jones County",48253,4.2,220,"677 of 3141"
"Castro County",48069,4.2,144,"686 of 3141"
"Freestone County",48161,4.2,326,"693 of 3141"
"Potter County",48375,4.2,2337,"708 of 3141"
"Collin County",48085,4.3,21074,"713 of 3141"
"Burnet County",48053,4.3,869,"715 of 3141"
"Anderson County",48001,4.3,850,"718 of 3141"
"Brown County",48049,4.3,684,"731 of 3141"
"Coke County",48081,4.3,66,"741 of 3141"
"Erath County",48143,4.3,863,"743 of 3141"
"Hardin County",48199,4.4,1097,"756 of 3141"
"Kendall County",48259,4.4,858,"777 of 3141"
"Taylor County",48441,4.4,2917,"798 of 3141"
"Guadalupe County",48187,4.5,3268,"804 of 3141"
"Travis County",48453,4.5,30087,"807 of 3141"
"Gaines County",48165,4.5,381,"814 of 3141"
"Houston County",48225,4.5,359,"817 of 3141"
"Denton County",48121,4.5,19739,"824 of 3141"
"Lee County",48287,4.5,372,"827 of 3141"
"Young County",48503,4.5,391,"841 of 3141"
"Andrews County",48003,4.5,383,"845 of 3141"
"Scurry County",48415,4.6,327,"868 of 3141"
"Donley County",48129,4.6,69,"879 of 3141"
"Ellis County",48139,4.6,3829,"887 of 3141"
"Stephens County",48429,4.7,182,"894 of 3141"
"Jackson County",48239,4.7,332,"904 of 3141"
"Brazos County",48041,4.7,5095,"906 of 3141"
"Gregg County",48183,4.8,2772,"950 of 3141"
"Wichita County",48485,4.8,2788,"951 of 3141"
"Williamson County",48491,4.8,12800,"953 of 3141"
"Lubbock County",48303,4.8,7318,"961 of 3141"
