------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"United States",00000,5.4,11759554,"N/A"
"Texas",48000,8.7,1513995,"50 of 52"
"Loving County",48301,0.0,0,"1 of 3141"
"Borden County",48033,0.5,2,"15 of 3141"
"Roberts County",48393,0.7,4,"21 of 3141"
"Carson County",48065,1.6,63,"162 of 3141"
"Motley County",48345,2.3,17,"471 of 3141"
"Randall County",48381,2.4,2038,"512 of 3141"
"Irion County",48235,2.7,28,"669 of 3141"
"Orange County",48361,2.7,1523,"711 of 3141"
"Oldham County",48359,3.1,36,"955 of 3141"
"Williamson County",48491,3.1,10456,"976 of 3141"
"Somervell County",48425,3.2,192,"1017 of 3141"
"Collin County",48085,3.2,19284,"1026 of 3141"
"Sabine County",48403,3.3,266,"1071 of 3141"
"Newton County",48351,3.4,334,"1115 of 3141"
"Tyler County",48457,3.5,524,"1167 of 3141"
"Archer County",48009,3.5,216,"1176 of 3141"
"Hardin County",48199,3.6,1355,"1236 of 3141"
"Kendall County",48259,3.6,1005,"1260 of 3141"
"Baylor County",48023,3.7,94,"1270 of 3141"
"Rockwall County",48397,3.7,2157,"1288 of 3141"
"Bowie County",48037,3.8,2375,"1316 of 3141"
"Denton County",48121,3.8,19149,"1333 of 3141"
"Comal County",48091,3.9,3488,"1385 of 3141"
"Bell County",48027,4.0,8059,"1425 of 3141"
"Cass County",48067,4.0,840,"1428 of 3141"
"Armstrong County",48011,4.0,56,"1433 of 3141"
"Hutchinson County",48233,4.0,574,"1456 of 3141"
"Bandera County",48019,4.1,661,"1460 of 3141"
"Morris County",48343,4.1,361,"1467 of 3141"
"Delta County",48119,4.1,147,"1484 of 3141"
"Callahan County",48059,4.2,399,"1521 of 3141"
"Clay County",48077,4.2,312,"1523 of 3141"
"Hood County",48221,4.2,1669,"1528 of 3141"
"Lampasas County",48281,4.3,606,"1553 of 3141"
"Parker County",48367,4.3,3641,"1575 of 3141"
"Grayson County",48181,4.3,3668,"1578 of 3141"
"Jasper County",48241,4.3,1040,"1599 of 3141"
"Panola County",48365,4.4,697,"1617 of 3141"
"Fannin County",48147,4.5,1083,"1688 of 3141"
"Donley County",48129,4.6,103,"1707 of 3141"
"Jackson County",48239,4.7,454,"1736 of 3141"
"Marion County",48315,4.7,358,"1741 of 3141"
"Coryell County",48099,4.7,2222,"1762 of 3141"
"Harrison County",48203,4.7,2072,"1781 of 3141"
"Guadalupe County",48187,4.8,4718,"1800 of 3141"
"Llano County",48299,4.8,781,"1807 of 3141"
"Galveston County",48167,4.9,10415,"1820 of 3141"
"Hays County",48209,4.9,5645,"1838 of 3141"
"Montgomery County",48339,4.9,17209,"1849 of 3141"
"Aransas County",48007,5.1,926,"1876 of 3141"
"Wood County",48499,5.1,1597,"1877 of 3141"
"Fort Bend County",48157,5.1,23199,"1890 of 3141"
"Lamar County",48277,5.1,1720,"1894 of 3141"
"Cooke County",48097,5.2,1355,"1905 of 3141"
"Kerr County",48265,5.2,1898,"1910 of 3141"
"Gillespie County",48171,5.2,992,"1929 of 3141"
"Shackelford County",48417,5.2,117,"1938 of 3141"
"Wichita County",48485,5.3,4434,"1953 of 3141"
"Hunt County",48231,5.3,3173,"1963 of 3141"
"Young County",48503,5.4,661,"1992 of 3141"
"Dickens County",48125,5.4,87,"1995 of 3141"
"Taylor County",48441,5.5,4501,"2012 of 3141"
"Van Zandt County",48467,5.5,2031,"2015 of 3141"
