------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"Texas",48000,12.4,812735,"42 of 52"
"Loving County",48301,0.0,0,"1 of 3141"
"Roberts County",48393,0.8,2,"5 of 3141"
"Jeff Davis County",48243,1.3,8,"7 of 3141"
"Borden County",48033,1.7,3,"12 of 3141"
"Mitchell County",48335,2.6,49,"35 of 3141"
"McMullen County",48311,3.3,5,"62 of 3141"
"Kendall County",48259,3.8,391,"109 of 3141"
"Kinney County",48271,4.1,28,"143 of 3141"
"Carson County",48065,4.2,68,"153 of 3141"
"Sutton County",48435,4.3,50,"167 of 3141"
"Foard County",48155,4.4,16,"173 of 3141"
"Archer County",48009,4.4,106,"175 of 3141"
"Rockwall County",48397,4.5,1092,"178 of 3141"
"Williamson County",48491,4.7,5825,"209 of 3141"
"King County",48269,4.8,3,"220 of 3141"
"Edwards County",48137,5.0,20,"233 of 3141"
"Fayette County",48149,5.0,336,"241 of 3141"
"Collin County",48085,5.1,12140,"251 of 3141"
"Martin County",48317,5.3,66,"290 of 3141"
"Denton County",48121,5.5,10748,"321 of 3141"
"Armstrong County",48011,5.9,32,"399 of 3141"
"Hemphill County",48211,6.1,66,"446 of 3141"
"Motley County",48345,6.2,19,"455 of 3141"
"Randall County",48381,6.3,2153,"483 of 3141"
"Fort Bend County",48157,6.4,11767,"507 of 3141"
"Comal County",48091,6.5,2305,"522 of 3141"
"Hartley County",48205,6.5,84,"525 of 3141"
"Parker County",48367,6.6,2205,"532 of 3141"
"Schleicher County",48413,6.7,54,"556 of 3141"
"Midland County",48329,6.7,2590,"569 of 3141"
"Oldham County",48359,6.9,29,"598 of 3141"
"Blanco County",48031,6.9,213,"619 of 3141"
"Wilson County",48493,7.0,869,"642 of 3141"
"Stonewall County",48433,7.2,20,"701 of 3141"
"Llano County",48299,7.4,438,"747 of 3141"
"Scurry County",48415,7.5,293,"761 of 3141"
"Guadalupe County",48187,7.5,2975,"771 of 3141"
"Montgomery County",48339,7.6,10530,"772 of 3141"
"Brazoria County",48039,7.7,6734,"820 of 3141"
"Johnson County",48251,8.0,3384,"889 of 3141"
"Burnet County",48053,8.1,979,"913 of 3141"
"Ward County",48475,8.2,218,"929 of 3141"
"Ellis County",48139,8.2,3514,"930 of 3141"
"La Salle County",48283,8.2,121,"947 of 3141"
"Concho County",48095,8.3,46,"971 of 3141"
"Newton County",48351,8.4,264,"989 of 3141"
"Mason County",48319,8.4,86,"993 of 3141"
"Brewster County",48043,8.4,180,"998 of 3141"
