------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '48', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=48&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Texas by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"United States",00000,22.9,73601279,"N/A"
"Texas",48000,26.3,7213117,"2 of 52"
"Loving County",48301,9.5,7,"3137 of 3141"
"Concho County",48095,14.1,543,"3118 of 3141"
"Llano County",48299,14.5,2928,"3108 of 3141"
"Edwards County",48137,14.9,315,"3100 of 3141"
"Walker County",48471,15.4,10892,"3082 of 3141"
"Haskell County",48207,16.8,978,"2999 of 3141"
"Bandera County",48019,17.4,3708,"2959 of 3141"
"Jones County",48253,17.7,3530,"2930 of 3141"
"Garza County",48169,17.7,1194,"2926 of 3141"
"Menard County",48327,17.9,380,"2910 of 3141"
"Sabine County",48403,17.9,1871,"2903 of 3141"
"Jeff Davis County",48243,18.2,408,"2855 of 3141"
"Blanco County",48031,18.6,2067,"2802 of 3141"
"Kimble County",48267,18.7,829,"2793 of 3141"
"Marion County",48315,18.7,1898,"2791 of 3141"
"Aransas County",48007,19.0,4713,"2738 of 3141"
"Tyler County",48457,19.0,4075,"2735 of 3141"
"Mitchell County",48335,19.1,1676,"2722 of 3141"
"Houston County",48225,19.3,4406,"2681 of 3141"
"Kinney County",48271,19.4,703,"2657 of 3141"
"Anderson County",48001,19.5,11234,"2633 of 3141"
"Wood County",48499,19.5,8457,"2608 of 3141"
"Kerr County",48265,19.6,9933,"2598 of 3141"
"Madison County",48313,19.9,2777,"2527 of 3141"
"Foard County",48155,19.9,281,"2524 of 3141"
"Gillespie County",48171,19.9,5172,"2509 of 3141"
"Real County",48385,20.0,670,"2504 of 3141"
"Red River County",48387,20.0,2466,"2500 of 3141"
"Live Oak County",48297,20.0,2406,"2497 of 3141"
"Donley County",48129,20.0,686,"2496 of 3141"
"Brewster County",48043,20.0,1843,"2492 of 3141"
"Childress County",48075,20.2,1424,"2444 of 3141"
"Briscoe County",48045,20.2,321,"2438 of 3141"
"San Augustine County",48405,20.2,1701,"2417 of 3141"
"Trinity County",48455,20.3,2944,"2390 of 3141"
"Hamilton County",48193,20.4,1679,"2353 of 3141"
"Coke County",48081,20.5,663,"2334 of 3141"
"Eastland County",48133,20.6,3758,"2317 of 3141"
"San Saba County",48411,20.6,1203,"2316 of 3141"
"Polk County",48373,20.6,9690,"2295 of 3141"
"Brazos County",48041,20.6,44230,"2288 of 3141"
"Throckmorton County",48447,20.7,319,"2277 of 3141"
"Fisher County",48151,20.8,805,"2244 of 3141"
"Newton County",48351,20.8,2949,"2240 of 3141"
"Mason County",48319,20.8,857,"2238 of 3141"
"Terrell County",48443,20.8,150,"2229 of 3141"
"Fayette County",48149,20.8,5202,"2221 of 3141"
"Rains County",48379,21.0,2364,"2151 of 3141"
"Karnes County",48255,21.0,3167,"2141 of 3141"
"Erath County",48143,21.1,8635,"2137 of 3141"
"Fannin County",48147,21.1,7137,"2109 of 3141"
"Clay County",48077,21.2,2202,"2074 of 3141"
"La Salle County",48283,21.3,1579,"2047 of 3141"
"Jack County",48237,21.3,1887,"2027 of 3141"
"Hood County",48221,21.4,11835,"2023 of 3141"
"Bee County",48025,21.5,7022,"1997 of 3141"
"Falls County",48145,21.5,3714,"1989 of 3141"
"Washington County",48477,21.5,7463,"1971 of 3141"
"Hartley County",48205,21.6,1255,"1958 of 3141"
"Armstrong County",48011,21.6,417,"1943 of 3141"
"Goliad County",48175,21.7,1626,"1931 of 3141"
"Baylor County",48023,21.7,782,"1908 of 3141"
"Bosque County",48035,21.7,3902,"1898 of 3141"
"Burnet County",48053,21.7,9788,"1893 of 3141"
"Coleman County",48083,21.8,1833,"1878 of 3141"
"Henderson County",48213,21.9,17435,"1831 of 3141"
"Howard County",48227,21.9,7998,"1811 of 3141"
"Dickens County",48125,21.9,488,"1795 of 3141"
"San Jacinto County",48407,22.2,6085,"1684 of 3141"
"Archer County",48009,22.2,1952,"1679 of 3141"
"Stephens County",48429,22.2,2081,"1666 of 3141"
"Grimes County",48185,22.4,6135,"1567 of 3141"
"Kent County",48263,22.5,153,"1534 of 3141"
"Reeves County",48389,22.6,3338,"1518 of 3141"
"Comanche County",48093,22.6,3045,"1517 of 3141"
"Hardeman County",48197,22.6,901,"1513 of 3141"
"Wichita County",48485,22.6,29803,"1501 of 3141"
"DeWitt County",48123,22.6,4634,"1493 of 3141"
"Lee County",48287,22.6,3815,"1486 of 3141"
"Delta County",48119,22.6,1171,"1485 of 3141"
"Leon County",48289,22.7,3849,"1465 of 3141"
"Brown County",48049,22.7,8573,"1464 of 3141"
"Burleson County",48051,22.7,3994,"1459 of 3141"
"Travis County",48453,22.7,267205,"1455 of 3141"
"Cass County",48067,22.8,6869,"1408 of 3141"
"Mills County",48333,22.8,1116,"1394 of 3141"
"Montague County",48337,22.9,4446,"1364 of 3141"
"Wilbarger County",48487,22.9,2977,"1341 of 3141"
"Sherman County",48421,23.0,704,"1337 of 3141"
"Freestone County",48161,23.0,4520,"1318 of 3141"
"Limestone County",48293,23.0,5403,"1311 of 3141"
"Morris County",48343,23.0,2884,"1307 of 3141"
"Comal County",48091,23.0,29742,"1296 of 3141"
"Irion County",48235,23.2,369,"1241 of 3141"
"Rusk County",48401,23.2,12309,"1219 of 3141"
"Van Zandt County",48467,23.3,12479,"1186 of 3141"
"Colorado County",48089,23.4,4893,"1145 of 3141"
"Somervell County",48425,23.4,2027,"1129 of 3141"
"Culberson County",48109,23.4,529,"1126 of 3141"
"Hays County",48209,23.5,45695,"1120 of 3141"
"Nacogdoches County",48347,23.5,15349,"1114 of 3141"
"Lampasas County",48281,23.5,4813,"1099 of 3141"
"Hill County",48217,23.5,8258,"1090 of 3141"
"Hall County",48191,23.5,730,"1089 of 3141"
"Medina County",48325,23.6,11434,"1080 of 3141"
"Lavaca County",48285,23.6,4678,"1077 of 3141"
"Palo Pinto County",48363,23.6,6634,"1055 of 3141"
"Tom Green County",48451,23.6,27634,"1040 of 3141"
"Refugio County",48391,23.7,1726,"1026 of 3141"
"Runnels County",48399,23.7,2431,"1022 of 3141"
"Lamar County",48277,23.7,11705,"1018 of 3141"
"Kendall County",48259,23.7,9554,"1013 of 3141"
"McCulloch County",48307,23.8,1935,"991 of 3141"
"Jefferson County",48245,23.8,60519,"981 of 3141"
"Bowie County",48037,23.8,22261,"979 of 3141"
"Grayson County",48181,23.8,30013,"971 of 3141"
"Stonewall County",48433,23.8,258,"969 of 3141"
"Panola County",48365,23.8,5618,"953 of 3141"
"Callahan County",48059,23.9,3268,"915 of 3141"
"Upshur County",48459,24.0,9709,"891 of 3141"
"Hunt County",48231,24.0,21658,"887 of 3141"
"Frio County",48163,24.0,4590,"870 of 3141"
"Motley County",48345,24.1,268,"856 of 3141"
"Caldwell County",48055,24.1,9773,"835 of 3141"
"Cooke County",48097,24.1,9424,"826 of 3141"
"Shackelford County",48417,24.1,808,"819 of 3141"
"Lubbock County",48303,24.1,71931,"817 of 3141"
"Coryell County",48099,24.2,18318,"807 of 3141"
"Austin County",48015,24.2,7080,"804 of 3141"
"Pecos County",48371,24.2,3820,"803 of 3141"
"Robertson County",48395,24.2,4045,"793 of 3141"
"Waller County",48473,24.2,11734,"775 of 3141"
"Randall County",48381,24.2,31634,"772 of 3141"
"Jasper County",48241,24.3,8601,"761 of 3141"
"Franklin County",48159,24.3,2582,"759 of 3141"
"Young County",48503,24.3,4422,"737 of 3141"
"Collingsworth County",48087,24.4,737,"734 of 3141"
"Glasscock County",48173,24.4,346,"733 of 3141"
"Hudspeth County",48229,24.4,904,"710 of 3141"
"Kleberg County",48273,24.5,7720,"695 of 3141"
"Galveston County",48167,24.6,79083,"652 of 3141"
"Willacy County",48489,24.6,5382,"647 of 3141"
"Taylor County",48441,24.7,33424,"636 of 3141"
"Wilson County",48493,24.7,11660,"631 of 3141"
"Parker County",48367,24.7,31132,"628 of 3141"
"Hardin County",48199,24.8,13866,"616 of 3141"
"Orange County",48361,24.8,20820,"599 of 3141"
"Smith County",48423,24.8,55175,"595 of 3141"
"McLennan County",48309,24.8,61008,"591 of 3141"
"Dawson County",48115,24.9,3255,"584 of 3141"
"Milam County",48331,25.0,6116,"547 of 3141"
"Wise County",48497,25.1,15880,"517 of 3141"
"Calhoun County",48057,25.1,5482,"515 of 3141"
"Scurry County",48415,25.1,4360,"510 of 3141"
"Nueces County",48355,25.1,90120,"509 of 3141"
"Nolan County",48353,25.2,3773,"504 of 3141"
"Duval County",48131,25.2,2878,"503 of 3141"
"Carson County",48065,25.2,1520,"499 of 3141"
"Hopkins County",48223,25.2,9066,"489 of 3141"
"King County",48269,25.3,73,"485 of 3141"
"Sutton County",48435,25.4,990,"459 of 3141"
"Liberty County",48291,25.5,20354,"447 of 3141"
"Gray County",48179,25.5,5851,"446 of 3141"
"Cherokee County",48073,25.5,13161,"439 of 3141"
"Swisher County",48437,25.6,1930,"423 of 3141"
"Harrison County",48203,25.6,17048,"422 of 3141"
"Bastrop County",48021,25.6,20597,"414 of 3141"
"Denton County",48121,25.8,201209,"399 of 3141"
"Victoria County",48469,25.8,23611,"388 of 3141"
"Jackson County",48239,25.8,3810,"384 of 3141"
"Gregg County",48183,25.9,31926,"377 of 3141"
"Matagorda County",48321,26.0,9548,"366 of 3141"
"Hutchinson County",48233,26.0,5640,"365 of 3141"
"Wheeler County",48483,26.0,1456,"364 of 3141"
"Guadalupe County",48187,26.0,39270,"357 of 3141"
"Angelina County",48005,26.1,22862,"350 of 3141"
"Bexar County",48029,26.1,493218,"349 of 3141"
"Wharton County",48481,26.1,10817,"347 of 3141"
"Crockett County",48105,26.1,1002,"344 of 3141"
"Johnson County",48251,26.2,42002,"339 of 3141"
"Navarro County",48349,26.3,12695,"329 of 3141"
"Hockley County",48219,26.5,6159,"314 of 3141"
"Lynn County",48305,26.5,1532,"311 of 3141"
"Shelby County",48419,26.5,6808,"309 of 3141"
"Camp County",48063,26.5,3360,"307 of 3141"
"Montgomery County",48339,26.7,142639,"294 of 3141"
"Williamson County",48491,26.7,135912,"286 of 3141"
"Dallas County",48113,26.8,682882,"282 of 3141"
"Cottle County",48101,26.8,401,"279 of 3141"
"Brazoria County",48039,26.8,92813,"273 of 3141"
"Collin County",48085,26.9,245804,"269 of 3141"
"Tarrant County",48439,26.9,534079,"264 of 3141"
"Gonzales County",48177,27.0,5550,"254 of 3141"
"Ellis County",48139,27.1,44417,"244 of 3141"
"Harris County",48201,27.1,1225059,"243 of 3141"
"Floyd County",48153,27.1,1616,"235 of 3141"
"Terry County",48445,27.3,3476,"225 of 3141"
"Lipscomb County",48295,27.3,955,"223 of 3141"
"San Patricio County",48409,27.3,18276,"222 of 3141"
"Brooks County",48047,27.4,1985,"220 of 3141"
"Knox County",48275,27.4,1028,"217 of 3141"
"Crosby County",48107,27.5,1620,"209 of 3141"
"Potter County",48375,27.6,33501,"198 of 3141"
"Uvalde County",48463,27.6,7466,"197 of 3141"
"Rockwall County",48397,27.7,25061,"186 of 3141"
"Borden County",48033,27.7,167,"184 of 3141"
"Hale County",48189,27.8,9582,"182 of 3141"
"Kaufman County",48257,27.8,31882,"181 of 3141"
"Bell County",48027,27.8,93524,"179 of 3141"
"Atascosa County",48013,27.9,13417,"174 of 3141"
"Ward County",48475,27.9,3207,"172 of 3141"
"Midland County",48329,27.9,44653,"168 of 3141"
"Fort Bend County",48157,28.0,198856,"167 of 3141"
"Chambers County",48071,28.0,10993,"164 of 3141"
"El Paso County",48141,28.1,234441,"158 of 3141"
"Presidio County",48377,28.1,2022,"157 of 3141"
"Schleicher County",48413,28.2,880,"155 of 3141"
"Lamb County",48279,28.3,3777,"151 of 3141"
"Jim Wells County",48249,28.3,11700,"146 of 3141"
"McMullen County",48311,28.3,170,"145 of 3141"
"Reagan County",48383,28.6,1069,"137 of 3141"
"Cochran County",48079,28.7,841,"131 of 3141"
"Sterling County",48431,28.9,329,"125 of 3141"
"Bailey County",48017,29.0,2057,"122 of 3141"
"Val Verde County",48465,29.0,14194,"121 of 3141"
"Kenedy County",48261,29.1,164,"114 of 3141"
"Parmer County",48369,29.1,2872,"113 of 3141"
"Titus County",48449,29.1,9519,"111 of 3141"
"Hansford County",48195,29.3,1621,"107 of 3141"
"Roberts County",48393,29.7,264,"97 of 3141"
"Castro County",48069,29.7,2344,"96 of 3141"
"Jim Hogg County",48247,29.8,1567,"95 of 3141"
"Ector County",48135,29.9,46627,"90 of 3141"
"Zavala County",48507,30.0,3643,"89 of 3141"
"Winkler County",48495,30.1,2341,"86 of 3141"
"Dimmit County",48127,30.1,3259,"84 of 3141"
"Upton County",48461,30.1,1077,"83 of 3141"
"Dallam County",48111,30.6,2208,"78 of 3141"
"Martin County",48317,31.0,1722,"69 of 3141"
"Andrews County",48003,31.2,5480,"64 of 3141"
"Cameron County",48061,31.4,131976,"58 of 3141"
"Crane County",48103,31.4,1520,"56 of 3141"
"Ochiltree County",48357,31.6,3314,"54 of 3141"
"Moore County",48341,31.7,6976,"52 of 3141"
"Deaf Smith County",48117,31.7,6013,"50 of 3141"
"Hemphill County",48211,31.9,1325,"47 of 3141"
"Maverick County",48323,32.0,18409,"45 of 3141"
"Yoakum County",48501,33.0,2797,"36 of 3141"
"Starr County",48427,33.3,21097,"32 of 3141"
"Hidalgo County",48215,33.5,281529,"31 of 3141"
"Zapata County",48505,33.9,4883,"24 of 3141"
"Webb County",48479,33.9,91379,"23 of 3141"
"Gaines County",48165,35.7,7093,"8 of 3141"
"Oldham County",48359,37.4,780,"5 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
